time,open,high,low,close,volume
2018-08-09 07:00:00,15.5,15.76,15.3,15.3,346460
2018-08-10 07:00:00,15.43,15.63,15.37,15.56,216480
2018-08-13 07:00:00,15.63,15.85,15.3,15.69,486190
2018-08-14 07:00:00,15.5,15.88,15.5,15.88,361160
2018-08-15 07:00:00,15.95,16.34,15.76,15.79,355210
2018-08-16 07:00:00,15.56,15.79,15.37,15.79,246980
2018-08-17 07:00:00,15.56,16.21,15.53,15.76,364930
2018-08-20 07:00:00,15.66,15.85,15.5,15.5,212580
2018-08-21 07:00:00,15.66,15.88,15.5,15.82,159710
2018-08-22 07:00:00,15.88,16.08,15.76,15.88,237830
2018-08-23 07:00:00,15.82,16.86,15.82,16.86,532360
2018-08-24 07:00:00,16.99,17.12,16.63,16.86,227250
2018-08-27 07:00:00,16.66,16.82,16.44,16.53,220200
2018-08-28 07:00:00,16.53,16.66,16.34,16.66,391050
2018-08-29 07:00:00,16.47,16.66,16.27,16.34,502570
2018-08-30 07:00:00,16.34,16.66,16.34,16.5,181590
2018-08-31 07:00:00,16.53,16.66,16.37,16.37,101910
2018-09-04 07:00:00,16.37,16.53,15.88,16.21,160410
2018-09-05 07:00:00,15.88,16.31,15.88,16.18,404440
2018-09-06 07:00:00,16.18,16.18,15.92,15.92,71550
2018-09-07 07:00:00,15.88,16.21,15.69,16.21,178050
2018-09-10 07:00:00,16.21,16.31,15.98,15.98,225560
2018-09-11 07:00:00,15.98,15.98,15.56,15.88,123100
2018-09-12 07:00:00,15.79,16.14,15.72,16.14,86270
2018-09-13 07:00:00,16.14,16.21,15.82,16.11,112260
2018-09-14 07:00:00,16.11,16.73,16.11,16.7,600850
2018-09-17 07:00:00,16.73,17.51,16.73,17.38,922830
2018-09-18 07:00:00,17.38,17.64,17.05,17.57,608430
2018-09-19 07:00:00,17.57,17.64,17.18,17.18,548670
2018-09-20 07:00:00,17.18,17.51,17.12,17.34,302190
2018-09-21 07:00:00,17.34,17.38,17.12,17.12,701170
2018-09-24 07:00:00,16.99,17.18,16.92,17.02,207190
2018-09-25 07:00:00,17.02,18.19,17.02,17.51,573980
2018-09-26 07:00:00,17.83,18.09,17.51,17.8,495710
2018-09-27 07:00:00,17.8,17.8,17.34,17.44,515370
2018-09-28 07:00:00,17.38,17.47,17.18,17.25,520380
2018-10-01 07:00:00,17.51,17.57,17.28,17.47,847110
2018-10-02 07:00:00,17.31,17.7,17.31,17.38,457980
2018-10-03 07:00:00,17.38,17.51,17.31,17.38,302140
2018-10-04 07:00:00,17.47,17.96,17.47,17.93,446050
2018-10-05 07:00:00,17.93,18.67,17.89,18.45,793960
2018-10-08 07:00:00,18.15,19.32,17.89,18.8,1077740
2018-10-09 07:00:00,18.67,18.87,18.48,18.48,560300
2018-10-10 07:00:00,18.67,18.67,18.09,18.15,739420
2018-10-11 07:00:00,17.51,17.89,16.99,17.12,1174670
2018-10-12 07:00:00,16.92,18.25,16.92,17.96,614830
2018-10-15 07:00:00,17.93,18.45,17.67,18.28,491040
2018-10-16 07:00:00,18.09,19.0,18.02,19.0,658710
2018-10-17 07:00:00,19.13,19.58,18.8,18.87,352820
2018-10-18 07:00:00,18.93,19.13,18.67,18.87,337570
2018-10-19 07:00:00,18.22,19.03,18.22,18.93,334860
2018-10-22 07:00:00,18.8,19.06,18.67,18.67,300230
2018-10-23 07:00:00,18.48,18.67,18.09,18.61,431990
2018-10-24 07:00:00,18.35,18.93,18.15,18.22,300160
2018-10-25 07:00:00,18.28,18.28,17.54,18.28,553700
2018-10-26 07:00:00,18.28,18.74,18.19,18.19,109180
2018-10-29 07:00:00,17.99,18.22,17.89,18.22,263080
2018-10-30 07:00:00,17.83,18.12,17.76,17.89,294550
2018-10-31 07:00:00,17.51,18.74,17.51,18.48,343510
2018-11-01 07:00:00,18.48,18.48,18.15,18.32,66060
2018-11-02 07:00:00,18.02,19.45,18.02,18.74,259240
2018-11-05 07:00:00,18.48,19.32,18.48,19.32,78860
2018-11-06 07:00:00,19.19,19.26,18.8,19.0,48520
2018-11-07 07:00:00,18.87,19.26,18.74,18.93,110530
2018-11-08 07:00:00,18.93,19.06,18.8,18.8,82170
2018-11-09 07:00:00,18.41,18.8,18.41,18.74,39670
2018-11-12 07:00:00,18.74,18.74,18.48,18.54,86770
2018-11-13 07:00:00,18.38,18.93,18.15,18.93,962000
2018-11-14 07:00:00,19.06,20.1,18.93,20.0,1146700
2018-11-15 07:00:00,20.1,20.36,19.97,20.0,255830
2018-11-16 07:00:00,20.1,20.62,19.9,20.1,451570
2018-11-19 07:00:00,20.03,20.1,19.65,19.9,442330
2018-11-20 07:00:00,19.9,20.68,19.71,20.68,714790
2018-11-21 07:00:00,20.68,20.88,20.36,20.75,295440
2018-11-22 07:00:00,20.75,21.04,20.36,20.75,349930
2018-11-23 07:00:00,20.75,20.75,20.16,20.16,331390
2018-11-26 07:00:00,20.16,20.75,19.84,20.75,297470
2018-11-27 07:00:00,20.75,20.81,20.36,20.72,254160
2018-11-28 07:00:00,20.49,20.68,20.1,20.42,172110
2018-11-29 07:00:00,20.29,20.68,19.45,19.71,251210
2018-11-30 07:00:00,19.61,20.42,18.8,20.42,352150
2018-12-03 07:00:00,20.75,21.14,20.42,21.01,962230
2018-12-04 07:00:00,21.01,21.14,20.72,21.01,396750
2018-12-05 07:00:00,20.81,20.94,20.42,20.68,249270
2018-12-06 07:00:00,20.62,20.94,20.49,20.78,197250
2018-12-07 07:00:00,20.62,20.94,20.33,20.81,445200
2018-12-10 07:00:00,20.62,20.75,20.29,20.55,111080
2018-12-11 07:00:00,20.26,20.52,20.26,20.29,121400
2018-12-12 07:00:00,20.16,20.55,20.16,20.55,252170
2018-12-13 07:00:00,21.1,21.1,20.48,20.76,204220
2018-12-14 07:00:00,20.83,20.83,20.28,20.35,107110
2018-12-17 07:00:00,20.14,21.03,20.11,20.76,138300
2018-12-18 07:00:00,20.08,20.76,20.08,20.76,394330
2018-12-19 07:00:00,20.55,21.44,20.35,21.44,542840
2018-12-20 07:00:00,21.44,22.12,21.4,22.12,635300
2018-12-21 07:00:00,22.08,22.59,21.68,22.42,486470
2018-12-24 07:00:00,22.42,22.42,21.64,22.29,214820
2018-12-25 07:00:00,21.23,22.05,21.1,21.64,193910
2018-12-26 07:00:00,21.64,22.05,21.34,21.64,115840
2018-12-27 07:00:00,21.78,22.25,21.64,22.12,193370
2018-12-28 07:00:00,22.12,23.04,21.78,22.76,894040
2019-01-02 07:00:00,22.8,23.24,22.49,23.14,292750
2019-01-03 07:00:00,23.0,23.11,22.46,23.11,224650
2019-01-04 07:00:00,22.76,23.58,22.46,23.58,230000
2019-01-07 07:00:00,23.79,25.18,23.48,23.82,596060
2019-01-08 07:00:00,24.02,24.16,22.59,23.82,660350
2019-01-09 07:00:00,23.82,24.02,23.41,24.02,202560
2019-01-10 07:00:00,23.85,24.64,23.85,23.89,149120
2019-01-11 07:00:00,23.89,24.64,23.48,24.5,254120
2019-01-14 07:00:00,24.5,25.04,24.5,24.84,206650
2019-01-15 07:00:00,25.04,25.04,24.5,24.84,402480
2019-01-16 07:00:00,24.64,24.84,24.4,24.5,356810
2019-01-17 07:00:00,24.43,24.47,23.0,23.62,1018660
2019-01-18 07:00:00,23.68,24.5,23.11,24.5,251870
2019-01-21 07:00:00,24.5,24.6,24.06,24.57,243250
2019-01-22 07:00:00,24.47,24.57,24.16,24.16,129390
2019-01-23 07:00:00,24.13,24.84,23.96,24.64,579260
2019-01-24 07:00:00,24.57,24.64,24.23,24.43,102680
2019-01-25 07:00:00,24.43,24.57,24.16,24.23,89600
