time,open,high,low,close,volume
2018-08-09 07:00:00,10.82,10.89,10.82,10.89,13405
2018-08-10 07:00:00,10.89,10.89,10.89,10.89,42139
2018-08-13 07:00:00,10.69,10.89,10.69,10.82,8100
2018-08-14 07:00:00,10.89,10.89,10.89,10.89,8000
2018-08-15 07:00:00,10.89,10.89,10.69,10.69,7355
2018-08-16 07:00:00,10.62,10.62,10.62,10.62,236
2018-08-17 07:00:00,10.56,10.82,10.56,10.62,6510
2018-08-20 07:00:00,10.89,10.89,10.62,10.82,2700
2018-08-21 07:00:00,10.89,10.89,10.75,10.82,500
2018-08-22 07:00:00,10.82,10.82,10.56,10.69,9606
2018-08-23 07:00:00,10.69,10.82,10.69,10.82,1300
2018-08-24 07:00:00,10.82,11.22,10.69,10.82,9350
2018-08-27 07:00:00,10.82,11.22,10.75,10.89,9900
2018-08-28 07:00:00,11.15,11.15,10.82,10.89,15940
2018-08-29 07:00:00,11.15,11.15,10.82,10.82,7900
2018-08-30 07:00:00,10.82,10.89,10.69,10.69,12100
2018-08-31 07:00:00,10.89,10.89,10.69,10.82,5062
2018-09-04 07:00:00,10.75,10.89,10.75,10.89,3297
2018-09-05 07:00:00,10.82,10.82,10.82,10.82,612
2018-09-06 07:00:00,10.82,10.82,10.75,10.82,5238
2018-09-07 07:00:00,10.82,10.82,10.82,10.82,19300
2018-09-10 07:00:00,10.89,10.89,10.82,10.82,2400
2018-09-11 07:00:00,10.82,10.82,10.82,10.82,4400
2018-09-12 07:00:00,10.82,10.89,10.82,10.82,15400
2018-09-13 07:00:00,10.89,10.89,10.82,10.82,22050
2018-09-14 07:00:00,11.74,11.74,10.23,11.28,225460
2018-09-17 07:00:00,11.28,12.4,11.28,12.14,90810
2018-09-18 07:00:00,12.21,12.4,12.14,12.21,9500
2018-09-19 07:00:00,11.94,12.27,11.88,12.07,48770
2018-09-20 07:00:00,12.07,12.07,11.61,11.61,63140
2018-09-21 07:00:00,11.61,11.94,11.61,11.61,38100
2018-09-24 07:00:00,11.88,11.88,11.68,11.74,15695
2018-09-25 07:00:00,11.81,11.88,11.68,11.68,21837
2018-09-26 07:00:00,11.74,12.21,11.48,12.14,145440
2018-09-27 07:00:00,12.4,12.4,12.01,12.07,22720
2018-09-28 07:00:00,12.34,12.34,11.94,12.07,8600
2018-10-01 07:00:00,12.07,12.07,11.55,11.55,45700
2018-10-02 07:00:00,12.01,12.21,11.61,11.81,20199
2018-10-03 07:00:00,11.81,11.88,11.61,11.81,25307
2018-10-04 07:00:00,11.88,11.88,11.61,11.61,35800
2018-10-05 07:00:00,12.07,12.07,11.55,11.68,31419
2018-10-08 07:00:00,11.88,11.88,11.55,11.61,27000
2018-10-09 07:00:00,11.88,11.88,11.55,11.61,37100
2018-10-10 07:00:00,11.68,11.74,11.68,11.68,38626
2018-10-11 07:00:00,11.68,11.68,11.28,11.55,34300
2018-10-12 07:00:00,11.55,11.61,11.35,11.41,127100
2018-10-15 07:00:00,11.88,11.88,11.28,11.48,28100
2018-10-16 07:00:00,11.68,11.68,11.41,11.55,54570
2018-10-17 07:00:00,11.88,11.88,11.41,11.68,34420
2018-10-18 07:00:00,11.68,12.07,11.68,11.81,32910
2018-10-19 07:00:00,12.07,12.07,11.55,11.74,1040
2018-10-22 07:00:00,11.81,12.01,11.74,11.88,189585
2018-10-23 07:00:00,11.74,11.88,11.61,11.74,44420
2018-10-24 07:00:00,11.55,11.55,11.41,11.55,11540
2018-10-25 07:00:00,11.61,11.61,10.89,11.48,44651
2018-10-26 07:00:00,11.74,11.74,11.28,11.55,8132
2018-10-29 07:00:00,10.56,11.48,10.56,11.35,34449
2018-10-30 07:00:00,11.35,11.55,11.22,11.55,20000
2018-10-31 07:00:00,11.48,11.88,11.22,11.22,15574
2018-11-01 07:00:00,11.41,11.41,11.28,11.28,8326
2018-11-02 07:00:00,11.61,11.61,11.28,11.35,2900
2018-11-05 07:00:00,11.55,11.55,11.22,11.28,23973
2018-11-06 07:00:00,11.28,11.55,11.22,11.35,7969
2018-11-08 07:00:00,11.28,11.41,11.22,11.41,8100
2018-11-09 07:00:00,11.41,11.88,11.15,11.55,974
2018-11-12 07:00:00,11.28,11.48,11.28,11.48,600
2018-11-13 07:00:00,11.48,11.48,11.28,11.35,7150
2018-11-14 07:00:00,11.35,11.35,11.35,11.35,500
2018-11-15 07:00:00,11.55,11.88,11.55,11.88,387
2018-11-16 07:00:00,11.61,11.61,11.55,11.55,10455
2018-11-19 07:00:00,11.55,11.68,11.28,11.28,50503
2018-11-20 07:00:00,11.88,11.88,10.95,11.22,30100
2018-11-21 07:00:00,11.68,11.68,10.95,11.28,56212
2018-11-22 07:00:00,11.81,11.81,11.22,11.35,101400
2018-11-23 07:00:00,11.08,11.61,11.08,11.22,10603
2018-11-26 07:00:00,11.41,11.41,11.08,11.22,76100
2018-11-27 07:00:00,11.55,11.55,11.08,11.15,8600
2018-11-28 07:00:00,11.15,11.22,11.15,11.22,600
