time,open,high,low,close,volume
2018-08-09 07:00:00,47.48,47.78,46.07,46.74,848730
2018-08-10 07:00:00,46.74,47.48,46.14,47.48,665110
2018-08-13 07:00:00,47.48,49.41,46.81,49.41,1369790
2018-08-14 07:00:00,49.11,49.19,48.37,48.74,628640
2018-08-15 07:00:00,48.74,48.82,46.59,46.66,733050
2018-08-16 07:00:00,45.77,48.3,45.32,48.0,1441710
2018-08-17 07:00:00,48.22,48.44,47.55,47.7,530720
2018-08-20 07:00:00,47.55,49.41,47.55,48.67,1133600
2018-08-21 07:00:00,48.44,49.34,48.15,48.89,753180
2018-08-22 07:00:00,49.41,49.78,48.67,48.74,681810
2018-08-23 07:00:00,49.11,49.48,48.59,48.96,535200
2018-08-24 07:00:00,48.67,50.75,48.67,50.52,2117990
2018-08-27 07:00:00,50.52,51.49,50.52,51.12,893630
2018-08-28 07:00:00,51.12,51.56,50.6,51.27,859970
2018-08-29 07:00:00,51.27,51.27,49.78,50.0,1403870
2018-08-30 07:00:00,50.15,51.12,49.56,51.12,971010
2018-08-31 07:00:00,51.27,51.79,50.38,50.38,465030
2018-09-04 07:00:00,50.38,51.12,49.93,50.08,735330
2018-09-05 07:00:00,49.86,50.45,49.26,49.78,1307880
2018-09-06 07:00:00,49.63,50.23,49.48,49.86,924700
2018-09-07 07:00:00,49.71,50.45,49.63,50.38,592540
2018-09-10 07:00:00,50.38,52.23,50.38,51.64,1877740
2018-09-11 07:00:00,51.64,52.23,51.42,52.01,734210
2018-09-12 07:00:00,52.75,53.42,52.23,52.75,1294740
2018-09-13 07:00:00,52.6,53.42,51.64,51.86,1349440
2018-09-14 07:00:00,51.56,52.53,51.19,52.46,1147060
2018-09-17 07:00:00,52.01,53.42,51.71,52.9,871820
2018-09-18 07:00:00,52.38,53.12,52.08,53.05,613920
2018-09-19 07:00:00,53.5,53.72,52.53,52.53,887800
2018-09-20 07:00:00,52.83,53.05,52.46,52.98,701700
2018-09-21 07:00:00,53.2,53.27,52.38,52.6,1786260
2018-09-24 07:00:00,52.98,54.31,52.75,54.24,1223920
2018-09-25 07:00:00,54.46,54.91,54.16,54.31,842810
2018-09-26 07:00:00,54.31,54.31,53.5,53.5,1070320
2018-09-27 07:00:00,53.5,53.87,53.12,53.57,786580
2018-09-28 07:00:00,53.5,54.02,52.75,52.75,798310
2018-10-01 07:00:00,52.75,53.94,52.68,53.2,905790
2018-10-02 07:00:00,53.57,53.79,52.38,52.75,640350
2018-10-03 07:00:00,52.75,52.83,52.38,52.53,461970
2018-10-04 07:00:00,53.27,53.27,52.53,53.12,501260
2018-10-05 07:00:00,52.75,53.05,51.27,51.27,761890
2018-10-08 07:00:00,51.12,51.27,49.41,49.63,1448090
2018-10-09 07:00:00,50.15,50.3,49.78,49.86,547390
2018-10-10 07:00:00,50.3,50.3,49.63,49.78,431240
