time,open,high,low,close,volume
2018-08-09 07:00:00,29.64,30.66,29.61,30.6,621900
2018-08-10 07:00:00,30.53,31.1,30.44,30.6,440650
2018-08-13 07:00:00,30.6,31.07,30.18,31.07,495460
2018-08-14 07:00:00,31.39,32.51,31.1,32.51,1080220
2018-08-15 07:00:00,32.51,32.89,31.39,31.55,598050
2018-08-16 07:00:00,31.07,32.19,30.91,32.19,486970
2018-08-17 07:00:00,32.35,32.63,31.55,31.55,372440
2018-08-20 07:00:00,31.55,32.25,31.46,31.84,396840
2018-08-21 07:00:00,32.16,33.46,31.74,33.46,768210
2018-08-22 07:00:00,33.46,33.53,32.76,33.11,485360
2018-08-23 07:00:00,32.83,33.11,32.57,33.08,455700
2018-08-24 07:00:00,32.83,33.37,32.73,33.11,360740
2018-08-27 07:00:00,33.4,33.53,32.73,32.83,500450
2018-08-28 07:00:00,33.11,33.14,32.76,32.83,381080
2018-08-29 07:00:00,32.83,33.34,32.79,33.18,526510
2018-08-30 07:00:00,33.18,33.94,32.86,33.78,555710
2018-08-31 07:00:00,33.75,33.78,32.86,32.86,725630
2018-09-04 07:00:00,32.67,32.95,31.87,31.87,879050
2018-09-05 07:00:00,31.81,31.81,30.91,31.07,708970
2018-09-06 07:00:00,31.07,31.49,30.6,30.6,550090
2018-09-07 07:00:00,30.6,31.36,30.6,31.3,344570
2018-09-10 07:00:00,31.3,31.55,31.14,31.3,225430
2018-09-11 07:00:00,31.23,31.84,30.91,31.77,369850
2018-09-12 07:00:00,31.87,32.54,31.87,32.03,495280
2018-09-13 07:00:00,32.03,32.7,32.03,32.35,428650
2018-09-14 07:00:00,32.35,32.6,32.19,32.48,318500
2018-09-17 07:00:00,32.19,32.48,31.68,31.84,665280
2018-09-18 07:00:00,31.36,31.74,31.36,31.55,642400
2018-09-19 07:00:00,32.19,32.19,31.46,31.68,367070
2018-09-20 07:00:00,31.87,31.93,31.49,31.68,411870
2018-09-21 07:00:00,31.68,32.38,31.68,32.38,684370
2018-09-24 07:00:00,32.79,32.92,32.51,32.63,448020
2018-09-25 07:00:00,32.51,33.21,32.22,32.98,663540
2018-09-26 07:00:00,32.86,33.11,32.67,32.67,400590
2018-09-27 07:00:00,32.67,32.92,32.48,32.76,277900
2018-09-28 07:00:00,32.76,33.84,32.76,33.62,1264710
2018-10-01 07:00:00,33.62,34.26,33.14,33.49,603020
2018-10-02 07:00:00,33.46,33.81,33.34,33.34,477400
2018-10-03 07:00:00,33.59,34.39,33.37,34.35,837480
2018-10-04 07:00:00,34.42,34.96,34.39,34.42,554870
2018-10-05 07:00:00,34.42,34.74,33.94,34.01,560060
