time,open,high,low,close,volume
2018-08-09 07:00:00,15.55,15.72,15.12,15.46,173600
2018-08-10 07:00:00,15.37,15.89,15.2,15.55,110711
2018-08-13 07:00:00,15.29,15.63,14.94,15.55,148545
2018-08-14 07:00:00,15.55,15.55,14.94,15.12,56000
2018-08-15 07:00:00,15.12,15.55,14.08,14.17,225280
2018-08-16 07:00:00,13.99,14.68,13.65,14.68,153334
2018-08-17 07:00:00,14.86,14.86,14.17,14.17,26600
2018-08-20 07:00:00,14.17,14.86,13.99,14.42,79800
2018-08-21 07:00:00,14.25,14.94,14.25,14.86,53000
2018-08-22 07:00:00,15.12,15.55,14.68,15.03,79600
2018-08-23 07:00:00,15.37,15.37,14.68,14.86,75900
2018-08-24 07:00:00,14.68,15.29,14.6,14.94,115310
2018-08-27 07:00:00,15.37,15.37,14.86,15.12,127900
2018-08-28 07:00:00,15.2,15.29,14.86,15.03,82300
2018-08-29 07:00:00,14.94,15.03,14.68,14.86,64120
2018-08-30 07:00:00,14.86,15.2,14.68,15.12,117810
2018-08-31 07:00:00,15.12,15.46,14.77,14.86,158088
2018-09-04 07:00:00,14.86,14.94,14.6,14.94,49370
2018-09-05 07:00:00,14.68,14.86,14.51,14.68,42410
2018-09-06 07:00:00,14.51,14.6,14.34,14.34,81368
2018-09-07 07:00:00,14.34,14.51,14.25,14.42,27000
2018-09-10 07:00:00,14.34,14.6,14.34,14.42,36700
2018-09-11 07:00:00,14.25,14.6,14.25,14.51,29800
2018-09-12 07:00:00,14.6,15.89,14.6,15.89,514510
2018-09-13 07:00:00,16.07,17.45,16.07,17.45,606968
2018-09-14 07:00:00,18.14,19.0,18.14,18.74,502525
2018-09-17 07:00:00,18.92,19.78,18.05,19.0,531215
2018-09-18 07:00:00,19.43,19.87,18.66,19.0,361110
2018-09-19 07:00:00,19.0,19.69,18.74,18.92,292070
2018-09-20 07:00:00,18.92,19.61,18.74,19.0,403610
2018-09-21 07:00:00,19.0,19.09,18.22,18.4,363040
2018-09-24 07:00:00,18.31,19.09,18.14,18.83,241954
2018-09-25 07:00:00,19.17,20.21,19.09,20.21,711434
2018-09-26 07:00:00,20.21,20.64,19.69,20.12,478755
2018-09-27 07:00:00,19.0,20.21,19.0,20.04,468180
2018-09-28 07:00:00,20.12,21.59,19.95,19.95,1039720
2018-10-01 07:00:00,20.64,21.07,20.3,20.73,504835
2018-10-02 07:00:00,21.25,21.85,20.47,20.73,477702
2018-10-03 07:00:00,20.73,20.9,20.04,20.38,453288
2018-10-04 07:00:00,20.73,21.25,20.64,20.73,413570
2018-10-05 07:00:00,20.56,20.56,19.35,19.43,1015710
2018-10-08 07:00:00,19.43,19.43,18.48,18.92,417910
2018-10-09 07:00:00,19.0,19.52,19.0,19.35,279440
2018-10-10 07:00:00,19.35,19.43,19.0,19.17,271500
2018-10-11 07:00:00,18.57,18.57,17.27,17.27,1074150
2018-10-12 07:00:00,16.41,17.79,16.41,17.71,417950
2018-10-15 07:00:00,17.79,17.88,17.02,17.02,192500
2018-10-16 07:00:00,17.02,17.71,17.02,17.45,202710
2018-10-17 07:00:00,17.97,18.31,17.88,18.22,296870
2018-10-18 07:00:00,18.14,18.14,17.36,17.71,158500
2018-10-19 07:00:00,17.53,17.79,17.1,17.79,163900
2018-10-22 07:00:00,18.05,18.05,17.1,17.19,209296
2018-10-23 07:00:00,17.1,17.19,16.15,16.76,255300
2018-10-24 07:00:00,16.41,16.58,15.72,15.98,225200
2018-10-25 07:00:00,15.29,16.24,14.77,15.72,326870
2018-10-26 07:00:00,15.98,16.24,15.29,15.29,150800
2018-10-29 07:00:00,15.2,15.55,15.2,15.29,122520
2018-10-30 07:00:00,15.2,15.81,15.12,15.37,236200
2018-10-31 07:00:00,15.63,16.24,15.63,16.07,263120
2018-11-01 07:00:00,16.07,16.07,15.55,15.72,125230
2018-11-02 07:00:00,15.63,16.24,15.46,16.07,169700
2018-11-05 07:00:00,15.98,16.24,15.72,16.24,108520
2018-11-06 07:00:00,16.41,16.84,15.98,16.5,393020
2018-11-07 07:00:00,16.5,16.58,16.07,16.15,141320
2018-11-08 07:00:00,16.41,16.41,15.98,16.07,91300
2018-11-09 07:00:00,15.72,15.81,15.2,15.2,298320
2018-11-12 07:00:00,15.12,15.72,15.12,15.72,207607
2018-11-13 07:00:00,15.37,15.63,15.12,15.37,168620
2018-11-14 07:00:00,14.94,15.29,14.68,14.94,243100
2018-11-15 07:00:00,14.86,15.2,14.86,15.12,108300
2018-11-16 07:00:00,15.2,15.81,15.12,15.37,212300
2018-11-19 07:00:00,15.72,15.89,15.46,15.72,142561
2018-11-20 07:00:00,15.72,15.81,15.46,15.72,152300
2018-11-21 07:00:00,15.72,15.72,15.2,15.72,150520
2018-11-22 07:00:00,15.81,15.98,15.46,15.46,91100
2018-11-23 07:00:00,15.46,15.55,15.12,15.12,98100
2018-11-26 07:00:00,15.12,15.2,14.68,15.03,69600
2018-11-27 07:00:00,15.2,15.2,14.68,14.77,110311
2018-11-28 07:00:00,14.68,15.12,14.68,15.12,70200
2018-11-29 07:00:00,15.03,15.12,14.77,14.77,64500
2018-11-30 07:00:00,14.94,15.03,14.77,15.03,55720
2018-12-03 07:00:00,15.37,15.72,15.37,15.72,165635
2018-12-04 07:00:00,15.72,15.81,15.46,15.46,61900
2018-12-05 07:00:00,15.29,15.55,15.2,15.55,126220
2018-12-06 07:00:00,15.63,16.32,15.55,16.07,415640
2018-12-07 07:00:00,16.07,16.24,15.98,15.98,188052
2018-12-10 07:00:00,15.98,16.32,15.98,16.15,123522
2018-12-11 07:00:00,15.98,15.98,15.63,15.63,129808
2018-12-12 07:00:00,15.81,16.07,15.63,15.89,198742
2018-12-13 07:00:00,16.07,16.15,15.81,15.89,33710
2018-12-14 07:00:00,15.89,16.07,15.72,15.72,142500
2018-12-17 07:00:00,15.63,15.72,15.29,15.29,130020
2018-12-18 07:00:00,15.2,15.2,14.68,14.94,158600
2018-12-19 07:00:00,14.77,14.86,14.25,14.34,241010
2018-12-20 07:00:00,14.34,14.6,12.96,14.25,145300
2018-12-21 07:00:00,14.17,14.6,14.17,14.42,73840
2018-12-24 07:00:00,14.42,14.51,14.08,14.08,109400
2018-12-25 07:00:00,13.82,13.82,13.21,13.65,196312
2018-12-26 07:00:00,13.73,13.99,13.47,13.47,65000
2018-12-27 07:00:00,13.82,14.25,13.82,13.82,131860
2018-12-28 07:00:00,13.91,13.99,12.96,13.65,131370
2019-01-02 07:00:00,13.91,13.91,13.39,13.56,54600
2019-01-03 07:00:00,13.82,13.82,13.13,13.13,76224
2019-01-04 07:00:00,13.04,13.56,13.04,13.47,73220
2019-01-07 07:00:00,13.82,13.82,13.47,13.65,69030
2019-01-08 07:00:00,13.65,13.82,13.65,13.82,42820
