time,open,high,low,close,volume
2018-08-09 07:00:00,14.04,14.31,13.62,13.69,8860770
2018-08-10 07:00:00,13.62,14.45,13.55,14.45,6813948
2018-08-13 07:00:00,14.52,14.8,14.04,14.45,8042307
2018-08-14 07:00:00,14.52,14.66,14.24,14.52,5100323
2018-08-15 07:00:00,14.52,14.8,13.07,13.07,15986371
2018-08-16 07:00:00,12.79,13.55,12.65,13.34,8095755
2018-08-17 07:00:00,13.62,13.69,13.07,13.14,3767159
2018-08-20 07:00:00,13.14,13.48,12.79,13.34,3241181
2018-08-21 07:00:00,13.34,13.76,13.28,13.76,4308899
2018-08-22 07:00:00,13.83,14.04,13.55,13.69,5140187
2018-08-23 07:00:00,13.83,14.17,13.76,13.9,4830360
2018-08-24 07:00:00,13.9,14.38,13.76,14.31,7859362
2018-08-27 07:00:00,14.45,14.93,14.24,14.24,6300334
2018-08-28 07:00:00,14.24,14.52,14.17,14.38,4215083
2018-08-29 07:00:00,14.45,14.45,14.1,14.24,3829997
2018-08-30 07:00:00,14.04,15.14,14.04,15.07,8641733
2018-08-31 07:00:00,15.35,15.35,14.66,14.8,5031010
2018-09-04 07:00:00,14.8,15.28,14.66,15.07,7457585
2018-09-05 07:00:00,15.0,15.07,14.17,14.52,8462551
2018-09-06 07:00:00,14.52,14.66,14.24,14.52,4159830
2018-09-07 07:00:00,14.38,14.66,14.1,14.45,7883581
2018-09-10 07:00:00,14.38,14.8,14.24,14.45,4694352
2018-09-11 07:00:00,14.38,15.0,14.38,14.93,5457150
2018-09-12 07:00:00,15.07,16.04,15.07,15.56,12463806
2018-09-13 07:00:00,15.56,15.83,15.28,15.35,5972187
2018-09-14 07:00:00,14.31,15.76,14.31,15.63,6043387
2018-09-17 07:00:00,15.56,15.97,15.49,15.76,6225048
2018-09-18 07:00:00,15.76,15.83,15.42,15.76,4055461
2018-09-19 07:00:00,15.76,16.39,15.76,16.11,7139713
2018-09-20 07:00:00,16.32,16.39,16.11,16.32,5289217
2018-09-21 07:00:00,16.39,16.39,15.76,16.04,8162189
2018-09-24 07:00:00,16.18,16.32,16.04,16.32,3778582
2018-09-25 07:00:00,16.45,16.8,16.39,16.45,4586905
2018-09-26 07:00:00,16.52,16.52,16.04,16.04,7302032
2018-09-27 07:00:00,15.97,16.52,15.97,16.52,6586775
2018-09-28 07:00:00,16.59,16.66,16.04,16.04,5554767
2018-10-01 07:00:00,16.04,16.45,15.97,16.11,5068595
2018-10-02 07:00:00,16.32,17.15,16.25,16.59,11400683
2018-10-03 07:00:00,16.66,16.73,16.39,16.73,4198825
2018-10-04 07:00:00,16.73,17.22,16.73,16.87,6759166
2018-10-05 07:00:00,16.73,16.87,15.83,16.04,8720601
2018-10-08 07:00:00,16.04,16.04,15.56,15.7,6989243
2018-10-09 07:00:00,15.7,16.11,15.63,16.04,2969808
2018-10-10 07:00:00,16.18,16.25,15.56,15.63,4746031
2018-10-11 07:00:00,14.1,15.21,14.1,14.1,13037893
2018-10-12 07:00:00,14.38,14.45,13.21,14.45,6940425
2018-10-15 07:00:00,14.66,14.66,13.62,13.62,4892512
2018-10-16 07:00:00,13.62,14.1,13.55,14.04,5861305
2018-10-17 07:00:00,14.24,14.73,14.24,14.59,4927436
2018-10-18 07:00:00,14.52,14.52,14.1,14.24,4423376
2018-10-19 07:00:00,14.1,14.38,13.76,14.38,4665225
2018-10-22 07:00:00,14.45,14.8,14.38,14.45,4854686
2018-10-23 07:00:00,14.45,14.45,13.55,14.04,5689909
2018-10-24 07:00:00,12.65,14.04,12.65,12.79,6125021
2018-10-25 07:00:00,12.24,13.21,11.75,13.21,5916784
2018-10-26 07:00:00,13.28,13.55,13.0,13.0,3886800
2018-10-29 07:00:00,13.07,13.34,12.93,13.21,5069383
2018-10-30 07:00:00,13.66,13.74,13.21,13.58,4326036
2018-10-31 07:00:00,13.66,14.42,13.66,14.42,5209645
2018-11-01 07:00:00,13.96,14.42,13.81,13.81,4097881
2018-11-02 07:00:00,13.66,14.27,13.58,14.19,4493864
2018-11-05 07:00:00,14.12,14.65,13.89,14.5,4204399
2018-11-06 07:00:00,14.65,14.95,14.27,14.34,4434860
2018-11-07 07:00:00,14.19,14.42,14.04,14.27,3792490
2018-11-08 07:00:00,14.42,14.65,14.12,14.19,3404967
2018-11-09 07:00:00,14.04,14.12,13.51,13.51,4887464
2018-11-12 07:00:00,13.43,14.34,13.28,14.34,5819811
2018-11-13 07:00:00,13.66,14.34,13.66,14.19,4562502
2018-11-14 07:00:00,14.04,14.04,13.51,13.81,4615514
2018-11-15 07:00:00,13.81,14.19,13.81,13.96,4208150
2018-11-16 07:00:00,14.19,14.8,14.12,14.5,5714316
2018-11-19 07:00:00,14.65,14.88,14.5,14.65,4275539
