time,open,high,low,close,volume
2018-08-09 07:00:00,7.76,7.82,7.67,7.67,164670
2018-08-10 07:00:00,7.76,7.8,7.65,7.8,163590
2018-08-13 07:00:00,7.89,7.89,7.67,7.87,232020
2018-08-14 07:00:00,7.94,7.94,7.76,7.85,129530
2018-08-15 07:00:00,7.91,7.91,7.74,7.87,308420
2018-08-16 07:00:00,7.87,7.87,7.71,7.85,270630
2018-08-17 07:00:00,7.85,7.85,7.67,7.8,106770
2018-08-20 07:00:00,7.76,7.8,7.69,7.78,192460
2018-08-21 07:00:00,7.78,7.8,7.67,7.76,160780
2018-08-22 07:00:00,8.06,8.21,7.85,8.02,313590
2018-08-23 07:00:00,7.97,8.09,7.97,8.04,83950
2018-08-24 07:00:00,8.04,8.09,7.9,7.92,122510
2018-08-27 07:00:00,8.04,8.04,7.88,7.92,301990
2018-08-28 07:00:00,7.95,8.18,7.9,8.18,311830
2018-08-29 07:00:00,8.18,8.18,8.02,8.16,129400
2018-08-30 07:00:00,8.04,8.32,7.99,8.28,531090
2018-08-31 07:00:00,8.28,8.28,8.14,8.25,87880
2018-09-04 07:00:00,8.16,8.28,8.06,8.28,289130
2018-09-05 07:00:00,8.14,8.32,8.14,8.28,160840
2018-09-06 07:00:00,8.28,8.28,8.18,8.21,72670
2018-09-07 07:00:00,8.18,8.56,8.18,8.51,227260
2018-09-10 07:00:00,8.68,8.68,8.37,8.42,113220
2018-09-11 07:00:00,8.37,8.54,8.37,8.51,93110
2018-09-12 07:00:00,8.61,8.77,8.49,8.61,271760
2018-09-13 07:00:00,8.8,8.8,8.51,8.51,227040
2018-09-14 07:00:00,8.44,8.61,8.42,8.47,121510
2018-09-17 07:00:00,8.47,8.61,8.3,8.35,348170
2018-09-18 07:00:00,8.28,8.35,8.23,8.35,111700
2018-09-19 07:00:00,8.35,8.51,8.23,8.47,236120
2018-09-20 07:00:00,8.47,8.49,8.28,8.47,306390
2018-09-21 07:00:00,8.37,8.51,8.3,8.49,200000
2018-09-24 07:00:00,8.42,8.47,8.35,8.35,108890
2018-09-25 07:00:00,8.47,8.66,8.37,8.54,402030
2018-09-26 07:00:00,8.56,8.8,8.54,8.8,447440
2018-09-27 07:00:00,8.8,8.94,8.7,8.85,398660
2018-09-28 07:00:00,8.85,8.96,8.73,8.94,413380
2018-10-01 07:00:00,8.89,8.94,8.7,8.94,311380
2018-10-02 07:00:00,8.94,8.99,8.8,8.89,193960
2018-10-03 07:00:00,8.94,8.94,8.77,8.87,71980
2018-10-04 07:00:00,8.82,8.89,8.82,8.87,148740
2018-10-05 07:00:00,8.66,8.85,8.66,8.8,102850
2018-10-08 07:00:00,8.8,9.22,8.8,8.96,296530
2018-10-09 07:00:00,8.96,9.03,8.85,8.87,61280
2018-10-10 07:00:00,8.87,8.87,8.73,8.85,101930
2018-10-11 07:00:00,8.42,8.51,8.23,8.42,393910
2018-10-12 07:00:00,7.95,8.42,7.95,8.4,227790
2018-10-15 07:00:00,8.32,8.37,8.14,8.32,141660
2018-10-16 07:00:00,8.32,8.32,8.11,8.21,318640
2018-10-17 07:00:00,8.28,8.28,8.16,8.28,158290
2018-10-18 07:00:00,8.23,8.44,8.14,8.32,89230
2018-10-19 07:00:00,8.23,8.3,8.11,8.3,41220
2018-10-22 07:00:00,8.3,8.37,8.23,8.3,48830
2018-10-23 07:00:00,8.23,8.23,7.8,7.95,170330
2018-10-24 07:00:00,7.9,8.04,7.62,7.95,292730
2018-10-25 07:00:00,7.57,8.06,7.47,7.97,185000
2018-10-26 07:00:00,7.97,7.97,7.66,7.88,115830
2018-10-29 07:00:00,7.62,7.8,7.59,7.8,58930
2018-10-30 07:00:00,7.57,8.02,7.57,8.02,108300
2018-10-31 07:00:00,8.04,8.32,8.02,8.28,167240
2018-11-01 07:00:00,8.28,8.42,8.14,8.37,118950
2018-11-02 07:00:00,8.21,8.54,8.21,8.54,103900
2018-11-05 07:00:00,8.54,8.54,8.25,8.47,37490
2018-11-06 07:00:00,8.51,8.51,8.04,8.3,172620
2018-11-07 07:00:00,8.11,8.35,8.06,8.14,166800
2018-11-08 07:00:00,8.14,8.23,8.04,8.18,102590
2018-11-09 07:00:00,8.18,8.18,7.9,8.04,59540
2018-11-12 07:00:00,7.9,8.02,7.88,8.02,146240
2018-11-13 07:00:00,7.99,7.99,7.69,7.8,127100
2018-11-14 07:00:00,7.71,8.35,7.66,8.35,285190
2018-11-15 07:00:00,8.04,8.37,7.92,8.02,134440
2018-11-16 07:00:00,8.02,8.09,7.83,8.02,137070
2018-11-19 07:00:00,7.99,8.04,7.92,8.04,64650
2018-11-20 07:00:00,7.83,7.97,7.8,7.95,356370
2018-11-21 07:00:00,7.83,7.99,7.83,7.99,49230
2018-11-22 07:00:00,7.95,7.95,7.8,7.95,165410
2018-11-23 07:00:00,7.83,7.83,7.64,7.76,254000
2018-11-26 07:00:00,7.76,7.8,7.69,7.8,27300
2018-11-27 07:00:00,7.8,7.8,7.57,7.62,262660
2018-11-28 07:00:00,7.57,7.57,7.43,7.57,165890
2018-11-29 07:00:00,7.57,7.57,7.47,7.57,121230
2018-11-30 07:00:00,7.52,7.57,7.33,7.57,393710
2018-12-03 07:00:00,7.62,7.76,7.59,7.73,263140
2018-12-04 07:00:00,7.76,7.76,7.62,7.69,163010
2018-12-05 07:00:00,7.62,7.62,7.5,7.57,373780
2018-12-06 07:00:00,7.62,7.66,7.47,7.57,89860
2018-12-07 07:00:00,7.57,7.64,7.47,7.54,266080
2018-12-10 07:00:00,7.57,7.78,7.54,7.62,707670
2018-12-11 07:00:00,7.66,7.66,7.54,7.57,305120
2018-12-12 07:00:00,7.62,7.66,7.54,7.54,387560
2018-12-13 07:00:00,7.57,7.62,7.54,7.57,475110
2018-12-14 07:00:00,7.57,7.97,7.57,7.76,681850
2018-12-17 07:00:00,7.76,7.76,7.59,7.59,288080
2018-12-18 07:00:00,7.57,7.57,7.33,7.54,440460
2018-12-19 07:00:00,7.47,7.57,7.38,7.52,356230
2018-12-20 07:00:00,7.43,7.5,7.38,7.5,116680
2018-12-21 07:00:00,7.38,7.43,7.31,7.4,177340
2018-12-24 07:00:00,7.45,7.54,7.4,7.43,223910
2018-12-25 07:00:00,7.07,7.38,7.05,7.28,236350
2018-12-26 07:00:00,7.38,7.4,7.1,7.24,329190
2018-12-27 07:00:00,7.4,7.45,7.26,7.31,504020
2018-12-28 07:00:00,7.57,7.66,7.43,7.43,603460
2019-01-02 07:00:00,7.54,7.59,7.38,7.38,226030
2019-01-03 07:00:00,7.43,7.43,7.19,7.19,343070
2019-01-04 07:00:00,7.24,7.54,7.1,7.52,409640
2019-01-07 07:00:00,7.57,7.64,7.5,7.57,146060
2019-01-08 07:00:00,7.57,7.57,7.43,7.52,160570
2019-01-09 07:00:00,7.52,7.64,7.52,7.59,236550
2019-01-10 07:00:00,7.59,7.62,7.57,7.57,211420
2019-01-11 07:00:00,7.62,7.62,7.47,7.59,292910
2019-01-14 07:00:00,7.5,7.57,7.47,7.57,88100
2019-01-15 07:00:00,7.57,7.83,7.57,7.8,756320
2019-01-16 07:00:00,7.8,7.88,7.76,7.8,289260
2019-01-17 07:00:00,7.8,7.8,7.73,7.78,152010
2019-01-18 07:00:00,7.76,7.76,7.64,7.71,318070
2019-01-21 07:00:00,7.8,7.8,7.69,7.69,268520
2019-01-22 07:00:00,7.66,7.85,7.64,7.83,480240
2019-01-23 07:00:00,7.83,7.83,7.71,7.83,278980
2019-01-24 07:00:00,7.83,8.04,7.83,7.95,440650
2019-01-25 07:00:00,8.02,8.04,7.9,7.97,227680
2019-01-28 07:00:00,7.97,8.14,7.92,8.09,451340
2019-01-29 07:00:00,8.09,8.14,7.99,8.11,300970
2019-01-30 07:00:00,8.11,8.21,7.99,8.02,410630
2019-01-31 07:00:00,8.06,8.11,7.99,8.04,371300
2019-02-01 07:00:00,8.04,8.06,8.02,8.04,112400
2019-02-11 07:00:00,8.04,8.28,8.02,8.23,510890
2019-02-12 07:00:00,8.3,8.35,8.14,8.21,779470
2019-02-13 07:00:00,8.21,8.3,8.14,8.28,440840
2019-02-14 07:00:00,8.28,8.32,8.18,8.32,441630
2019-02-15 07:00:00,8.28,8.35,8.18,8.32,497510
2019-02-18 07:00:00,8.37,8.4,8.32,8.37,333220
2019-02-19 07:00:00,8.3,8.37,8.21,8.21,568110
2019-02-20 07:00:00,8.21,8.21,7.99,8.14,966650
2019-02-21 07:00:00,8.14,8.14,7.95,8.04,331050
2019-02-22 07:00:00,7.99,8.18,7.95,8.11,247560
2019-02-25 07:00:00,8.14,8.16,7.99,8.09,307770
2019-02-26 07:00:00,8.04,8.09,7.95,8.06,229240
2019-02-27 07:00:00,8.06,8.18,7.99,8.18,312530
2019-02-28 07:00:00,8.25,8.25,7.99,8.18,274730
2019-03-01 07:00:00,8.18,8.18,8.04,8.04,320630
2019-03-04 07:00:00,8.04,8.32,8.04,8.32,903120
2019-03-05 07:00:00,8.23,8.61,8.23,8.32,888290
2019-03-06 07:00:00,8.21,8.42,8.09,8.42,581450
2019-03-07 07:00:00,8.3,8.42,8.25,8.25,552400
2019-03-08 07:00:00,8.25,8.25,8.11,8.23,500040
2019-03-11 07:00:00,8.23,8.23,8.04,8.18,397070
2019-03-12 07:00:00,8.16,8.37,8.14,8.32,521210
2019-03-13 07:00:00,8.42,8.42,8.28,8.37,730330
2019-03-14 07:00:00,8.37,8.37,8.23,8.23,176080
2019-03-15 07:00:00,8.23,8.3,8.18,8.3,234680
2019-03-18 07:00:00,8.3,8.47,8.25,8.47,723410
2019-03-19 07:00:00,8.49,8.59,8.3,8.47,857700
2019-03-20 07:00:00,8.47,8.47,8.25,8.47,244830
2019-03-21 07:00:00,8.47,8.51,8.3,8.32,304350
2019-03-22 07:00:00,8.3,8.32,8.14,8.28,299630
2019-03-25 07:00:00,8.02,8.18,7.95,8.18,588260
2019-03-26 07:00:00,8.21,8.23,8.04,8.18,179040
2019-03-27 07:00:00,8.16,8.21,8.02,8.14,359420
2019-03-28 07:00:00,8.14,8.23,7.97,8.18,226060
2019-03-29 07:00:00,8.09,8.18,8.02,8.04,225800
2019-04-01 07:00:00,8.16,8.16,7.83,7.83,521450
2019-04-02 07:00:00,8.04,8.04,7.66,7.73,814090
2019-04-03 07:00:00,7.76,7.8,7.62,7.71,434990
2019-04-04 07:00:00,7.71,7.83,7.69,7.76,275740
2019-04-05 07:00:00,7.85,7.95,7.73,7.85,695950
2019-04-08 07:00:00,7.95,8.14,7.95,8.04,1089470
2019-04-09 07:00:00,8.14,8.16,7.9,7.95,352260
2019-04-10 07:00:00,7.83,7.95,7.83,7.95,277790
2019-04-11 07:00:00,7.95,7.95,7.8,7.9,117520
2019-04-12 07:00:00,7.83,7.9,7.8,7.88,203280
2019-04-16 07:00:00,7.8,7.9,7.66,7.9,365180
2019-04-17 07:00:00,7.9,7.99,7.76,7.85,373750
2019-04-18 07:00:00,7.76,7.85,7.66,7.69,358060
2019-04-19 07:00:00,7.8,7.8,7.64,7.76,151760
2019-04-22 07:00:00,7.76,7.8,7.71,7.73,123130
2019-04-23 07:00:00,7.69,7.78,7.69,7.73,96930
2019-04-24 07:00:00,7.71,7.76,7.69,7.73,126490
2019-04-25 07:00:00,7.71,7.85,7.66,7.76,557060
2019-04-26 07:00:00,7.76,7.76,7.69,7.73,81130
2019-05-02 07:00:00,7.85,7.85,7.71,7.76,141320
2019-05-03 07:00:00,7.8,7.8,7.66,7.73,164520
2019-05-06 07:00:00,7.73,7.73,7.47,7.5,267690
2019-05-07 07:00:00,7.5,7.62,7.45,7.59,197280
2019-05-08 07:00:00,7.45,7.59,7.38,7.59,213590
2019-05-09 07:00:00,7.59,7.62,7.52,7.57,92230
2019-05-10 07:00:00,7.57,7.73,7.5,7.73,304570
2019-05-13 07:00:00,7.66,7.71,7.57,7.71,341720
2019-05-14 07:00:00,7.59,7.8,7.59,7.8,265270
2019-05-15 07:00:00,7.8,7.9,7.73,7.83,349600
2019-05-16 07:00:00,7.85,7.85,7.73,7.78,152690
2019-05-17 07:00:00,7.78,7.8,7.73,7.73,107960
2019-05-20 07:00:00,7.71,7.78,7.71,7.76,165930
2019-05-21 07:00:00,7.76,7.88,7.73,7.8,305540
2019-05-22 07:00:00,7.76,7.85,7.73,7.76,169580
2019-05-23 07:00:00,7.76,7.83,7.73,7.78,219540
2019-05-24 07:00:00,7.78,8.06,7.78,8.02,1269970
2019-05-27 07:00:00,7.99,8.14,7.99,8.06,338050
2019-05-28 07:00:00,8.09,8.14,7.99,8.04,180200
2019-05-29 07:00:00,7.97,8.28,7.97,8.14,641020
2019-05-30 07:00:00,8.14,8.23,8.04,8.04,305660
2019-05-31 07:00:00,7.97,8.09,7.78,7.95,269620
2019-06-03 07:00:00,7.8,7.9,7.71,7.78,334910
2019-06-04 07:00:00,7.71,7.78,7.64,7.73,283290
2019-06-05 07:00:00,7.8,7.8,7.64,7.71,268120
2019-06-06 07:00:00,7.71,7.76,7.66,7.73,259990
2019-06-07 07:00:00,7.73,7.92,7.73,7.92,361950
2019-06-10 07:00:00,7.95,7.99,7.8,7.83,221230
2019-06-11 07:00:00,7.9,7.9,7.76,7.83,159560
2019-06-12 07:00:00,7.83,7.85,7.8,7.85,121680
