time,open,high,low,close,volume
2018-08-09 07:00:00,18.53,19.32,18.53,19.08,548247
2018-08-10 07:00:00,19.32,19.78,19.08,19.32,578442
2018-08-13 07:00:00,19.18,19.41,19.18,19.18,160660
2018-08-14 07:00:00,19.18,19.64,19.08,19.36,422616
2018-08-15 07:00:00,19.36,19.55,19.08,19.18,365110
2018-08-16 07:00:00,19.08,19.22,18.85,18.99,118062
2018-08-17 07:00:00,18.9,19.04,18.71,18.85,119690
2018-08-20 07:00:00,18.8,18.9,18.62,18.8,90825
2018-08-21 07:00:00,18.62,18.76,18.62,18.66,133220
2018-08-22 07:00:00,18.71,18.71,18.57,18.57,89362
2018-08-23 07:00:00,18.53,18.57,18.15,18.29,224332
2018-08-24 07:00:00,18.25,18.62,18.2,18.62,74131
2018-08-27 07:00:00,18.39,18.8,18.39,18.53,52243
2018-08-28 07:00:00,18.48,18.62,18.43,18.57,52212
2018-08-29 07:00:00,18.2,18.57,18.2,18.39,49781
2018-08-30 07:00:00,18.29,18.43,18.29,18.39,49325
2018-08-31 07:00:00,18.39,18.43,18.29,18.29,47920
2018-09-04 07:00:00,18.25,18.29,18.11,18.15,236920
2018-09-05 07:00:00,18.15,18.15,17.83,17.87,204120
2018-09-06 07:00:00,17.92,17.92,17.64,17.73,173360
2018-09-07 07:00:00,17.69,17.87,17.6,17.64,109500
2018-09-10 07:00:00,17.69,17.73,17.55,17.69,110140
2018-09-11 07:00:00,17.64,17.97,17.64,17.87,141786
2018-09-12 07:00:00,17.69,17.97,17.69,17.92,52100
2018-09-13 07:00:00,17.83,18.01,17.83,17.87,76075
2018-09-14 07:00:00,17.83,17.97,17.83,17.97,92060
2018-09-17 07:00:00,17.92,18.01,17.87,17.92,138109
2018-09-18 07:00:00,17.87,17.92,17.83,17.87,90808
2018-09-19 07:00:00,17.83,17.97,17.78,17.87,164110
2018-09-20 07:00:00,17.92,17.97,17.87,17.92,364711
2018-09-21 07:00:00,17.92,18.43,17.92,18.39,512319
2018-09-24 07:00:00,18.53,18.53,18.25,18.34,94300
2018-09-25 07:00:00,18.34,18.39,18.15,18.25,180670
2018-09-26 07:00:00,18.29,18.29,18.06,18.11,263799
2018-09-27 07:00:00,18.01,18.53,17.97,18.39,309410
2018-09-28 07:00:00,18.39,18.43,18.2,18.25,121210
2018-10-01 07:00:00,18.29,18.43,18.29,18.34,145716
2018-10-02 07:00:00,18.25,18.43,18.25,18.39,175315
2018-10-03 07:00:00,18.34,19.08,18.34,18.9,904488
