time,open,high,low,close,volume
2018-08-09 07:00:00,69.03,71.79,68.69,71.79,134190
2018-08-10 07:00:00,71.79,72.31,70.41,72.14,79050
2018-08-13 07:00:00,72.14,72.48,71.14,72.48,84580
2018-08-14 07:00:00,72.48,72.48,71.62,72.48,33560
2018-08-15 07:00:00,72.48,73.14,71.79,72.83,44610
2018-08-16 07:00:00,72.83,73.17,71.55,73.17,56860
2018-08-17 07:00:00,73.17,73.52,72.48,73.52,45730
2018-08-20 07:00:00,72.52,73.52,72.48,73.52,34660
2018-08-21 07:00:00,73.52,73.52,72.0,73.52,71180
2018-08-22 07:00:00,73.52,73.52,72.52,73.52,42550
2018-08-23 07:00:00,73.17,73.52,72.59,73.34,79280
2018-08-24 07:00:00,72.83,73.52,72.48,73.52,95550
2018-08-27 07:00:00,73.86,76.9,73.59,75.59,67490
2018-08-28 07:00:00,75.59,76.97,75.48,76.62,38360
2018-08-29 07:00:00,76.62,78.0,75.93,78.0,25460
2018-08-30 07:00:00,76.69,78.0,76.69,78.0,37240
2018-08-31 07:00:00,78.0,78.0,77.07,78.0,47370
2018-09-04 07:00:00,78.0,78.0,77.18,77.25,60720
2018-09-05 07:00:00,77.25,77.25,76.31,76.94,38610
2018-09-06 07:00:00,76.62,76.94,75.59,76.9,41630
2018-09-07 07:00:00,75.93,76.94,75.66,76.9,32790
2018-09-10 07:00:00,76.87,76.97,75.97,76.97,31480
2018-09-11 07:00:00,76.97,76.97,76.0,76.97,19770
2018-09-12 07:00:00,76.66,76.94,76.04,76.9,11530
2018-09-13 07:00:00,76.28,76.87,76.28,76.62,7230
2018-09-14 07:00:00,76.62,77.66,76.62,76.9,42150
2018-09-17 07:00:00,77.66,77.66,76.45,76.66,5410
2018-09-18 07:00:00,77.32,77.32,76.62,76.97,24680
2018-09-19 07:00:00,76.97,76.97,75.93,75.93,19770
2018-09-20 07:00:00,75.93,76.62,75.42,75.9,9720
2018-09-21 07:00:00,75.42,76.59,75.0,75.59,30810
2018-09-24 07:00:00,75.59,75.59,75.07,75.55,26420
2018-09-25 07:00:00,75.55,75.59,75.18,75.59,18180
2018-09-26 07:00:00,75.59,75.59,74.9,75.55,22560
2018-09-27 07:00:00,75.55,76.62,75.31,75.93,34790
2018-09-28 07:00:00,76.28,76.8,75.93,76.8,66090
2018-10-01 07:00:00,76.73,76.73,75.93,76.69,20780
