time,open,high,low,close,volume
2018-08-09 07:00:00,10.5,10.5,10.18,10.18,2407060
2018-08-10 07:00:00,10.18,10.31,10.06,10.31,2264420
2018-08-13 07:00:00,10.18,10.37,10.09,10.31,2128960
2018-08-14 07:00:00,10.31,10.5,10.18,10.5,2667800
2018-08-15 07:00:00,10.56,10.88,10.56,10.82,5083590
2018-08-16 07:00:00,10.69,11.2,10.66,11.2,4450570
2018-08-17 07:00:00,11.58,11.68,11.36,11.68,4953940
2018-08-20 07:00:00,11.77,11.9,11.46,11.9,8206490
2018-08-21 07:00:00,11.9,12.31,11.9,12.22,4451820
2018-08-22 07:00:00,12.28,12.54,12.06,12.22,4454000
2018-08-23 07:00:00,12.09,12.25,12.03,12.22,3037650
2018-08-24 07:00:00,12.06,12.57,11.93,12.57,5914720
2018-08-27 07:00:00,12.57,12.57,12.19,12.28,3583480
2018-08-28 07:00:00,12.35,12.35,12.06,12.09,3196490
2018-08-29 07:00:00,12.12,12.35,12.06,12.19,3107290
2018-08-30 07:00:00,12.25,12.31,12.12,12.12,2479300
2018-08-31 07:00:00,12.12,12.16,11.96,12.09,2395080
2018-09-04 07:00:00,12.19,12.19,11.71,11.9,3294210
2018-09-05 07:00:00,11.8,12.06,11.58,11.96,4857740
2018-09-06 07:00:00,11.96,12.44,11.93,12.44,5149660
2018-09-07 07:00:00,12.47,12.66,12.38,12.66,4287030
2018-09-10 07:00:00,12.66,12.66,12.44,12.57,2650620
2018-09-11 07:00:00,12.54,12.63,12.44,12.54,2095480
2018-09-12 07:00:00,12.54,12.66,12.44,12.66,3505850
2018-09-13 07:00:00,12.79,13.05,12.76,12.86,3760540
2018-09-14 07:00:00,12.92,13.05,12.73,13.05,3645840
2018-09-17 07:00:00,13.02,13.17,12.89,12.98,2182500
2018-09-18 07:00:00,12.92,12.98,12.73,12.98,3072450
2018-09-19 07:00:00,13.05,13.3,12.95,13.3,3613200
2018-09-20 07:00:00,13.11,13.33,13.11,13.33,2419170
2018-09-21 07:00:00,13.3,13.56,13.2,13.36,5440650
2018-09-24 07:00:00,13.43,13.68,13.3,13.68,3434760
2018-09-25 07:00:00,13.68,13.84,13.56,13.59,3655060
2018-09-26 07:00:00,13.49,13.68,13.4,13.68,2509520
2018-09-27 07:00:00,13.56,13.68,13.56,13.65,1758410
2018-09-28 07:00:00,13.56,13.62,13.4,13.49,2873260
2018-10-01 07:00:00,13.36,13.49,13.08,13.11,4046870
2018-10-02 07:00:00,13.17,13.17,12.82,13.08,3754270
2018-10-03 07:00:00,13.11,13.33,13.02,13.24,2032710
2018-10-04 07:00:00,13.27,13.3,13.08,13.08,1486160
2018-10-05 07:00:00,13.05,13.11,12.92,12.98,2820510
2018-10-08 07:00:00,12.86,12.98,12.82,12.98,1845180
2018-10-09 07:00:00,13.11,13.14,12.95,13.11,1429810
2018-10-10 07:00:00,13.3,13.49,13.24,13.3,4766510
2018-10-11 07:00:00,13.05,13.05,12.41,12.73,4535030
2018-10-12 07:00:00,12.44,13.02,12.41,13.02,2751190
2018-10-15 07:00:00,12.98,13.02,12.7,12.89,2010970
2018-10-16 07:00:00,12.86,13.08,12.86,13.02,3098160
2018-10-17 07:00:00,13.11,13.17,13.05,13.11,3355890
2018-10-18 07:00:00,13.11,13.11,12.86,12.89,2840460
2018-10-19 07:00:00,12.76,13.05,12.63,13.05,2481990
2018-10-22 07:00:00,13.05,13.11,12.82,12.95,3572990
2018-10-23 07:00:00,12.79,13.11,12.63,13.11,3474570
2018-10-24 07:00:00,13.05,13.24,12.98,13.17,3347880
2018-10-25 07:00:00,12.98,13.2,12.86,13.11,2035500
2018-10-26 07:00:00,13.11,13.17,12.79,13.08,3233340
2018-10-29 07:00:00,13.08,13.49,12.92,13.3,2379090
2018-10-30 07:00:00,13.3,13.33,13.11,13.11,2335780
2018-10-31 07:00:00,12.98,13.2,12.89,13.17,4480770
2018-11-01 07:00:00,13.05,13.24,13.02,13.17,2415850
2018-11-02 07:00:00,13.08,13.24,13.05,13.24,2754280
2018-11-05 07:00:00,13.11,13.68,13.11,13.68,3834930
2018-11-06 07:00:00,13.75,13.94,13.68,13.75,2978300
2018-11-07 07:00:00,13.78,14.32,13.65,14.29,4140480
2018-11-08 07:00:00,14.38,14.48,14.19,14.19,2712950
2018-11-09 07:00:00,13.97,14.35,13.97,14.22,2972000
2018-11-12 07:00:00,14.0,14.48,14.0,14.35,3047050
2018-11-13 07:00:00,14.32,14.38,14.19,14.22,3315500
2018-11-14 07:00:00,14.19,14.48,14.19,14.45,3268000
2018-11-15 07:00:00,14.45,14.54,13.46,13.46,4265090
2018-11-16 07:00:00,13.36,13.75,12.6,13.75,5379080
2018-11-19 07:00:00,13.75,13.84,13.49,13.78,1875550
2018-11-20 07:00:00,13.68,13.87,13.65,13.81,2225170
2018-11-21 07:00:00,13.65,13.91,13.65,13.81,1742380
2018-11-22 07:00:00,13.81,13.84,13.75,13.75,2238590
2018-11-23 07:00:00,13.68,13.78,13.65,13.75,3405000
2018-11-26 07:00:00,13.75,13.81,13.65,13.75,2092200
2018-11-27 07:00:00,13.78,14.1,13.75,13.97,2090450
2018-11-28 07:00:00,13.87,14.0,13.87,13.97,1497810
2018-11-29 07:00:00,14.0,14.03,13.68,13.68,1959930
2018-11-30 07:00:00,13.75,13.78,13.36,13.43,1660670
2018-12-03 07:00:00,13.49,13.62,12.95,13.36,3547050
2018-12-04 07:00:00,13.36,13.46,13.14,13.14,1451720
2018-12-05 07:00:00,13.05,13.05,12.6,12.6,3111090
2018-12-06 07:00:00,12.6,12.95,12.6,12.7,1155280
2018-12-07 07:00:00,12.73,12.92,12.73,12.76,1362730
2018-12-10 07:00:00,12.76,12.92,12.76,12.82,1433600
2018-12-11 07:00:00,12.86,12.89,12.6,12.79,1504430
2018-12-12 07:00:00,12.86,12.86,12.7,12.86,1088790
2018-12-13 07:00:00,12.92,13.52,12.92,13.36,2024710
2018-12-14 07:00:00,13.52,13.56,13.11,13.11,1219200
2018-12-17 07:00:00,13.05,13.24,13.05,13.05,1280870
2018-12-18 07:00:00,12.92,13.08,12.63,12.73,1265240
2018-12-19 07:00:00,12.73,12.79,12.54,12.6,1873050
2018-12-20 07:00:00,12.57,12.76,12.54,12.7,1717490
2018-12-21 07:00:00,12.63,13.05,12.63,13.05,1794320
2018-12-24 07:00:00,13.05,13.24,13.01,13.18,1303630
2018-12-25 07:00:00,12.95,13.37,12.79,13.37,1427520
2018-12-26 07:00:00,13.21,13.37,13.11,13.37,1766920
2018-12-27 07:00:00,13.57,13.6,13.37,13.6,2016260
2018-12-28 07:00:00,13.6,13.6,13.37,13.5,1868720
2019-01-02 07:00:00,13.44,13.5,12.92,13.27,1418170
2019-01-03 07:00:00,13.18,13.34,12.88,12.95,1146760
2019-01-04 07:00:00,12.88,12.98,12.62,12.98,1118400
2019-01-07 07:00:00,12.98,13.14,12.98,13.14,919980
2019-01-08 07:00:00,13.21,13.21,13.05,13.18,687250
2019-01-09 07:00:00,13.18,13.31,13.18,13.24,1060770
2019-01-10 07:00:00,13.24,13.27,13.14,13.27,1171880
2019-01-11 07:00:00,13.21,13.6,13.21,13.47,2533980
2019-01-14 07:00:00,13.81,13.81,13.5,13.5,1217420
2019-01-15 07:00:00,13.67,13.67,13.5,13.61,702970
2019-01-16 07:00:00,13.54,13.71,13.54,13.64,989650
2019-01-17 07:00:00,13.64,13.67,13.57,13.57,946060
2019-01-18 07:00:00,13.61,13.61,13.43,13.47,1093330
2019-01-21 07:00:00,13.4,13.54,13.4,13.54,1300910
2019-01-22 07:00:00,13.57,13.81,13.5,13.81,1748200
2019-01-23 07:00:00,13.81,13.81,13.67,13.81,1164430
2019-01-24 07:00:00,13.67,13.98,13.67,13.74,1224690
2019-01-25 07:00:00,13.88,13.95,13.71,13.81,1233360
2019-01-28 07:00:00,13.85,13.92,13.71,13.81,1040610
2019-01-29 07:00:00,13.81,13.85,13.71,13.74,1194520
2019-01-30 07:00:00,13.85,13.85,13.67,13.71,1208550
2019-01-31 07:00:00,13.71,13.74,13.61,13.67,1087470
2019-02-01 07:00:00,13.67,13.74,13.43,13.74,2009350
2019-02-11 07:00:00,13.88,13.88,13.71,13.74,1043680
2019-02-12 07:00:00,13.67,13.85,13.67,13.74,1154180
2019-02-13 07:00:00,13.81,13.81,13.64,13.74,1435510
2019-02-14 07:00:00,13.81,14.43,13.74,14.36,3968540
2019-02-15 07:00:00,14.36,14.77,14.09,14.53,2159920
2019-02-18 07:00:00,14.67,14.67,14.36,14.36,1866350
2019-02-19 07:00:00,14.33,14.46,14.12,14.12,2503900
2019-02-20 07:00:00,14.09,14.16,13.88,13.88,1820010
2019-02-21 07:00:00,13.88,14.05,13.85,14.05,2007950
2019-02-22 07:00:00,13.95,14.02,13.74,13.78,1567900
