time,open,high,low,close,volume
2018-08-09 07:00:00,9.22,9.7,8.94,8.94,1700
2018-08-10 07:00:00,8.94,9.22,8.94,9.22,5300
2018-08-13 07:00:00,9.51,9.51,9.51,9.51,200
2018-08-14 07:00:00,8.94,8.94,8.94,8.94,700
2018-08-15 07:00:00,9.79,9.98,9.79,9.98,500
2018-08-16 07:00:00,10.74,10.74,8.46,9.89,16200
2018-08-17 07:00:00,9.03,9.03,9.03,9.03,2500
2018-08-20 07:00:00,9.03,9.03,9.03,9.03,2
2018-08-21 07:00:00,9.32,9.98,9.32,9.98,9000
2018-08-22 07:00:00,9.98,10.08,9.89,9.89,5800
2018-08-23 07:00:00,9.6,9.6,9.51,9.51,8300
2018-08-24 07:00:00,9.51,9.51,9.41,9.41,3900
2018-08-27 07:00:00,9.41,9.41,9.41,9.41,1000
2018-08-28 07:00:00,9.13,9.89,9.13,9.89,200
2018-08-30 07:00:00,9.41,9.41,9.41,9.41,394
2018-08-31 07:00:00,9.22,9.41,9.22,9.41,2200
2018-09-05 07:00:00,9.13,9.51,9.13,9.51,1104
2018-09-06 07:00:00,9.32,9.32,9.32,9.32,200
2018-09-07 07:00:00,9.32,9.32,9.32,9.32,57
2018-09-10 07:00:00,8.37,8.37,8.37,8.37,1200
2018-09-11 07:00:00,8.56,8.56,8.27,8.56,3000
2018-09-12 07:00:00,8.56,8.75,8.56,8.75,2300
2018-09-13 07:00:00,7.61,9.03,7.61,9.03,6957
2018-09-14 07:00:00,8.65,9.13,8.56,9.13,2100
2018-09-18 07:00:00,8.18,8.18,8.18,8.18,1740
2018-09-19 07:00:00,8.46,9.03,8.46,9.03,1600
2018-09-20 07:00:00,9.32,9.51,9.32,9.51,400
2018-09-21 07:00:00,8.65,8.84,8.56,8.84,3400
2018-09-24 07:00:00,9.7,9.7,8.84,8.84,1200
2018-09-25 07:00:00,9.03,9.03,9.03,9.03,2000
2018-09-26 07:00:00,9.41,9.41,9.41,9.41,100
2018-09-27 07:00:00,9.41,9.41,9.32,9.32,200
2018-09-28 07:00:00,10.65,10.65,8.46,9.41,7100
2018-10-01 07:00:00,8.56,8.56,8.46,8.46,3300
2018-10-02 07:00:00,8.56,8.56,8.56,8.56,2500
2018-10-03 07:00:00,7.89,7.89,7.89,7.89,2043
2018-10-04 07:00:00,9.03,9.03,8.46,8.46,8815
2018-10-05 07:00:00,8.84,9.32,8.84,9.32,11100
2018-10-09 07:00:00,8.94,8.94,8.94,8.94,10
2018-10-11 07:00:00,8.65,9.03,8.56,9.03,7100
2018-10-12 07:00:00,8.27,8.84,8.27,8.75,22700
2018-10-15 07:00:00,8.56,9.03,8.46,8.84,9300
2018-10-18 07:00:00,8.94,8.94,8.94,8.94,100
2018-10-19 07:00:00,8.46,8.46,8.46,8.46,400
2018-10-22 07:00:00,8.56,9.22,8.56,9.22,9200
2018-10-23 07:00:00,8.56,8.65,8.56,8.65,2000
2018-10-25 07:00:00,7.8,8.56,7.8,8.56,3500
2018-10-26 07:00:00,9.03,9.03,9.03,9.03,100
2018-10-29 07:00:00,8.18,8.56,8.18,8.56,4100
2018-10-30 07:00:00,7.7,9.13,7.7,8.18,3600
2018-10-31 07:00:00,8.37,8.37,8.27,8.27,13000
2018-11-01 07:00:00,8.37,8.37,8.27,8.27,9430
2018-11-02 07:00:00,8.27,8.27,8.27,8.27,400
2018-11-05 07:00:00,7.13,8.27,7.13,8.27,36200
2018-11-06 07:00:00,8.75,8.75,8.75,8.75,1000
2018-11-07 07:00:00,8.37,8.37,8.27,8.27,1100
2018-11-08 07:00:00,8.18,8.18,8.18,8.18,500
2018-11-09 07:00:00,8.27,8.27,8.18,8.18,5900
2018-11-12 07:00:00,7.89,8.08,7.89,8.08,6300
2018-11-13 07:00:00,7.99,7.99,7.99,7.99,400
2018-11-14 07:00:00,8.56,8.56,8.56,8.56,700
2018-11-16 07:00:00,8.46,8.46,8.46,8.46,100
2018-11-19 07:00:00,8.46,8.56,8.46,8.56,700
2018-11-23 07:00:00,8.56,8.56,8.08,8.08,4300
2018-11-28 07:00:00,9.32,9.32,9.32,9.32,500
2018-11-30 07:00:00,10.65,10.65,7.99,9.51,3700
2018-12-03 07:00:00,9.7,9.7,8.18,8.18,21100
2018-12-04 07:00:00,9.41,9.41,9.41,9.41,1100
2018-12-05 07:00:00,8.56,8.56,8.56,8.56,200
2018-12-10 07:00:00,8.46,8.46,8.46,8.46,500
2018-12-11 07:00:00,8.75,8.75,8.75,8.75,100
2018-12-13 07:00:00,8.56,8.56,7.99,8.37,1800
2018-12-14 07:00:00,7.99,7.99,7.99,7.99,1050
2018-12-19 07:00:00,7.99,8.56,7.99,8.56,2400
2018-12-20 07:00:00,8.37,8.37,8.37,8.37,10
2018-12-24 07:00:00,8.56,8.56,8.56,8.56,2600
2018-12-25 07:00:00,9.6,9.6,7.99,7.99,7900
2018-12-26 07:00:00,9.51,9.51,8.27,8.27,5600
2018-12-27 07:00:00,9.6,9.6,9.6,9.6,500
2018-12-28 07:00:00,9.41,10.93,8.18,8.27,5850
2019-01-02 07:00:00,8.75,8.75,8.75,8.27,11
2019-01-04 07:00:00,8.46,8.46,8.46,8.46,100
2019-01-08 07:00:00,8.56,8.56,8.56,8.56,700
2019-01-09 07:00:00,9.7,9.7,9.7,9.7,600
2019-01-10 07:00:00,9.03,9.03,9.03,9.03,1000
2019-01-14 07:00:00,8.56,8.84,8.56,8.84,29800
2019-01-21 07:00:00,8.18,8.18,8.18,8.18,13300
2019-01-22 07:00:00,8.94,8.94,8.94,8.94,500
2019-01-23 07:00:00,8.94,8.94,8.94,8.94,20
2019-01-28 07:00:00,8.56,8.56,8.56,8.56,200
2019-01-29 07:00:00,8.56,8.56,8.46,8.46,1000
