time,open,high,low,close,volume
2019-06-13 07:00:00,5.46,5.46,5.46,5.46,100
2019-06-14 07:00:00,6.28,6.28,6.28,6.28,100
2019-06-17 07:00:00,7.21,7.21,7.21,7.21,100
2019-06-18 07:00:00,8.28,8.28,8.28,8.28,100
2019-06-19 07:00:00,9.51,9.51,9.51,9.51,200
2019-06-20 07:00:00,10.92,10.92,10.92,10.92,110
2019-06-21 07:00:00,12.56,12.56,12.56,12.56,25377
2019-06-24 07:00:00,14.43,14.43,14.43,14.43,5200
2019-06-25 07:00:00,16.59,16.59,16.38,16.59,78444
2019-06-26 07:00:00,18.89,18.89,15.93,16.38,26330
2019-06-27 07:00:00,16.38,16.5,16.27,16.34,247500
2019-06-28 07:00:00,15.59,15.59,15.16,15.16,330300
2019-07-01 07:00:00,15.02,15.02,14.11,14.56,23436
2019-07-02 07:00:00,15.47,16.38,15.25,15.7,61599
2019-07-03 07:00:00,15.86,16.38,15.84,16.16,98859
2019-07-04 07:00:00,16.16,17.75,16.16,17.61,110219
2019-07-05 07:00:00,17.73,19.43,17.73,18.98,44964
2019-07-08 07:00:00,18.89,19.23,18.2,18.73,65908
2019-07-09 07:00:00,18.48,19.89,18.48,19.86,95410
2019-07-10 07:00:00,19.46,21.8,19.34,21.57,303850
2019-07-11 07:00:00,20.94,22.5,17.91,20.48,218461
2019-07-12 07:00:00,20.25,21.14,20.14,20.43,77760
2019-07-15 07:00:00,20.48,20.71,20.02,20.48,33795
2019-07-16 07:00:00,19.84,20.25,19.84,20.02,66600
2019-07-17 07:00:00,20.14,20.14,18.73,19.11,104502
2019-07-18 07:00:00,19.46,20.71,18.66,20.46,62700
2019-07-19 07:00:00,20.59,21.84,20.59,20.94,104370
2019-07-22 07:00:00,20.94,21.23,20.73,21.05,54055
2019-07-23 07:00:00,21.05,21.8,21.0,21.28,119577
2019-07-24 07:00:00,21.39,21.39,20.94,20.94,32103
2019-07-25 07:00:00,20.73,20.94,20.48,20.71,56420
2019-07-26 07:00:00,20.5,20.59,20.07,20.25,119352
2019-07-29 07:00:00,20.25,20.37,19.98,20.25,33341
2019-07-30 07:00:00,20.14,21.03,20.14,20.94,34455
2019-07-31 07:00:00,21.39,23.92,21.39,23.92,259373
2019-08-01 07:00:00,25.03,26.78,24.46,26.78,184092
2019-08-02 07:00:00,27.31,30.24,27.31,28.67,131781
2019-08-05 07:00:00,28.67,30.26,26.85,29.9,91230
2019-08-06 07:00:00,29.58,30.01,28.44,29.35,120906
2019-08-07 07:00:00,29.47,30.04,27.76,28.06,96931
2019-08-08 07:00:00,24.37,28.67,24.37,26.85,154297
2019-08-09 07:00:00,26.19,28.44,25.14,26.85,168497
2019-08-12 07:00:00,27.31,28.44,27.31,28.38,36742
2019-08-13 07:00:00,28.67,28.67,27.08,27.76,34480
2019-08-14 07:00:00,27.53,27.99,27.08,27.31,44930
2019-08-15 07:00:00,28.44,30.04,26.17,30.04,135269
2019-08-16 07:00:00,30.04,31.52,30.04,30.04,67206
2019-08-19 07:00:00,30.06,31.86,30.06,31.17,53336
2019-08-20 07:00:00,31.17,31.86,31.17,31.63,53152
2019-08-21 07:00:00,31.63,31.86,30.86,30.95,77451
2019-08-22 07:00:00,31.15,31.47,30.95,31.36,46212
2019-08-23 07:00:00,31.15,31.86,30.97,31.04,32506
2019-08-26 07:00:00,31.4,31.4,31.15,31.27,25030
2019-08-27 07:00:00,31.06,31.2,30.83,30.95,38961
2019-08-28 07:00:00,31.17,31.17,30.26,30.38,240279
2019-08-29 07:00:00,30.26,30.49,29.13,29.81,67861
2019-08-30 07:00:00,29.58,29.58,26.85,27.99,158595
2019-09-03 07:00:00,28.26,28.26,26.17,26.62,60317
2019-09-04 07:00:00,25.49,27.08,24.37,26.35,101685
2019-09-05 07:00:00,26.17,27.74,26.17,26.62,40802
2019-09-06 07:00:00,26.51,26.96,26.49,26.62,15499
2019-09-09 07:00:00,26.62,26.69,22.76,25.24,122207
2019-09-10 07:00:00,24.58,24.58,22.3,23.21,100336
2019-09-11 07:00:00,22.76,24.8,20.48,24.8,2531628
2019-09-12 07:00:00,24.8,25.37,24.69,24.94,32180
2019-09-13 07:00:00,25.03,26.17,24.3,25.49,44690
2019-09-16 07:00:00,25.49,25.49,24.71,24.98,21846
2019-09-17 07:00:00,24.6,25.01,24.51,24.8,24799
2019-09-18 07:00:00,24.8,25.03,24.58,24.67,19132
2019-09-19 07:00:00,24.58,24.58,22.76,23.21,67130
2019-09-20 07:00:00,23.32,23.32,22.76,23.12,28136
2019-09-23 07:00:00,23.21,23.53,22.07,22.35,24921
2019-09-24 07:00:00,22.32,22.35,20.94,21.3,78470
2019-09-25 07:00:00,21.25,21.34,20.71,21.28,42909
2019-09-26 07:00:00,21.16,22.3,17.95,22.12,186785
2019-09-27 07:00:00,22.12,22.25,21.37,21.62,35560
2019-09-30 07:00:00,21.44,21.62,20.98,21.0,27600
2019-10-01 07:00:00,21.3,21.84,18.2,21.57,1541200
2019-10-02 07:00:00,21.3,22.76,20.59,22.37,215751
2019-10-03 07:00:00,21.84,22.69,21.62,22.53,57704
2019-10-04 07:00:00,22.85,22.85,22.25,22.3,21668
2019-10-07 07:00:00,22.71,22.76,21.8,21.84,27860
2019-10-08 07:00:00,22.1,22.1,21.73,21.73,110200
2019-10-09 07:00:00,21.73,22.76,21.62,22.12,290950
2019-10-10 07:00:00,22.19,23.37,22.19,22.87,58071
2019-10-11 07:00:00,22.87,22.87,22.53,22.64,20732
2019-10-14 07:00:00,22.76,22.76,22.07,21.78,19817
2019-10-15 07:00:00,21.62,21.84,21.16,21.62,45030
2019-10-16 07:00:00,21.62,21.84,21.16,21.39,30350
2019-10-17 07:00:00,20.94,22.19,20.94,21.73,34675
2019-10-18 07:00:00,21.84,22.73,21.84,22.3,39525
2019-10-21 07:00:00,22.73,23.44,22.3,22.8,94930
2019-10-22 07:00:00,23.21,23.21,22.69,22.96,26695
2019-10-23 07:00:00,22.3,23.73,22.3,23.46,72184
2019-10-24 07:00:00,23.66,24.92,23.66,24.67,65286
2019-10-25 07:00:00,24.8,25.49,24.8,24.98,44521
2019-10-28 07:00:00,25.03,25.26,24.37,24.8,52348
2019-10-29 07:00:00,24.48,24.69,24.26,24.69,24750
2019-10-30 07:00:00,24.58,25.33,22.07,22.07,193549
2019-10-31 07:00:00,23.89,25.37,22.98,24.32,141456
2019-11-01 07:00:00,24.3,24.35,23.3,23.71,23396
2019-11-04 07:00:00,23.71,24.12,23.03,23.55,54370
2019-11-05 07:00:00,23.66,23.66,22.98,23.44,55730
2019-11-06 07:00:00,23.44,24.12,23.44,23.78,35850
2019-11-07 07:00:00,23.66,23.66,23.35,23.55,47107
2019-11-08 07:00:00,23.55,23.55,23.32,23.39,22280
2019-11-11 07:00:00,23.87,23.89,23.21,23.23,39293
2019-11-12 07:00:00,23.32,23.44,23.21,23.42,25887
2019-11-13 07:00:00,23.21,23.42,23.19,23.42,27094
2019-11-14 07:00:00,23.26,23.28,22.98,23.1,22200
2019-11-15 07:00:00,22.98,23.21,22.98,22.98,12670
2019-11-18 07:00:00,22.91,23.21,22.91,23.14,20200
2019-11-19 07:00:00,22.98,23.55,19.57,23.44,17592
2019-11-20 07:00:00,23.37,24.12,23.37,23.89,33619
2019-11-21 07:00:00,23.89,24.01,23.66,23.78,9100
2019-11-22 07:00:00,23.78,23.8,20.25,23.46,38320
2019-11-25 07:00:00,23.23,23.23,22.07,22.8,17660
2019-11-26 07:00:00,23.44,23.44,22.89,23.12,9760
2019-11-27 07:00:00,23.51,23.51,22.98,23.16,3610
2019-11-28 07:00:00,23.0,23.19,22.82,23.19,14823
2019-11-29 07:00:00,22.98,23.1,22.53,22.69,24400
2019-12-02 07:00:00,22.76,23.1,19.34,22.53,37392
2019-12-03 07:00:00,22.07,22.3,21.89,21.96,23763
2019-12-04 07:00:00,22.19,22.28,21.84,22.1,14567
2019-12-05 07:00:00,22.07,22.41,22.07,22.3,8561
2019-12-06 07:00:00,22.53,22.53,22.07,22.3,18600
2019-12-09 07:00:00,22.07,22.3,18.84,22.19,8605
2019-12-10 07:00:00,22.19,22.25,22.14,22.16,16863
2019-12-11 07:00:00,22.25,22.76,22.25,22.73,10400
2019-12-12 07:00:00,22.46,23.19,22.46,23.19,11730
2019-12-13 07:00:00,23.21,23.21,22.85,22.85,6490
2019-12-16 07:00:00,23.89,23.89,19.59,22.64,20300
2019-12-17 07:00:00,22.6,22.6,22.6,22.21,34415
2019-12-18 07:00:00,22.1,22.3,22.07,22.14,21560
2019-12-19 07:00:00,22.76,22.76,18.86,22.16,5130
2019-12-20 07:00:00,22.1,22.1,21.96,22.07,7900
2019-12-23 07:00:00,22.07,22.07,21.73,21.75,11540
2019-12-24 07:00:00,21.62,21.71,21.28,21.62,29667
