time,open,high,low,close,volume
2018-08-09 07:00:00,32.48,33.52,31.95,33.26,5820
2018-08-10 07:00:00,33.0,33.26,32.48,33.0,8800
2018-08-13 07:00:00,32.74,33.0,31.95,32.89,7200
2018-08-14 07:00:00,33.52,33.52,33.31,33.31,670
2018-08-15 07:00:00,32.48,33.31,32.48,33.31,1508
2018-08-16 07:00:00,33.21,33.31,33.21,33.31,2200
2018-08-17 07:00:00,33.26,35.09,33.0,34.05,28324
2018-08-20 07:00:00,34.05,34.83,34.05,34.83,9750
2018-08-21 07:00:00,34.83,35.36,34.05,34.05,7120
2018-08-22 07:00:00,34.05,34.31,33.42,33.42,16900
2018-08-23 07:00:00,33.52,34.31,33.42,34.31,11100
2018-08-24 07:00:00,33.52,33.78,33.0,33.78,1230
2018-08-27 07:00:00,33.78,34.05,33.52,33.78,1600
2018-08-28 07:00:00,34.57,35.62,34.57,35.09,23480
2018-08-29 07:00:00,35.09,35.36,34.83,34.83,2300
2018-08-30 07:00:00,34.83,34.83,34.57,34.83,2782
2018-08-31 07:00:00,34.05,34.57,33.0,34.57,5000
2018-09-04 07:00:00,34.57,34.83,33.78,34.78,7300
2018-09-05 07:00:00,34.78,34.83,33.52,34.31,4760
2018-09-06 07:00:00,34.31,34.57,34.31,34.57,1100
2018-09-07 07:00:00,33.05,33.78,33.05,33.78,1160
2018-09-10 07:00:00,33.52,33.78,33.0,33.0,2100
2018-09-11 07:00:00,33.52,33.78,32.48,33.42,8400
2018-09-12 07:00:00,33.52,33.63,32.74,33.52,4250
2018-09-13 07:00:00,33.52,36.87,33.52,36.87,50334
2018-09-14 07:00:00,37.03,38.81,37.03,38.55,38186
2018-09-17 07:00:00,38.34,38.34,36.4,36.67,7600
2018-09-18 07:00:00,36.14,36.14,34.57,35.57,20174
2018-09-19 07:00:00,35.57,36.04,34.57,36.04,4835
2018-09-20 07:00:00,35.62,35.62,34.94,35.62,2424
2018-09-21 07:00:00,35.09,35.2,33.47,33.52,9060
2018-09-24 07:00:00,33.52,34.05,33.0,34.05,6800
2018-09-25 07:00:00,34.05,34.57,34.05,34.57,2300
2018-09-26 07:00:00,34.57,34.57,33.78,33.78,2502
2018-09-27 07:00:00,33.31,33.52,32.48,33.26,15442
2018-09-28 07:00:00,33.0,33.26,32.74,33.26,8702
2018-10-01 07:00:00,33.0,33.26,33.0,33.21,2840
2018-10-02 07:00:00,33.26,34.31,33.26,34.31,7900
2018-10-03 07:00:00,34.57,35.62,34.57,34.94,11501
2018-10-04 07:00:00,35.62,35.62,34.83,35.09,11048
2018-10-05 07:00:00,34.67,35.09,34.62,34.78,6600
2018-10-08 07:00:00,34.73,34.94,34.62,34.94,4750
2018-10-09 07:00:00,35.09,37.19,35.09,36.67,18245
2018-10-10 07:00:00,36.14,38.24,36.14,36.67,32314
2018-10-11 07:00:00,35.09,35.09,33.94,35.04,7700
2018-10-12 07:00:00,35.62,35.62,34.57,35.09,1735
2018-10-15 07:00:00,38.08,38.08,35.15,35.2,9610
2018-10-16 07:00:00,35.2,37.45,35.2,37.19,6864
2018-10-17 07:00:00,37.19,37.71,37.19,37.71,8136
2018-10-18 07:00:00,38.18,38.66,36.82,37.71,10319
2018-10-19 07:00:00,37.71,37.71,36.09,36.14,3800
2018-10-22 07:00:00,36.14,36.87,35.62,35.62,3914
2018-10-23 07:00:00,35.57,35.57,34.15,35.57,7300
2018-10-24 07:00:00,34.83,34.83,34.73,34.83,3410
2018-10-25 07:00:00,34.57,35.98,34.57,35.98,9300
2018-10-26 07:00:00,35.36,35.62,34.83,34.83,3050
2018-10-29 07:00:00,34.62,34.67,34.57,34.67,900
2018-10-30 07:00:00,34.47,35.04,34.05,35.04,2000
2018-10-31 07:00:00,35.51,35.51,34.05,35.09,1550
2018-11-01 07:00:00,34.05,34.52,33.52,34.52,2618
2018-11-02 07:00:00,33.05,34.52,33.05,34.52,15750
2018-11-05 07:00:00,33.63,34.31,33.63,33.68,3280
2018-11-06 07:00:00,33.52,34.05,33.37,33.89,14637
2018-11-07 07:00:00,33.0,33.78,33.0,33.31,11330
2018-11-08 07:00:00,33.26,33.26,33.16,33.16,1630
2018-11-09 07:00:00,33.16,33.68,32.74,32.74,9500
2018-11-12 07:00:00,32.48,32.79,32.21,32.79,1000
2018-11-13 07:00:00,32.58,32.58,32.48,32.48,600
2018-11-14 07:00:00,31.95,32.48,31.43,32.48,12296
2018-11-15 07:00:00,31.95,32.48,31.95,32.48,1300
2018-11-16 07:00:00,31.95,32.48,31.95,32.48,300
2018-11-19 07:00:00,31.58,32.48,31.43,32.48,9405
2018-11-20 07:00:00,31.43,31.48,30.96,30.96,7500
2018-11-21 07:00:00,30.9,30.96,30.43,30.43,4100
2018-11-22 07:00:00,30.43,30.43,27.39,27.39,41739
2018-11-23 07:00:00,26.19,26.19,25.14,26.19,31540
2018-11-26 07:00:00,26.19,26.71,25.67,26.71,5600
2018-11-27 07:00:00,26.19,27.24,25.46,26.19,9240
2018-11-28 07:00:00,25.46,25.98,25.14,25.98,9700
2018-11-29 07:00:00,25.4,25.67,25.19,25.35,3236
2018-11-30 07:00:00,25.35,25.35,24.62,24.62,5004
2018-12-03 07:00:00,24.62,25.35,24.62,25.35,6460
2018-12-04 07:00:00,25.35,27.87,25.35,26.35,6704
2018-12-05 07:00:00,26.35,28.18,26.35,27.76,16868
2018-12-06 07:00:00,27.76,28.02,27.76,27.76,3700
2018-12-07 07:00:00,27.76,28.55,27.76,28.44,5700
2018-12-10 07:00:00,27.76,28.44,27.76,27.76,5010
2018-12-11 07:00:00,27.24,27.5,26.82,27.5,1570
2018-12-12 07:00:00,28.39,28.39,28.18,28.18,405
2018-12-13 07:00:00,28.18,28.18,27.66,27.76,11600
2018-12-14 07:00:00,27.76,28.02,27.55,28.02,5100
2018-12-17 07:00:00,28.02,28.02,27.34,27.5,21525
2018-12-18 07:00:00,27.55,27.55,27.24,27.55,4320
2018-12-19 07:00:00,27.77,27.83,26.66,27.83,1000
2018-12-20 07:00:00,27.83,27.83,27.83,27.83,100
2018-12-21 07:00:00,26.44,26.44,26.44,26.44,520
2018-12-24 07:00:00,26.38,27.77,26.11,26.38,4000
2018-12-25 07:00:00,26.11,26.33,25.94,26.33,1300
2018-12-26 07:00:00,25.33,27.77,25.22,27.77,3740
2018-12-27 07:00:00,26.94,27.77,26.94,27.77,610
