time,open,high,low,close,volume
2018-08-09 07:00:00,9.1,9.32,9.07,9.07,4278160
2018-08-10 07:00:00,9.07,9.3,9.03,9.29,3668530
2018-08-13 07:00:00,9.23,9.66,9.18,9.66,4756890
2018-08-14 07:00:00,9.6,9.63,9.47,9.5,3465660
2018-08-15 07:00:00,9.5,9.53,9.14,9.2,3465340
2018-08-16 07:00:00,9.14,9.15,8.91,9.14,3722080
2018-08-17 07:00:00,9.29,9.32,9.1,9.1,3043490
2018-08-20 07:00:00,9.1,9.17,8.92,8.94,2369080
2018-08-21 07:00:00,8.94,9.38,8.94,9.38,4029440
2018-08-22 07:00:00,9.47,9.47,9.26,9.26,2648670
2018-08-23 07:00:00,9.27,9.41,9.23,9.36,2055630
2018-08-24 07:00:00,9.36,9.41,9.2,9.26,2811160
2018-08-27 07:00:00,9.35,9.58,9.32,9.46,4427800
2018-08-28 07:00:00,9.5,9.78,9.49,9.72,7117300
2018-08-29 07:00:00,9.66,9.8,9.58,9.78,4251020
2018-08-30 07:00:00,9.7,9.89,9.63,9.89,4361960
2018-08-31 07:00:00,9.76,9.89,9.69,9.69,3029690
2018-09-04 07:00:00,9.6,9.69,9.4,9.41,3231530
2018-09-05 07:00:00,9.35,9.49,9.26,9.47,3701410
2018-09-06 07:00:00,9.43,9.5,9.38,9.47,2061300
2018-09-07 07:00:00,9.47,9.66,9.46,9.66,3928320
2018-09-10 07:00:00,9.6,9.69,9.58,9.6,2590800
2018-09-11 07:00:00,9.53,9.87,9.53,9.87,5786190
2018-09-12 07:00:00,9.95,9.96,9.72,9.72,4418180
2018-09-13 07:00:00,9.8,9.87,9.72,9.75,2672170
2018-09-14 07:00:00,9.75,9.93,9.75,9.84,3169020
2018-09-17 07:00:00,9.75,9.82,9.6,9.6,2156240
2018-09-18 07:00:00,9.5,9.81,9.44,9.81,3436290
2018-09-19 07:00:00,9.87,9.93,9.81,9.89,4606830
2018-09-20 07:00:00,9.87,10.06,9.86,9.99,4587420
2018-09-21 07:00:00,10.12,10.18,10.01,10.09,7085490
2018-09-24 07:00:00,10.19,10.22,10.1,10.16,3011110
