time,open,high,low,close,volume
2018-08-09 07:00:00,11.4,11.65,11.2,11.3,8036140
2018-08-10 07:00:00,11.25,11.35,11.2,11.25,3197060
2018-08-13 07:00:00,11.25,11.8,11.2,11.8,10740690
2018-08-14 07:00:00,11.8,11.85,11.6,11.6,3492740
2018-08-15 07:00:00,11.7,11.75,11.35,11.4,5347120
2018-08-16 07:00:00,11.3,11.4,11.15,11.4,5988420
2018-08-17 07:00:00,11.55,11.6,11.2,11.2,3021220
2018-08-20 07:00:00,11.2,11.3,11.15,11.15,4785990
2018-08-21 07:00:00,11.15,11.3,11.15,11.2,5557070
2018-08-22 07:00:00,11.5,11.6,11.4,11.45,6524970
2018-08-23 07:00:00,11.45,11.5,11.35,11.4,3559200
2018-08-24 07:00:00,11.35,11.45,11.25,11.3,3585410
2018-08-27 07:00:00,11.4,11.55,11.35,11.4,4277920
2018-08-28 07:00:00,11.5,11.55,11.4,11.5,3742950
2018-08-29 07:00:00,11.5,11.55,11.35,11.4,2619380
2018-08-30 07:00:00,11.45,11.55,11.3,11.5,5942360
2018-08-31 07:00:00,11.55,11.55,11.35,11.35,6896940
2018-09-04 07:00:00,11.35,11.4,11.2,11.25,4334470
2018-09-05 07:00:00,11.25,11.25,11.05,11.1,4077680
2018-09-06 07:00:00,11.15,11.2,11.0,11.05,3468930
2018-09-07 07:00:00,11.3,11.5,11.25,11.3,4700940
2018-09-10 07:00:00,11.35,11.8,11.35,11.75,18103700
2018-09-11 07:00:00,11.75,11.85,11.6,11.8,6153730
2018-09-12 07:00:00,12.0,12.3,11.9,12.1,13219870
2018-09-13 07:00:00,12.2,12.2,12.05,12.05,7446610
2018-09-14 07:00:00,12.1,12.2,11.95,12.0,5249010
2018-09-17 07:00:00,12.0,12.05,11.85,11.85,7063020
2018-09-18 07:00:00,11.8,12.4,11.65,12.4,9697580
2018-09-19 07:00:00,12.45,12.75,12.35,12.55,11799070
2018-09-20 07:00:00,12.55,12.65,12.5,12.65,4633490
2018-09-21 07:00:00,12.65,12.9,12.6,12.7,14011070
2018-09-24 07:00:00,12.8,12.85,12.5,12.55,7248540
2018-09-25 07:00:00,12.55,12.8,12.5,12.65,4617820
2018-09-26 07:00:00,12.6,12.9,12.6,12.7,6316740
2018-09-27 07:00:00,12.75,12.85,12.6,12.65,4737730
2018-09-28 07:00:00,12.7,13.5,12.65,13.5,27263660
2018-10-01 07:00:00,13.8,14.4,13.7,13.85,22126950
2018-10-02 07:00:00,13.9,14.05,13.7,13.9,9280400
2018-10-03 07:00:00,13.8,14.05,13.8,13.85,16349910
2018-10-04 07:00:00,13.9,13.95,13.8,13.85,8961930
2018-10-05 07:00:00,13.8,14.3,13.75,13.8,19475140
2018-10-08 07:00:00,13.65,13.95,13.6,13.85,17690010
2018-10-09 07:00:00,13.95,13.95,13.4,13.55,19464630
2018-10-10 07:00:00,13.5,13.6,13.3,13.4,9022660
2018-10-11 07:00:00,12.95,13.1,12.5,12.5,24729240
