time,open,high,low,close,volume
2024-01-09 07:00:00,14.49,16.9,14.49,15.39,326600
2024-01-10 07:00:00,15.7,16.0,14.49,14.73,359660
2024-01-11 07:00:00,14.97,15.03,14.25,14.31,201929
2024-01-12 07:00:00,14.49,14.49,13.88,13.94,213092
2024-01-15 07:00:00,13.88,14.49,12.98,14.37,193918
2024-01-16 07:00:00,14.37,14.55,14.19,14.55,44305
2024-01-17 07:00:00,14.49,14.49,14.25,14.31,44329
2024-01-18 07:00:00,14.31,14.37,14.19,14.25,13306
2024-01-19 07:00:00,14.25,14.49,14.07,14.43,79800
2024-01-22 07:00:00,14.19,14.31,13.88,14.0,131697
2024-01-23 07:00:00,14.0,14.0,13.82,13.88,68700
2024-01-24 07:00:00,13.88,13.94,13.76,13.82,60646
2024-01-25 07:00:00,13.76,13.82,13.76,13.82,14800
2024-01-26 07:00:00,13.82,14.19,13.76,13.88,63614
2024-01-29 07:00:00,13.88,13.94,13.64,13.94,50900
2024-01-30 07:00:00,13.7,13.88,13.58,13.7,20304
2024-01-31 07:00:00,13.64,13.64,13.52,13.64,56600
2024-02-01 07:00:00,13.1,13.64,13.04,13.64,220770
2024-02-02 07:00:00,15.45,15.45,13.4,13.52,28717
2024-02-05 07:00:00,13.76,13.94,13.4,13.4,42900
2024-02-06 07:00:00,13.58,13.76,13.52,13.58,47700
2024-02-07 07:00:00,13.64,13.64,13.34,13.64,36700
2024-02-15 07:00:00,13.46,13.88,13.46,13.46,46520
2024-02-16 07:00:00,13.58,13.76,13.46,13.58,30303
2024-02-19 07:00:00,13.7,13.7,13.28,13.52,77537
2024-02-20 07:00:00,13.4,13.4,13.16,13.28,89450
2024-02-21 07:00:00,13.28,13.28,12.98,13.04,83404
2024-02-22 07:00:00,13.04,13.22,12.98,13.04,49743
2024-02-23 07:00:00,12.92,13.1,12.86,12.86,112702
2024-02-26 07:00:00,12.98,12.98,12.8,12.86,28802
2024-02-27 07:00:00,12.92,12.92,12.68,12.74,113142
2024-02-28 07:00:00,12.8,12.8,12.68,12.68,59503
2024-02-29 07:00:00,13.82,13.82,12.62,12.74,30334
2024-03-01 07:00:00,12.8,12.98,12.74,12.8,6732
2024-03-04 07:00:00,12.92,12.98,12.74,12.74,37900
2024-03-05 07:00:00,12.68,12.92,12.68,12.92,21400
2024-03-06 07:00:00,12.92,12.92,12.74,12.92,19800
2024-03-07 07:00:00,12.86,12.86,12.8,12.86,15750
2024-03-08 07:00:00,12.74,12.86,12.68,12.86,37000
2024-03-11 07:00:00,12.68,12.86,12.62,12.68,45200
2024-03-12 07:00:00,12.68,12.8,12.68,12.8,28800
2024-03-13 07:00:00,12.92,13.22,12.86,13.22,34211
2024-03-14 07:00:00,13.28,13.28,12.98,13.16,20710
2024-03-15 07:00:00,13.28,13.88,13.16,13.46,106333
2024-03-18 07:00:00,13.52,13.58,12.8,13.34,53210
