time,open,high,low,close,volume
2018-08-09 07:00:00,12.91,13.09,12.68,12.68,2342630
2018-08-10 07:00:00,12.68,12.82,12.21,12.58,2362660
2018-08-13 07:00:00,12.49,12.79,12.4,12.7,1369550
2018-08-14 07:00:00,12.72,12.72,12.49,12.58,850440
2018-08-15 07:00:00,12.49,12.58,12.26,12.26,1030610
2018-08-16 07:00:00,12.26,12.45,12.01,12.26,1576340
2018-08-17 07:00:00,12.26,12.45,12.26,12.26,691890
2018-08-20 07:00:00,12.35,12.35,11.98,12.26,847610
2018-08-21 07:00:00,12.26,12.33,12.14,12.26,904270
2018-08-22 07:00:00,12.35,12.68,12.28,12.33,1386850
2018-08-23 07:00:00,12.49,12.56,12.33,12.38,1031560
2018-08-24 07:00:00,12.38,12.47,12.26,12.31,817010
2018-08-27 07:00:00,12.31,12.42,12.26,12.26,1480540
2018-08-28 07:00:00,12.31,12.4,12.12,12.14,1630740
2018-08-29 07:00:00,12.14,12.19,12.08,12.1,778240
2018-08-30 07:00:00,12.1,12.17,12.05,12.17,887840
2018-08-31 07:00:00,12.17,12.42,12.17,12.17,1723040
2018-09-04 07:00:00,12.17,12.31,12.05,12.08,991610
2018-09-05 07:00:00,12.08,12.14,11.91,11.94,1052150
2018-09-06 07:00:00,11.94,11.98,11.47,11.47,2694080
2018-09-07 07:00:00,11.57,11.71,11.52,11.68,2154200
2018-09-10 07:00:00,11.75,11.8,11.57,11.8,1297720
2018-09-11 07:00:00,11.78,11.8,11.71,11.75,780150
2018-09-12 07:00:00,11.8,11.82,11.57,11.57,1460210
2018-09-13 07:00:00,11.57,11.75,11.57,11.66,1105010
2018-09-14 07:00:00,11.66,11.75,11.64,11.68,1343360
2018-09-17 07:00:00,11.68,12.49,11.64,12.05,2714630
2018-09-18 07:00:00,12.05,12.1,11.82,12.1,1059520
2018-09-19 07:00:00,12.12,12.52,12.12,12.31,2934180
2018-09-20 07:00:00,12.31,12.96,12.31,12.96,5779740
2018-09-21 07:00:00,12.96,13.16,12.86,13.09,4008110
2018-09-24 07:00:00,13.09,13.16,12.93,13.0,2213810
2018-09-25 07:00:00,12.96,13.05,12.86,12.96,2261840
2018-09-26 07:00:00,12.96,13.58,12.86,13.37,4516320
2018-09-27 07:00:00,13.51,13.72,13.49,13.6,3663710
2018-09-28 07:00:00,13.65,13.72,13.42,13.49,3943650
2018-10-01 07:00:00,13.49,13.53,13.23,13.26,2816100
2018-10-02 07:00:00,13.23,13.6,13.23,13.46,3139750
2018-10-03 07:00:00,13.6,13.65,13.49,13.58,1405830
2018-10-04 07:00:00,13.65,13.97,13.58,13.97,3273230
2018-10-05 07:00:00,13.93,14.0,13.76,13.79,3156560
2018-10-08 07:00:00,13.46,13.76,13.46,13.58,2101380
2018-10-09 07:00:00,13.6,13.76,13.49,13.76,2656380
2018-10-10 07:00:00,13.79,13.93,13.72,13.74,1689250
2018-10-11 07:00:00,13.05,13.46,12.82,12.88,4366960
2018-10-12 07:00:00,12.88,13.32,12.63,13.28,2298230
2018-10-15 07:00:00,13.28,13.3,12.96,13.05,2085500
2018-10-16 07:00:00,13.02,13.37,13.02,13.28,1363410
2018-10-17 07:00:00,13.56,13.56,13.39,13.46,1972280
2018-10-18 07:00:00,13.32,13.46,13.28,13.37,1487880
2018-10-19 07:00:00,13.14,13.42,13.0,13.42,1454000
