time,open,high,low,close,volume
2025-10-21 07:00:00,41.08,42.07,39.96,40.38,14668000
2025-10-22 07:00:00,40.42,40.42,39.01,39.63,5853000
2025-10-23 07:00:00,39.26,39.59,38.52,39.51,4955300
2025-10-24 07:00:00,38.77,39.51,38.35,38.73,3740300
2025-10-27 07:00:00,38.64,38.73,37.57,37.65,3542900
2025-10-28 07:00:00,36.79,37.12,35.06,36.21,6048000
2025-10-29 07:00:00,37.03,37.16,36.25,37.16,1168000
2025-10-30 07:00:00,37.12,37.53,36.13,37.53,1542000
2025-10-31 07:00:00,37.53,38.15,37.12,37.32,1835500
2025-11-03 07:00:00,37.32,37.94,35.8,35.8,1434400
2025-11-04 07:00:00,35.47,37.94,34.72,37.9,2819200
2025-11-05 07:00:00,37.78,37.78,36.21,37.08,859100
2025-11-06 07:00:00,36.87,37.12,35.88,36.13,983600
2025-11-07 07:00:00,35.88,36.83,35.47,35.72,1798800
2025-11-10 07:00:00,35.51,36.21,35.51,35.76,1342500
2025-11-11 07:00:00,35.84,36.04,35.67,35.67,1490000
2025-11-12 07:00:00,35.88,35.88,35.01,35.63,3784500
2025-11-13 07:00:00,35.67,35.67,35.22,35.3,1688800
2025-11-14 07:00:00,35.51,36.42,35.47,36.38,2663300
2025-11-17 07:00:00,36.13,37.53,35.96,37.2,2563500
2025-11-18 07:00:00,37.12,37.49,36.7,37.45,2373800
2025-11-19 07:00:00,37.36,37.41,36.7,37.12,1863800
2025-11-20 07:00:00,36.95,37.28,36.33,37.12,809500
2025-11-21 07:00:00,36.99,37.08,36.38,37.08,1023400
2025-11-24 07:00:00,37.12,38.52,36.83,37.7,3376900
2025-11-25 07:00:00,37.7,37.82,37.12,37.61,1170400
2025-11-26 07:00:00,37.61,38.35,37.45,38.35,2517000
2025-11-27 07:00:00,38.4,39.1,37.9,38.89,4729600
2025-11-28 07:00:00,38.89,38.93,38.15,38.77,1440400
2025-12-01 07:00:00,38.77,38.81,37.98,38.07,852000
2025-12-02 07:00:00,38.07,38.56,37.2,38.56,1905100
2025-12-03 07:00:00,38.11,38.56,37.98,38.52,794000
2025-12-04 07:00:00,38.81,38.97,38.52,38.89,3522500
2025-12-05 07:00:00,38.64,38.93,38.23,38.35,1280800
2025-12-08 07:00:00,38.02,38.31,37.82,38.27,652700
2025-12-09 07:00:00,38.02,38.27,37.41,37.61,752500
2025-12-10 07:00:00,37.53,38.27,37.36,37.94,433500
2025-12-11 07:00:00,37.98,38.02,36.95,36.95,517100
2025-12-12 07:00:00,36.54,37.12,36.13,36.17,1360600
2025-12-15 07:00:00,36.46,38.68,36.46,38.56,4528800
2025-12-16 07:00:00,38.56,38.93,38.44,38.89,5355600
2025-12-17 07:00:00,38.77,39.22,37.94,39.14,3626500
2025-12-18 07:00:00,39.06,39.06,38.35,38.68,916600
2025-12-19 07:00:00,38.56,39.34,38.15,39.34,4515700
2025-12-22 07:00:00,38.4,39.1,38.23,39.1,2167000
2025-12-23 07:00:00,39.1,39.1,37.82,38.52,2589000
2025-12-24 07:00:00,38.6,38.6,37.94,38.56,1237600
2025-12-25 07:00:00,38.56,38.6,37.7,38.31,1286900
2025-12-26 07:00:00,37.74,38.31,36.79,38.31,1262300
2025-12-29 07:00:00,38.31,38.31,37.53,37.94,893800
2025-12-30 07:00:00,37.65,38.31,37.53,38.31,657400
2025-12-31 07:00:00,38.27,38.77,37.74,38.77,1472200
2026-01-05 07:00:00,38.27,38.64,37.78,37.78,769000
2026-01-06 07:00:00,37.94,39.84,37.61,39.22,4563800
2026-01-07 07:00:00,39.59,40.83,39.3,40.25,4386800
2026-01-08 07:00:00,40.25,42.07,40.17,41.74,8817600
2026-01-09 07:00:00,41.41,42.07,41.08,42.07,3864300
2026-01-12 07:00:00,42.07,44.95,41.41,44.21,8510300
2026-01-13 07:00:00,44.54,44.54,43.06,44.05,2496500
2026-01-14 07:00:00,44.21,44.21,42.97,43.55,2809000
2026-01-15 07:00:00,42.89,43.72,41.2,42.31,5092700
2026-01-16 07:00:00,42.89,43.22,42.07,42.89,1524200
2026-01-19 07:00:00,42.15,43.06,42.15,42.89,2061100
2026-01-20 07:00:00,42.89,42.97,42.31,42.73,1612200
2026-01-21 07:00:00,42.48,43.3,41.24,43.3,2571400
2026-01-22 07:00:00,43.3,43.55,42.73,43.47,2071000
2026-01-23 07:00:00,43.55,46.44,43.22,45.86,8312200
2026-01-26 07:00:00,45.94,46.6,44.62,45.86,2893900
2026-01-27 07:00:00,45.37,45.37,44.13,45.37,2662000
2026-01-28 07:00:00,44.87,45.37,44.46,45.2,1841100
2026-01-29 07:00:00,45.37,45.45,44.29,45.37,2091200
2026-01-30 07:00:00,44.71,46.68,44.71,46.6,3107000
2026-02-02 07:00:00,46.19,46.19,45.2,45.94,2095900
2026-02-03 07:00:00,45.94,46.52,45.45,46.03,2391300
2026-02-04 07:00:00,45.94,46.6,45.61,46.03,1774700
2026-02-05 07:00:00,46.03,46.11,45.53,46.03,1372000
2026-02-06 07:00:00,44.71,45.86,44.21,45.28,3298100
2026-02-09 07:00:00,44.95,45.53,44.71,45.53,493900
2026-02-10 07:00:00,45.53,45.53,44.54,44.95,850900
2026-02-11 07:00:00,44.54,46.11,44.54,46.03,1176000
2026-02-12 07:00:00,46.03,46.27,45.86,46.19,650600
2026-02-13 07:00:00,46.27,48.0,45.94,48.0,2586700
2026-02-23 07:00:00,48.0,50.89,47.26,50.73,3085000
2026-02-24 07:00:00,50.81,53.45,50.23,51.88,4058600
2026-02-25 07:00:00,51.47,51.8,50.32,51.14,1364700
2026-02-26 07:00:00,51.14,51.96,50.32,51.96,1226600
2026-02-27 07:00:00,52.05,52.38,51.22,52.38,1406600
2026-03-02 07:00:00,50.56,51.8,50.56,51.47,2241700
2026-03-03 07:00:00,51.96,51.96,50.32,50.97,1331100
2026-03-04 07:00:00,49.9,51.14,47.84,51.14,2762700
2026-03-05 07:00:00,51.14,51.88,48.42,49.49,3828900
2026-03-06 07:00:00,49.41,49.41,46.03,46.03,3052700
2026-03-09 07:00:00,42.81,42.97,42.81,42.81,2435700
2026-03-10 07:00:00,43.3,44.46,41.49,43.55,2394400
2026-03-11 07:00:00,43.63,46.19,42.89,45.86,1998100
2026-03-12 07:00:00,45.2,45.2,43.22,43.8,1531600
2026-03-13 07:00:00,42.89,42.89,40.79,40.79,3014000
2026-03-16 07:00:00,40.99,42.89,40.99,41.82,1481300
2026-03-17 07:00:00,44.71,44.71,44.38,44.71,4476900
2026-03-18 07:00:00,44.71,44.71,42.73,43.39,1455400
2026-03-19 07:00:00,42.15,43.22,41.16,43.22,2200900
2026-03-20 07:00:00,42.56,42.64,40.29,40.29,3804000
2026-03-23 07:00:00,40.54,41.9,37.98,41.9,3083100
2026-03-24 07:00:00,42.07,42.73,40.99,41.74,4019600
2026-03-25 07:00:00,41.9,43.72,41.49,43.72,3637200
2026-03-26 07:00:00,43.88,43.88,42.4,43.14,1583700
2026-03-27 07:00:00,42.07,43.72,42.07,43.39,2060600
2026-03-30 07:00:00,41.82,43.22,40.66,43.22,3332400
2026-03-31 07:00:00,42.89,42.89,41.82,42.23,2251900
