time,open,high,low,close,volume
2018-10-17 07:00:00,3.4,3.4,3.4,3.4,3500
2018-11-01 07:00:00,3.4,3.4,3.4,3.4,400
2019-03-21 07:00:00,3.06,3.74,3.06,3.74,400
2019-03-28 07:00:00,3.74,4.08,3.74,4.08,1100
2019-04-05 07:00:00,4.34,4.34,4.34,4.34,100
2019-04-12 07:00:00,4.76,4.76,4.76,4.76,200
2019-05-29 07:00:00,4.47,4.76,4.47,4.76,6200
2019-05-31 07:00:00,4.3,4.47,4.3,4.3,14800
2019-06-07 07:00:00,3.87,3.87,3.87,3.87,2000
2019-07-23 07:00:00,4.26,4.26,4.26,4.26,1000
2019-07-24 07:00:00,4.68,4.68,4.68,4.68,2232
2019-07-25 07:00:00,5.15,5.15,5.15,5.15,9000
2019-07-26 07:00:00,5.66,5.66,5.66,5.66,6200
2019-07-29 07:00:00,6.21,6.21,6.21,6.21,20000
2019-07-30 07:00:00,6.81,6.81,6.68,6.68,900
2019-08-02 07:00:00,6.68,6.68,6.68,6.68,100
2019-08-05 07:00:00,6.01,6.01,6.01,6.01,500
2019-08-15 07:00:00,5.68,6.01,5.68,6.01,1500
2019-08-16 07:00:00,6.28,6.28,6.28,6.28,700
2019-08-20 07:00:00,6.68,6.68,6.68,6.68,100
2019-08-22 07:00:00,7.35,7.35,7.35,7.35,100
2019-08-23 07:00:00,7.01,7.01,7.01,7.01,100
2019-09-09 07:00:00,6.68,6.68,6.68,6.68,100
2019-09-20 07:00:00,6.01,6.68,6.01,6.68,200
2019-09-23 07:00:00,6.28,6.28,6.01,6.01,1000
2019-09-25 07:00:00,5.41,5.41,5.41,5.41,300
2019-09-27 07:00:00,5.41,5.41,5.41,5.41,2700
2019-10-01 07:00:00,5.48,5.48,5.41,5.41,600
2019-10-02 07:00:00,5.41,5.41,5.41,5.41,1800
2019-10-03 07:00:00,5.48,5.48,5.41,5.41,2500
2019-10-11 07:00:00,5.94,5.94,5.94,5.94,102
2019-10-14 07:00:00,5.41,6.08,5.41,6.08,700
2019-10-16 07:00:00,6.35,6.35,6.35,6.35,100
2019-10-22 07:00:00,6.48,6.48,6.48,6.48,100
2019-11-07 07:00:00,6.01,6.01,6.01,6.01,5600
2019-11-13 07:00:00,5.41,5.41,5.41,5.41,3898
2019-11-15 07:00:00,5.41,5.41,5.41,5.41,2
2019-11-19 07:00:00,5.41,5.41,5.41,5.41,48
2019-11-22 07:00:00,5.94,5.94,5.94,5.94,100
2019-11-25 07:00:00,6.41,6.41,6.41,6.41,100
2019-11-26 07:00:00,6.41,6.41,6.41,6.41,3
