time,open,high,low,close,volume
2018-08-09 07:00:00,4.04,4.08,3.97,4.08,103381
2018-08-10 07:00:00,4.04,4.04,3.97,4.01,115900
2018-08-13 07:00:00,3.97,4.01,3.94,3.94,230420
2018-08-14 07:00:00,3.94,4.01,3.94,3.97,113885
2018-08-15 07:00:00,3.94,4.01,3.72,3.94,163808
2018-08-16 07:00:00,3.94,3.97,3.9,3.94,95666
2018-08-17 07:00:00,3.97,4.15,3.97,4.11,688300
2018-08-20 07:00:00,4.11,4.22,4.11,4.11,350530
2018-08-21 07:00:00,4.15,4.18,4.08,4.08,242358
2018-08-22 07:00:00,4.08,4.18,4.08,4.15,270299
2018-08-23 07:00:00,4.15,4.15,4.11,4.15,169590
2018-08-24 07:00:00,4.15,4.15,4.08,4.11,390043
2018-08-27 07:00:00,4.11,4.11,4.04,4.04,264657
2018-08-28 07:00:00,4.08,4.11,4.04,4.08,132986
2018-08-29 07:00:00,4.18,4.18,4.04,4.08,130459
2018-08-30 07:00:00,4.04,4.11,4.04,4.11,268661
2018-08-31 07:00:00,4.11,4.43,4.11,4.25,1273172
2018-09-04 07:00:00,4.29,4.4,4.25,4.32,666709
2018-09-05 07:00:00,4.36,4.47,4.32,4.4,944926
2018-09-06 07:00:00,4.4,4.4,4.25,4.32,440222
2018-09-07 07:00:00,4.32,4.47,4.29,4.43,827249
2018-09-10 07:00:00,4.43,4.47,4.36,4.4,343095
2018-09-11 07:00:00,4.43,4.61,4.36,4.61,1000317
2018-09-12 07:00:00,4.64,4.68,4.47,4.54,510889
2018-09-13 07:00:00,4.57,4.68,4.5,4.54,700630
2018-09-14 07:00:00,4.54,4.61,4.5,4.57,575110
2018-09-17 07:00:00,4.61,4.68,4.54,4.54,878710
2018-09-18 07:00:00,4.54,4.96,4.54,4.96,2799582
2018-09-19 07:00:00,5.14,5.46,5.14,5.46,1421476
2018-09-20 07:00:00,5.96,5.96,5.35,5.5,2475838
2018-09-21 07:00:00,5.46,5.57,5.25,5.39,1788161
2018-09-24 07:00:00,5.39,5.85,5.39,5.85,2010873
2018-09-25 07:00:00,5.85,6.38,5.85,6.28,2286952
2018-09-26 07:00:00,6.35,6.84,6.17,6.63,1991486
2018-09-27 07:00:00,6.63,6.66,6.24,6.24,1741477
2018-09-28 07:00:00,6.24,6.52,6.13,6.2,1892093
2018-10-01 07:00:00,6.2,6.2,5.74,5.96,2301945
2018-10-02 07:00:00,5.99,6.2,5.88,6.03,1074428
2018-10-03 07:00:00,5.96,6.1,5.96,6.03,862993
2018-10-04 07:00:00,6.06,6.35,6.03,6.31,1433612
2018-10-05 07:00:00,6.28,6.45,6.13,6.13,2002635
2018-10-08 07:00:00,6.13,6.13,5.99,6.03,820152
2018-10-09 07:00:00,6.1,6.17,6.03,6.06,424989
2018-10-10 07:00:00,6.13,6.13,5.46,5.46,1714461
2018-10-11 07:00:00,5.46,5.46,4.93,5.07,2861405
2018-10-12 07:00:00,5.07,5.57,5.07,5.57,1437342
2018-10-15 07:00:00,5.67,5.71,5.57,5.57,1161884
2018-10-16 07:00:00,5.5,5.67,5.42,5.67,804046
2018-10-17 07:00:00,5.74,5.88,5.67,5.74,887235
2018-10-18 07:00:00,5.74,6.06,5.6,5.85,1335856
2018-10-19 07:00:00,5.85,6.13,5.67,6.03,1376084
2018-10-22 07:00:00,6.06,6.17,5.85,5.88,940034
2018-10-23 07:00:00,5.92,5.92,5.57,5.74,1318291
2018-10-24 07:00:00,5.78,5.78,5.53,5.53,971129
2018-10-25 07:00:00,5.46,5.78,5.14,5.74,1633975
2018-10-26 07:00:00,5.88,5.92,5.6,5.6,586347
2018-10-29 07:00:00,5.6,5.6,5.46,5.53,476301
2018-10-30 07:00:00,5.5,5.64,5.39,5.46,911512
2018-10-31 07:00:00,5.57,5.99,5.57,5.99,1191789
2018-11-01 07:00:00,5.99,6.1,5.81,5.81,1353941
2018-11-02 07:00:00,5.96,6.35,5.85,6.28,2596357
2018-11-05 07:00:00,6.38,6.42,6.17,6.35,1468233
2018-11-06 07:00:00,6.38,6.45,6.1,6.17,1233832
2018-11-07 07:00:00,6.2,6.28,6.06,6.28,1337593
2018-11-08 07:00:00,6.42,6.66,6.28,6.28,1195422
2018-11-09 07:00:00,6.24,6.31,6.1,6.17,990615
2018-11-12 07:00:00,6.13,6.42,6.03,6.42,883044
2018-11-13 07:00:00,6.42,7.06,6.24,6.98,4325698
2018-11-14 07:00:00,6.98,7.16,6.77,6.95,1802488
