time,open,high,low,close,volume
2018-08-09 07:00:00,5.43,5.69,5.43,5.63,461210
2018-08-10 07:00:00,5.64,5.69,5.56,5.66,332110
2018-08-13 07:00:00,5.67,5.77,5.62,5.76,336850
2018-08-14 07:00:00,5.83,5.85,5.76,5.76,312680
2018-08-15 07:00:00,5.76,5.82,5.69,5.71,289650
2018-08-16 07:00:00,5.67,5.78,5.67,5.77,235000
2018-08-17 07:00:00,5.83,5.98,5.77,5.82,262420
2018-08-20 07:00:00,5.76,5.83,5.76,5.76,285190
2018-08-21 07:00:00,5.76,5.82,5.76,5.82,312010
2018-08-22 07:00:00,5.82,5.9,5.78,5.84,435620
2018-08-23 07:00:00,5.81,5.92,5.81,5.87,375720
2018-08-24 07:00:00,5.88,5.88,5.85,5.88,318750
2018-08-27 07:00:00,5.89,5.92,5.89,5.92,262880
2018-08-28 07:00:00,5.89,5.97,5.89,5.96,367780
2018-08-29 07:00:00,5.96,6.0,5.94,5.99,353290
2018-08-30 07:00:00,5.98,6.0,5.94,5.99,386140
2018-08-31 07:00:00,5.99,6.04,5.96,5.96,344740
2018-09-04 07:00:00,5.95,5.97,5.93,5.94,274950
2018-09-05 07:00:00,5.93,5.95,5.87,5.87,287370
2018-09-06 07:00:00,5.85,5.94,5.46,5.46,314500
2018-09-07 07:00:00,5.71,5.84,5.69,5.84,334230
2018-09-10 07:00:00,5.86,5.88,5.82,5.84,295040
2018-09-11 07:00:00,5.84,5.85,5.78,5.78,306000
2018-09-12 07:00:00,5.78,5.84,5.76,5.78,311310
2018-09-13 07:00:00,5.79,5.82,5.78,5.81,274320
2018-09-14 07:00:00,5.81,5.83,5.79,5.81,296230
2018-09-17 07:00:00,5.81,5.81,5.76,5.78,296810
2018-09-18 07:00:00,5.78,5.78,5.66,5.78,341310
2018-09-19 07:00:00,5.79,5.82,5.76,5.81,403380
2018-09-20 07:00:00,5.82,5.86,5.81,5.82,451650
2018-09-21 07:00:00,5.82,5.85,5.81,5.82,458990
2018-09-24 07:00:00,5.83,5.85,5.81,5.82,179800
2018-09-25 07:00:00,5.82,5.82,5.73,5.75,352600
2018-09-26 07:00:00,5.76,5.88,5.72,5.76,280770
2018-09-27 07:00:00,5.76,5.81,5.75,5.76,237590
2018-09-28 07:00:00,5.76,5.81,5.74,5.81,377090
2018-10-01 07:00:00,5.81,5.84,5.79,5.81,334990
2018-10-02 07:00:00,5.81,5.87,5.75,5.79,462710
2018-10-03 07:00:00,5.81,5.84,5.79,5.83,493170
2018-10-04 07:00:00,5.83,6.03,5.83,5.98,918360
2018-10-05 07:00:00,6.0,6.02,5.95,5.98,691450
2018-10-08 07:00:00,5.99,5.99,5.87,5.9,586980
2018-10-09 07:00:00,5.85,5.93,5.83,5.92,1065850
2018-10-10 07:00:00,5.92,5.94,5.89,5.92,557840
2018-10-11 07:00:00,5.54,5.76,5.52,5.52,500890
2018-10-12 07:00:00,5.51,5.61,5.51,5.57,376500
2018-10-15 07:00:00,5.56,5.57,5.18,5.32,336550
2018-10-16 07:00:00,5.33,5.37,5.32,5.35,328810
2018-10-17 07:00:00,5.36,5.54,5.36,5.43,321550
2018-10-18 07:00:00,5.44,5.48,5.41,5.42,279180
2018-10-19 07:00:00,5.41,5.43,5.36,5.42,308190
2018-10-22 07:00:00,5.42,5.56,5.42,5.45,386440
2018-10-23 07:00:00,5.46,5.46,5.4,5.41,315760
2018-10-24 07:00:00,5.42,5.46,5.41,5.44,316220
2018-10-25 07:00:00,5.42,5.44,5.35,5.43,249910
2018-10-26 07:00:00,5.46,5.54,5.46,5.51,269600
2018-10-29 07:00:00,5.51,5.52,5.46,5.51,217050
2018-10-30 07:00:00,5.51,5.58,5.51,5.54,368350
2018-10-31 07:00:00,5.65,5.73,5.65,5.73,308320
2018-11-01 07:00:00,5.87,5.87,5.69,5.71,285340
2018-11-02 07:00:00,5.72,5.77,5.32,5.32,511310
2018-11-05 07:00:00,5.43,5.49,5.42,5.48,481700
2018-11-06 07:00:00,5.48,5.52,5.47,5.48,248270
2018-11-07 07:00:00,5.48,5.56,5.48,5.54,255460
2018-11-08 07:00:00,5.54,5.63,5.46,5.61,631830
2018-11-09 07:00:00,5.61,5.67,5.54,5.56,563400
2018-11-12 07:00:00,5.56,5.66,5.53,5.66,234920
2018-11-13 07:00:00,5.65,5.65,5.59,5.64,206970
2018-11-14 07:00:00,5.64,5.67,5.64,5.65,180650
2018-11-15 07:00:00,5.66,5.67,5.63,5.66,233890
2018-11-16 07:00:00,5.67,5.76,5.67,5.75,252140
2018-11-19 07:00:00,5.76,5.81,5.76,5.81,331610
2018-11-20 07:00:00,5.82,5.82,5.78,5.81,286420
2018-11-21 07:00:00,5.81,5.98,5.75,5.96,307800
2018-11-22 07:00:00,6.09,6.23,5.96,6.23,1262510
2018-11-23 07:00:00,6.23,6.23,6.07,6.09,1055230
2018-11-26 07:00:00,5.87,5.97,5.86,5.86,600550
2018-11-27 07:00:00,5.85,5.86,5.69,5.74,313350
2018-11-28 07:00:00,5.74,5.74,5.54,5.63,313540
2018-11-29 07:00:00,5.72,5.72,5.62,5.63,237440
2018-11-30 07:00:00,5.69,5.69,5.53,5.57,383620
2018-12-03 07:00:00,5.74,5.87,5.65,5.86,473550
2018-12-04 07:00:00,5.86,5.87,5.76,5.76,307480
2018-12-05 07:00:00,5.76,5.87,5.73,5.85,459590
2018-12-06 07:00:00,5.87,5.94,5.83,5.87,575460
2018-12-07 07:00:00,6.24,6.24,6.07,6.23,867780
2018-12-10 07:00:00,6.21,6.21,6.08,6.1,447020
2018-12-11 07:00:00,6.08,6.08,5.98,6.0,321360
2018-12-12 07:00:00,6.0,6.07,6.0,6.03,212930
2018-12-13 07:00:00,6.1,6.13,6.03,6.03,223200
2018-12-14 07:00:00,6.07,6.08,5.98,6.0,324020
2018-12-17 07:00:00,5.98,5.98,5.81,5.89,236170
2018-12-18 07:00:00,5.84,5.84,5.7,5.7,407110
2018-12-19 07:00:00,5.84,5.87,5.67,5.67,273950
2018-12-20 07:00:00,5.76,5.8,5.74,5.76,193400
2018-12-21 07:00:00,5.73,5.77,5.69,5.7,264140
2018-12-24 07:00:00,5.73,5.73,5.67,5.69,175850
2018-12-25 07:00:00,5.67,5.67,5.39,5.47,205270
2018-12-26 07:00:00,5.47,5.64,5.47,5.56,219770
2018-12-27 07:00:00,5.81,5.81,5.66,5.66,183410
2018-12-28 07:00:00,5.67,5.76,5.56,5.66,162260
2019-01-02 07:00:00,5.76,5.76,5.53,5.66,101860
2019-01-03 07:00:00,5.64,5.76,5.49,5.53,87800
2019-01-04 07:00:00,5.53,5.53,5.3,5.52,163350
2019-01-07 07:00:00,5.7,5.74,5.52,5.57,100710
2019-01-08 07:00:00,5.62,5.7,5.55,5.59,144900
2019-01-09 07:00:00,5.67,5.87,5.64,5.84,790920
2019-01-10 07:00:00,5.84,5.97,5.84,5.91,476230
2019-01-11 07:00:00,5.96,5.96,5.9,5.93,395170
2019-01-14 07:00:00,5.96,6.25,5.53,6.25,265710
2019-01-15 07:00:00,6.11,6.11,5.87,5.98,442520
2019-01-16 07:00:00,6.0,6.03,5.9,5.9,121030
2019-01-17 07:00:00,5.96,5.96,5.86,5.87,103420
2019-01-18 07:00:00,5.87,6.03,5.87,5.9,136430
2019-01-21 07:00:00,5.91,6.1,5.9,5.96,289120
2019-01-22 07:00:00,6.04,6.04,5.9,5.96,216620
2019-01-23 07:00:00,5.93,6.18,5.87,6.18,952210
2019-01-24 07:00:00,5.98,6.1,5.96,6.03,271940
2019-01-25 07:00:00,6.04,6.06,6.0,6.0,361290
2019-01-28 07:00:00,6.03,6.03,5.96,5.97,229370
2019-01-29 07:00:00,5.97,5.98,5.86,5.87,277150
2019-01-30 07:00:00,5.96,5.96,5.91,5.93,191750
2019-01-31 07:00:00,5.96,5.98,5.9,5.9,194040
2019-02-01 07:00:00,5.93,5.96,5.9,5.94,133360
2019-02-11 07:00:00,5.97,6.03,5.97,6.03,328120
2019-02-12 07:00:00,6.04,6.08,6.03,6.04,387770
2019-02-13 07:00:00,6.06,6.08,6.01,6.06,308220
2019-02-14 07:00:00,6.07,6.07,6.0,6.04,328550
2019-02-15 07:00:00,6.06,6.07,5.96,6.01,536880
2019-02-18 07:00:00,6.06,6.06,5.97,6.03,277020
2019-02-19 07:00:00,6.04,6.04,5.96,5.98,280680
2019-02-20 07:00:00,6.01,6.01,5.9,5.98,349790
2019-02-21 07:00:00,6.0,6.01,5.89,5.9,475180
2019-02-22 07:00:00,5.91,6.0,5.89,5.96,348120
2019-02-25 07:00:00,5.97,6.13,5.97,6.03,331450
2019-02-26 07:00:00,6.03,6.03,5.9,5.96,460890
2019-02-27 07:00:00,5.96,5.96,5.87,5.94,585280
2019-02-28 07:00:00,5.94,5.96,5.86,5.89,528270
2019-03-01 07:00:00,5.89,5.94,5.87,5.94,463220
2019-03-04 07:00:00,5.94,6.13,5.91,6.01,619900
2019-03-05 07:00:00,6.01,6.03,5.9,5.93,620810
2019-03-06 07:00:00,5.94,5.97,5.9,5.93,187320
2019-03-07 07:00:00,5.96,6.03,5.94,5.96,285270
2019-03-08 07:00:00,5.94,5.94,5.89,5.91,133070
2019-03-11 07:00:00,5.9,5.93,5.86,5.9,59560
2019-03-12 07:00:00,5.9,6.01,5.9,6.01,667260
2019-03-13 07:00:00,6.06,6.07,6.01,6.04,548920
2019-03-14 07:00:00,6.06,6.06,5.96,6.04,279910
2019-03-15 07:00:00,6.03,6.06,5.96,5.96,348190
2019-03-18 07:00:00,5.96,6.04,5.96,6.03,939370
2019-03-19 07:00:00,6.04,6.06,6.0,6.03,771910
2019-03-20 07:00:00,6.03,6.04,5.94,6.01,691420
2019-03-21 07:00:00,6.04,6.04,5.93,6.0,504960
2019-03-22 07:00:00,6.01,6.03,5.98,6.01,340730
2019-03-25 07:00:00,6.0,6.0,5.87,5.93,470480
2019-03-26 07:00:00,5.93,6.04,5.93,5.93,337140
2019-03-27 07:00:00,5.94,6.0,5.91,5.96,321520
2019-03-28 07:00:00,5.97,6.03,5.94,6.01,505130
2019-03-29 07:00:00,6.04,6.06,6.03,6.03,502820
2019-04-01 07:00:00,6.04,6.44,6.0,6.41,791220
2019-04-02 07:00:00,6.41,6.44,6.3,6.31,729960
2019-04-03 07:00:00,6.33,6.44,6.3,6.41,1192390
