time,open,high,low,close,volume
2018-08-09 07:00:00,2.61,2.71,2.61,2.71,2400
2018-08-20 07:00:00,2.61,2.61,2.61,2.61,1900
2018-08-21 07:00:00,2.56,2.71,2.45,2.71,3200
2018-08-22 07:00:00,2.61,2.61,2.61,2.61,500
2018-08-24 07:00:00,2.71,2.71,2.71,2.71,100
2018-08-28 07:00:00,2.71,2.71,2.56,2.56,4000
2018-08-29 07:00:00,2.61,2.61,2.61,2.61,1000
2018-09-06 07:00:00,2.71,2.77,2.71,2.77,2100
2018-09-10 07:00:00,2.71,2.77,2.66,2.66,24600
2018-09-12 07:00:00,2.5,2.71,2.5,2.71,1900
2018-09-14 07:00:00,2.71,2.71,2.71,2.71,19064
2018-09-17 07:00:00,2.77,2.82,2.77,2.82,500
2018-09-18 07:00:00,2.66,2.66,2.66,2.66,3800
2018-09-20 07:00:00,2.66,2.66,2.61,2.61,9500
2018-09-21 07:00:00,2.61,2.61,2.61,2.61,5600
2018-09-25 07:00:00,2.61,2.61,2.61,2.61,1080
2018-09-26 07:00:00,2.56,2.66,2.56,2.66,4400
2018-09-28 07:00:00,2.61,2.61,2.56,2.56,1300
2018-10-02 07:00:00,2.61,2.71,2.61,2.71,2000
2018-10-03 07:00:00,2.71,2.71,2.71,2.71,2000
2018-10-04 07:00:00,2.71,2.71,2.71,2.71,1280
2018-10-05 07:00:00,2.71,2.71,2.66,2.71,6100
2018-10-08 07:00:00,2.66,2.77,2.66,2.77,7519
2018-10-09 07:00:00,2.77,2.82,2.77,2.82,1550
2018-10-10 07:00:00,2.82,2.82,2.77,2.77,3520
2018-10-11 07:00:00,2.61,2.77,2.61,2.77,3900
2018-10-15 07:00:00,2.61,2.66,2.61,2.66,3190
2018-10-16 07:00:00,2.71,2.71,2.61,2.61,300
2018-10-17 07:00:00,2.77,2.82,2.66,2.82,14250
2018-10-18 07:00:00,2.82,2.87,2.77,2.77,4400
2018-10-19 07:00:00,2.71,2.82,2.71,2.77,3100
2018-10-22 07:00:00,2.77,2.77,2.77,2.77,2100
2018-10-23 07:00:00,2.77,2.82,2.71,2.77,10200
2018-10-24 07:00:00,2.82,2.82,2.82,2.82,100
2018-10-25 07:00:00,2.77,2.77,2.77,2.77,4000
2018-10-31 07:00:00,2.77,2.77,2.77,2.77,16800
2018-11-02 07:00:00,2.61,2.61,2.56,2.61,5300
2018-11-06 07:00:00,2.56,2.56,2.56,2.56,100
2018-11-07 07:00:00,2.45,2.56,2.45,2.56,200
2018-11-08 07:00:00,2.61,2.61,2.61,2.61,100
2018-11-13 07:00:00,2.5,2.56,2.5,2.56,200
2018-11-14 07:00:00,2.71,2.71,2.71,2.71,100
2018-11-15 07:00:00,2.77,2.77,2.61,2.61,2750
2018-11-16 07:00:00,2.61,2.61,2.61,2.61,1600
2018-11-19 07:00:00,2.71,2.71,2.71,2.71,100
2018-11-21 07:00:00,2.71,2.71,2.71,2.71,9
2018-11-22 07:00:00,2.71,2.71,2.71,2.71,3700
2018-11-26 07:00:00,2.71,2.71,2.71,2.71,3600
2018-11-27 07:00:00,2.71,2.71,2.71,2.71,8800
2018-11-30 07:00:00,2.71,2.82,2.71,2.82,12500
2018-12-03 07:00:00,2.87,2.87,2.77,2.77,12100
2018-12-04 07:00:00,2.82,2.82,2.82,2.82,1200
2018-12-05 07:00:00,2.82,3.08,2.82,3.08,72200
2018-12-06 07:00:00,3.08,3.08,3.03,3.08,14500
2018-12-07 07:00:00,3.03,3.03,2.98,2.98,5200
2018-12-10 07:00:00,3.03,3.03,3.03,3.03,8900
2018-12-11 07:00:00,2.98,2.98,2.98,2.98,4500
2018-12-13 07:00:00,2.98,2.98,2.92,2.92,7000
2018-12-14 07:00:00,2.92,2.92,2.92,2.92,2710
2018-12-17 07:00:00,2.98,2.98,2.98,2.98,1000
2018-12-19 07:00:00,2.98,2.98,2.98,2.98,600
2018-12-20 07:00:00,2.98,2.98,2.98,2.98,12700
2018-12-21 07:00:00,2.98,3.03,2.98,3.03,5000
2018-12-25 07:00:00,2.98,2.98,2.92,2.92,8200
2018-12-26 07:00:00,2.92,2.98,2.92,2.98,400
2018-12-27 07:00:00,2.98,2.98,2.98,2.98,200
2019-01-02 07:00:00,3.03,3.08,3.03,3.08,700
2019-01-03 07:00:00,3.13,3.13,3.08,3.08,3600
2019-01-04 07:00:00,3.03,3.03,3.03,3.03,2900
2019-01-07 07:00:00,2.98,2.98,2.98,2.98,200
2019-01-08 07:00:00,2.98,2.98,2.98,2.98,5300
2019-01-09 07:00:00,2.98,3.03,2.98,3.03,3710
2019-01-10 07:00:00,3.03,3.08,3.03,3.08,6100
2019-01-11 07:00:00,3.08,3.13,3.08,3.13,2600
