time,open,high,low,close,volume
2018-08-09 07:00:00,6.08,6.12,5.96,6.08,244200
2018-08-10 07:00:00,6.05,6.08,5.96,6.08,235800
2018-08-13 07:00:00,6.05,6.08,5.99,6.08,242800
2018-08-14 07:00:00,6.05,6.08,5.99,6.05,305800
2018-08-15 07:00:00,6.05,6.05,5.96,6.02,230900
2018-08-16 07:00:00,6.02,6.05,5.89,6.02,233650
2018-08-17 07:00:00,6.05,6.05,5.96,6.05,249100
2018-08-20 07:00:00,6.02,6.08,5.99,6.02,221200
2018-08-21 07:00:00,6.02,6.05,5.96,6.02,256800
2018-08-22 07:00:00,6.05,6.05,5.96,6.02,208000
2018-08-23 07:00:00,6.02,6.08,5.96,6.05,243306
2018-08-24 07:00:00,6.05,6.21,5.96,6.08,326190
2018-08-27 07:00:00,6.08,6.18,6.08,6.12,260693
2018-08-28 07:00:00,6.12,6.18,6.08,6.08,219506
2018-08-29 07:00:00,6.08,6.12,6.02,6.08,214700
2018-08-30 07:00:00,6.08,6.31,6.08,6.31,389525
2018-08-31 07:00:00,6.28,6.37,6.12,6.21,284106
2018-09-04 07:00:00,6.21,6.31,6.02,6.02,263100
2018-09-05 07:00:00,6.05,6.12,5.89,5.93,292000
2018-09-06 07:00:00,5.96,6.02,5.89,5.89,253400
2018-09-07 07:00:00,5.89,5.93,5.83,5.89,239441
2018-09-10 07:00:00,5.89,5.89,5.83,5.86,216200
2018-09-11 07:00:00,5.86,5.99,5.86,5.89,215400
2018-09-12 07:00:00,5.89,5.93,5.86,5.93,306400
2018-09-13 07:00:00,5.93,5.99,5.83,5.89,233800
2018-09-14 07:00:00,5.89,5.93,5.83,5.89,241800
2018-09-17 07:00:00,5.89,5.89,5.86,5.86,201799
2018-09-18 07:00:00,5.89,5.89,5.77,5.86,248200
2018-09-19 07:00:00,5.89,5.93,5.8,5.86,219900
2018-09-20 07:00:00,5.86,5.86,5.8,5.83,232840
2018-09-21 07:00:00,5.86,5.89,5.8,5.83,230330
2018-09-24 07:00:00,5.86,5.86,5.8,5.83,242690
2018-09-25 07:00:00,5.83,5.89,5.8,5.8,221207
2018-09-26 07:00:00,5.83,5.89,5.77,5.8,235200
2018-09-27 07:00:00,5.83,6.05,5.83,5.96,230220
2018-09-28 07:00:00,5.96,5.99,5.86,5.86,246100
2018-10-01 07:00:00,5.86,5.93,5.8,5.86,215910
2018-10-02 07:00:00,5.86,5.89,5.8,5.83,245800
2018-10-03 07:00:00,5.83,5.86,5.8,5.83,221257
2018-10-04 07:00:00,5.83,5.89,5.8,5.83,232520
2018-10-05 07:00:00,5.83,5.89,5.8,5.83,214800
2018-10-08 07:00:00,5.83,5.83,5.77,5.8,215700
2018-10-09 07:00:00,5.83,5.83,5.77,5.8,212400
2018-10-10 07:00:00,5.8,5.8,5.73,5.8,220600
2018-10-11 07:00:00,5.8,5.8,5.73,5.8,207800
2018-10-12 07:00:00,5.77,5.83,5.73,5.83,212600
2018-10-15 07:00:00,5.83,5.83,5.77,5.8,203100
2018-10-16 07:00:00,5.8,5.86,5.7,5.86,224200
2018-10-17 07:00:00,5.86,5.93,5.83,5.86,214680
2018-10-18 07:00:00,5.86,5.86,5.8,5.86,121206
2018-10-19 07:00:00,5.86,5.86,5.77,5.86,187200
2018-10-22 07:00:00,5.86,5.89,5.8,5.83,208900
2018-10-23 07:00:00,5.83,5.86,5.73,5.83,207886
2018-10-24 07:00:00,5.83,5.93,5.73,5.8,214800
2018-10-25 07:00:00,5.8,5.83,5.73,5.83,219500
2018-10-26 07:00:00,5.83,5.89,5.77,5.8,211800
2018-10-29 07:00:00,5.8,5.93,5.77,5.8,217800
2018-10-30 07:00:00,5.83,5.89,5.8,5.8,205800
2018-10-31 07:00:00,5.83,5.93,5.83,5.89,201540
2018-11-01 07:00:00,5.86,5.89,5.8,5.86,182500
2018-11-02 07:00:00,5.86,5.93,5.86,5.86,212546
2018-11-05 07:00:00,5.86,5.89,5.83,5.89,183603
2018-11-06 07:00:00,5.89,5.93,5.86,5.86,205600
2018-11-07 07:00:00,5.86,5.89,5.83,5.86,198600
2018-11-08 07:00:00,5.86,6.05,5.86,5.93,225600
2018-11-09 07:00:00,5.89,5.89,5.83,5.86,237500
2018-11-12 07:00:00,5.86,5.89,5.8,5.86,181200
2018-11-13 07:00:00,5.86,5.93,5.77,5.86,195249
2018-11-14 07:00:00,5.86,5.86,5.73,5.77,217600
2018-11-15 07:00:00,5.77,5.83,5.73,5.73,139700
2018-11-16 07:00:00,5.73,5.86,5.73,5.77,266900
2018-11-19 07:00:00,5.8,5.83,5.73,5.8,252108
2018-11-20 07:00:00,5.8,5.83,5.73,5.83,282100
2018-11-21 07:00:00,5.8,5.83,5.73,5.83,314149
2018-11-22 07:00:00,5.83,5.89,5.8,5.86,381600
2018-11-23 07:00:00,5.86,5.93,5.8,5.86,351600
2018-11-26 07:00:00,5.86,5.96,5.83,5.96,482660
2018-11-27 07:00:00,5.96,6.05,5.96,6.05,258650
2018-11-28 07:00:00,6.05,6.59,5.99,6.44,320717
2018-11-29 07:00:00,6.31,6.4,6.28,6.37,258920
2018-11-30 07:00:00,6.31,6.47,6.28,6.31,272900
2018-12-03 07:00:00,6.31,6.53,6.21,6.4,341209
2018-12-04 07:00:00,6.4,6.5,6.34,6.47,285450
2018-12-05 07:00:00,6.31,6.85,6.18,6.85,389020
2018-12-06 07:00:00,6.85,7.26,6.72,7.26,303930
2018-12-07 07:00:00,7.26,7.52,7.14,7.49,370000
2018-12-10 07:00:00,7.42,7.71,7.33,7.65,440600
2018-12-11 07:00:00,7.65,7.65,7.26,7.36,441050
2018-12-12 07:00:00,7.36,7.45,6.85,7.17,353300
2018-12-13 07:00:00,7.1,7.36,7.01,7.01,355400
2018-12-14 07:00:00,7.04,7.14,6.85,6.88,251800
2018-12-17 07:00:00,6.88,6.91,6.59,6.69,177700
2018-12-18 07:00:00,6.69,6.82,6.59,6.82,508920
2018-12-19 07:00:00,6.82,6.94,6.75,6.91,476048
2018-12-20 07:00:00,6.91,7.26,6.85,7.26,507100
2018-12-21 07:00:00,7.26,7.58,7.23,7.58,364110
2018-12-24 07:00:00,7.58,7.65,7.52,7.58,343855
2018-12-25 07:00:00,7.58,7.61,7.23,7.58,376108
2018-12-26 07:00:00,7.58,7.65,7.49,7.65,480100
2018-12-27 07:00:00,7.65,8.03,7.65,7.68,633650
2018-12-28 07:00:00,7.68,7.93,7.68,7.84,389908
2019-01-02 07:00:00,7.84,7.9,7.33,7.52,256300
2019-01-03 07:00:00,7.55,7.55,7.33,7.45,228300
2019-01-04 07:00:00,7.45,7.45,7.33,7.42,208200
2019-01-07 07:00:00,7.26,7.55,7.26,7.42,403100
2019-01-08 07:00:00,7.42,7.49,7.36,7.45,275700
2019-01-09 07:00:00,7.45,7.49,7.42,7.49,292800
2019-01-10 07:00:00,7.49,7.65,7.42,7.65,282928
2019-01-11 07:00:00,7.65,7.65,7.55,7.61,224400
2019-01-14 07:00:00,7.61,7.61,7.45,7.58,206520
2019-01-15 07:00:00,7.58,7.58,7.39,7.58,217700
2019-01-16 07:00:00,7.58,7.58,7.45,7.58,207480
2019-01-17 07:00:00,7.58,7.65,7.49,7.65,218100
2019-01-18 07:00:00,7.65,7.65,7.39,7.39,210130
2019-01-21 07:00:00,7.42,7.45,7.1,7.17,309200
2019-01-22 07:00:00,7.17,7.17,6.98,7.1,276320
2019-01-23 07:00:00,7.07,7.42,7.07,7.42,254000
2019-01-24 07:00:00,7.42,7.45,7.36,7.39,225400
2019-01-25 07:00:00,7.39,7.49,7.3,7.33,186600
2019-01-28 07:00:00,7.33,7.33,7.07,7.23,219100
2019-01-29 07:00:00,7.23,7.26,7.07,7.17,159200
2019-01-30 07:00:00,7.17,7.23,7.14,7.17,175300
2019-01-31 07:00:00,7.17,7.17,7.04,7.17,155400
2019-02-01 07:00:00,7.14,7.23,7.1,7.23,131900
2019-02-11 07:00:00,7.23,7.3,7.2,7.26,151428
2019-02-12 07:00:00,7.26,7.33,7.17,7.33,229300
2019-02-13 07:00:00,7.3,7.33,7.23,7.3,146300
2019-02-14 07:00:00,7.3,7.33,7.17,7.33,150433
2019-02-15 07:00:00,7.3,7.33,7.2,7.23,205100
2019-02-18 07:00:00,7.23,7.36,7.14,7.36,238620
2019-02-19 07:00:00,7.36,7.39,7.23,7.3,167100
2019-02-20 07:00:00,7.26,7.33,7.17,7.26,185110
2019-02-21 07:00:00,7.23,7.26,7.14,7.17,185800
2019-02-22 07:00:00,7.17,7.2,7.01,7.17,216400
2019-02-25 07:00:00,7.17,7.2,7.01,7.04,145213
2019-02-26 07:00:00,7.04,7.07,7.01,7.07,168700
2019-02-27 07:00:00,7.07,7.14,7.01,7.14,140500
2019-02-28 07:00:00,7.14,7.17,7.1,7.14,127101
2019-03-01 07:00:00,7.14,7.17,7.1,7.14,120900
2019-03-04 07:00:00,7.14,7.14,7.01,7.07,120300
2019-03-05 07:00:00,7.07,7.14,7.01,7.04,152312
2019-03-06 07:00:00,7.04,7.14,7.04,7.14,128700
2019-03-07 07:00:00,7.14,7.17,7.04,7.14,137200
2019-03-08 07:00:00,7.14,7.17,7.04,7.14,209300
2019-03-11 07:00:00,7.14,7.17,7.07,7.1,167900
2019-03-12 07:00:00,7.1,7.14,7.01,7.14,307708
2019-03-13 07:00:00,7.14,7.17,7.1,7.14,216800
2019-03-14 07:00:00,7.14,7.17,7.07,7.17,203607
2019-03-15 07:00:00,7.17,7.45,7.17,7.42,227900
2019-03-18 07:00:00,7.39,7.58,7.39,7.42,325818
2019-03-19 07:00:00,7.36,7.45,7.3,7.33,266809
2019-03-20 07:00:00,7.3,7.33,7.14,7.33,188076
2019-03-21 07:00:00,7.3,7.39,7.07,7.07,280000
2019-03-22 07:00:00,7.07,7.14,7.01,7.07,280107
2019-03-25 07:00:00,7.07,7.07,7.01,7.07,261400
2019-03-26 07:00:00,7.07,7.17,7.01,7.14,266031
2019-03-27 07:00:00,7.14,7.23,7.14,7.17,194302
2019-03-28 07:00:00,7.17,7.26,7.1,7.17,202490
2019-03-29 07:00:00,7.17,7.26,7.17,7.17,195400
2019-04-01 07:00:00,7.17,7.2,7.1,7.17,206230
2019-04-02 07:00:00,7.17,7.26,7.14,7.17,180500
2019-04-03 07:00:00,7.17,7.17,7.07,7.14,174205
2019-04-04 07:00:00,7.14,7.3,7.1,7.2,182850
2019-04-05 07:00:00,7.2,7.39,7.2,7.39,271321
2019-04-08 07:00:00,7.36,7.39,7.26,7.26,192300
2019-04-09 07:00:00,7.26,7.49,7.26,7.33,203673
2019-04-10 07:00:00,7.3,7.3,7.14,7.23,228315
