time,open,high,low,close,volume
2018-08-09 07:00:00,26.07,26.32,25.73,25.73,2508810
2018-08-10 07:00:00,25.61,26.66,25.61,26.66,3849630
2018-08-13 07:00:00,26.45,26.78,26.11,26.78,2397270
2018-08-14 07:00:00,26.78,26.78,26.32,26.36,1274800
2018-08-15 07:00:00,26.53,26.61,25.4,25.44,3238040
2018-08-16 07:00:00,25.19,25.61,24.72,25.44,3426320
2018-08-17 07:00:00,25.65,26.4,25.52,26.03,2711770
2018-08-20 07:00:00,26.03,26.24,25.78,25.78,1601770
2018-08-21 07:00:00,25.61,26.32,25.61,26.32,1724610
2018-08-22 07:00:00,26.36,26.45,25.98,25.98,1490660
2018-08-23 07:00:00,26.03,26.36,25.86,26.28,1301270
2018-08-24 07:00:00,26.28,26.28,25.94,26.03,1779380
2018-08-27 07:00:00,26.24,26.66,26.19,26.49,1805900
2018-08-28 07:00:00,26.66,26.99,26.4,26.87,2588320
2018-08-29 07:00:00,26.82,26.91,26.49,26.49,1117930
2018-08-30 07:00:00,26.49,26.95,26.19,26.78,1336350
2018-08-31 07:00:00,26.78,26.87,26.03,26.24,1949400
2018-09-04 07:00:00,26.24,26.28,25.56,25.61,2050280
2018-09-05 07:00:00,25.61,25.94,25.31,25.44,1766180
2018-09-06 07:00:00,25.44,25.61,25.27,25.31,796450
2018-09-07 07:00:00,25.23,26.11,25.23,26.03,1595530
2018-09-10 07:00:00,26.03,26.28,25.65,26.03,1505560
2018-09-11 07:00:00,25.82,26.49,25.82,26.45,1543540
2018-09-12 07:00:00,26.53,26.7,26.24,26.28,1590110
2018-09-13 07:00:00,26.36,26.61,26.28,26.4,1069800
2018-09-14 07:00:00,26.53,27.03,26.53,26.87,2405940
2018-09-17 07:00:00,26.87,26.87,26.4,26.4,1007490
2018-09-18 07:00:00,26.24,26.57,26.15,26.57,1077110
2018-09-19 07:00:00,26.74,26.74,26.49,26.57,1075000
2018-09-20 07:00:00,26.57,27.12,26.57,27.03,1709890
2018-09-21 07:00:00,27.29,27.58,26.87,27.12,4889170
2018-09-24 07:00:00,27.5,27.58,27.2,27.37,1094970
2018-09-25 07:00:00,27.2,27.37,27.03,27.03,1031520
2018-09-26 07:00:00,27.03,27.24,26.78,26.78,2099660
2018-09-27 07:00:00,26.78,26.95,26.53,26.61,2121040
2018-09-28 07:00:00,26.74,26.87,26.45,26.45,2104400
2018-10-01 07:00:00,26.66,26.66,26.24,26.24,1932610
2018-10-02 07:00:00,26.24,26.49,26.11,26.45,1601040
2018-10-03 07:00:00,26.61,26.66,26.24,26.45,1034920
2018-10-04 07:00:00,26.45,26.87,26.36,26.45,2298750
2018-10-05 07:00:00,26.57,26.79,26.4,26.4,1633520
2018-10-08 07:00:00,26.36,26.53,26.19,26.19,1347760
2018-10-09 07:00:00,26.28,26.45,26.19,26.23,868060
2018-10-10 07:00:00,26.32,26.36,26.11,26.23,781330
2018-10-11 07:00:00,25.51,25.51,24.45,24.53,3432840
2018-10-12 07:00:00,24.24,25.47,24.24,25.47,2266290
2018-10-15 07:00:00,25.43,25.51,24.96,25.13,1155630
2018-10-16 07:00:00,25.09,25.34,25.04,25.17,1079700
