time,open,high,low,close,volume
2018-08-09 07:00:00,8.81,9.01,8.7,8.81,1385840
2018-08-10 07:00:00,8.81,8.86,8.65,8.76,817342
2018-08-13 07:00:00,8.76,9.01,8.7,9.01,935510
2018-08-14 07:00:00,9.01,9.31,8.96,9.21,1724767
2018-08-15 07:00:00,9.21,9.26,8.81,8.91,801280
2018-08-16 07:00:00,8.86,8.91,8.76,8.81,961850
2018-08-17 07:00:00,8.81,8.86,8.6,8.6,443230
2018-08-20 07:00:00,8.35,8.76,8.35,8.5,980600
2018-08-21 07:00:00,8.6,8.7,8.6,8.6,411130
2018-08-22 07:00:00,8.65,8.91,8.65,8.7,1554483
2018-08-23 07:00:00,8.76,9.01,8.7,8.91,1449386
2018-08-24 07:00:00,9.01,9.41,9.01,9.36,2308440
2018-08-27 07:00:00,9.41,9.56,9.31,9.36,1903300
2018-08-28 07:00:00,9.36,9.62,9.36,9.41,2407820
2018-08-29 07:00:00,9.41,9.46,9.31,9.36,1951931
2018-08-30 07:00:00,9.36,9.46,9.26,9.36,1713729
2018-08-31 07:00:00,9.36,9.51,9.21,9.21,1944752
2018-09-04 07:00:00,9.11,9.26,8.86,8.86,2107828
2018-09-05 07:00:00,8.86,8.96,8.7,8.7,684303
2018-09-06 07:00:00,8.76,8.86,8.55,8.86,1037770
2018-09-07 07:00:00,8.86,8.96,8.6,8.6,542130
2018-09-10 07:00:00,8.65,8.91,8.6,8.65,787168
2018-09-11 07:00:00,8.81,8.81,8.7,8.7,648750
2018-09-12 07:00:00,8.81,9.01,8.81,8.91,918863
2018-09-13 07:00:00,8.96,9.21,8.96,8.96,1547551
2018-09-14 07:00:00,8.96,9.16,8.86,8.86,972384
2018-09-17 07:00:00,8.96,8.96,8.76,8.76,1157260
2018-09-18 07:00:00,8.81,9.11,8.81,9.11,1727901
2018-09-19 07:00:00,9.11,9.56,9.11,9.16,2922783
2018-09-20 07:00:00,9.31,9.46,9.26,9.26,1473241
2018-09-21 07:00:00,9.31,9.46,9.16,9.16,2187252
2018-09-24 07:00:00,9.21,9.46,9.21,9.26,1430521
2018-09-25 07:00:00,9.31,9.87,9.21,9.72,5519387
2018-09-26 07:00:00,9.77,9.87,9.62,9.72,2054339
2018-09-27 07:00:00,9.77,10.17,9.72,9.77,2657493
