time,open,high,low,close,volume
2025-12-16 07:00:00,34.07,34.07,30.69,31.76,14838900
2025-12-17 07:00:00,31.26,32.82,30.01,32.76,6551600
2025-12-18 07:00:00,32.76,33.26,32.07,32.88,4803500
2025-12-19 07:00:00,33.01,33.13,32.44,32.88,1968700
2025-12-22 07:00:00,32.82,32.82,32.38,32.44,1816800
2025-12-23 07:00:00,32.44,32.44,31.57,31.57,2960400
2025-12-24 07:00:00,31.57,31.57,30.94,31.26,2367100
2025-12-25 07:00:00,31.38,31.57,30.63,30.63,2038200
2025-12-26 07:00:00,30.35,30.79,30.19,30.38,2091500
2025-12-29 07:00:00,30.26,31.23,30.13,31.07,3001300
2025-12-30 07:00:00,31.19,31.32,31.13,31.19,1167000
2025-12-31 07:00:00,31.38,31.38,31.13,31.32,1532300
2026-01-05 07:00:00,30.69,31.23,30.38,30.41,915600
2026-01-06 07:00:00,30.41,30.73,30.22,30.38,1316100
2026-01-07 07:00:00,30.44,30.73,30.32,30.32,2191900
2026-01-08 07:00:00,30.04,30.57,30.04,30.13,2199100
2026-01-09 07:00:00,30.1,30.26,28.76,28.76,3424500
2026-01-12 07:00:00,28.72,30.63,27.94,29.48,4187900
2026-01-13 07:00:00,29.54,30.32,29.44,29.69,2754900
2026-01-14 07:00:00,29.72,30.01,28.91,28.94,3200600
2026-01-15 07:00:00,29.01,29.54,28.85,29.16,2747700
2026-01-16 07:00:00,29.35,29.38,28.88,29.04,3000100
2026-01-19 07:00:00,29.07,30.29,28.88,30.01,4445800
2026-01-20 07:00:00,30.19,30.29,29.91,29.94,3457000
2026-01-21 07:00:00,29.76,29.79,29.01,29.38,2348300
2026-01-22 07:00:00,29.57,29.57,29.04,29.41,2663700
2026-01-23 07:00:00,29.41,29.72,29.13,29.69,2706800
2026-01-26 07:00:00,29.69,29.76,28.85,29.07,2088800
2026-01-27 07:00:00,29.07,29.38,28.88,29.19,1555500
2026-01-28 07:00:00,29.26,29.26,28.76,28.91,1642900
2026-01-29 07:00:00,28.88,29.07,28.76,28.82,1265400
2026-01-30 07:00:00,28.82,29.04,28.57,28.69,2204500
2026-02-02 07:00:00,28.76,28.76,28.26,28.26,1648500
2026-02-03 07:00:00,28.32,28.69,28.19,28.6,2590300
2026-02-04 07:00:00,28.72,29.07,28.22,28.26,2595400
2026-02-05 07:00:00,28.51,28.51,27.91,27.91,1885500
2026-02-06 07:00:00,27.76,27.76,26.76,26.76,2423800
2026-02-09 07:00:00,26.88,26.88,26.32,26.69,1435900
2026-02-10 07:00:00,26.88,28.54,26.51,28.54,3065700
2026-02-11 07:00:00,28.63,28.82,28.35,28.69,2245400
2026-02-12 07:00:00,29.04,29.04,28.54,28.98,2232400
2026-02-13 07:00:00,29.1,29.1,28.66,28.94,2199400
2026-02-23 07:00:00,28.94,30.57,28.85,30.57,4907200
2026-02-24 07:00:00,30.57,30.76,30.07,30.69,2871300
2026-02-25 07:00:00,30.69,30.76,30.32,30.32,1363400
2026-02-26 07:00:00,30.41,30.41,30.07,30.16,1951200
2026-02-27 07:00:00,30.51,31.07,30.26,31.07,7039000
2026-03-02 07:00:00,30.01,30.94,30.01,30.38,3317300
2026-03-03 07:00:00,30.51,31.07,30.07,30.51,3237200
2026-03-04 07:00:00,30.63,31.88,29.72,31.88,4730800
2026-03-05 07:00:00,32.07,32.82,31.82,32.07,4820400
2026-03-06 07:00:00,32.07,32.07,30.48,30.48,2459100
2026-03-09 07:00:00,28.63,28.76,28.35,28.35,5656200
2026-03-10 07:00:00,30.3,30.3,29.0,30.3,6699200
2026-03-11 07:00:00,30.0,30.5,29.55,30.5,3445700
2026-03-12 07:00:00,30.3,30.5,29.5,30.4,2376000
2026-03-13 07:00:00,29.5,31.25,29.5,31.25,6189800
2026-03-16 07:00:00,31.5,33.4,31.4,33.4,10856000
2026-03-17 07:00:00,34.0,35.7,33.7,35.7,20015400
2026-03-18 07:00:00,38.1,38.1,33.25,35.0,12227700
2026-03-19 07:00:00,33.9,34.5,32.6,34.5,4508000
2026-03-20 07:00:00,33.4,35.7,33.1,35.7,20916100
2026-03-23 07:00:00,33.8,35.15,33.25,35.15,7995700
2026-03-24 07:00:00,35.0,35.8,33.95,35.65,9024300
2026-03-25 07:00:00,35.65,35.7,35.0,35.5,3772700
2026-03-26 07:00:00,35.3,35.4,34.3,35.0,3907200
2026-03-27 07:00:00,34.6,35.15,34.35,34.85,3960600
2026-03-30 07:00:00,34.0,34.5,33.9,34.0,3970700
2026-03-31 07:00:00,34.2,34.7,33.7,33.75,4125400
2026-04-01 07:00:00,33.8,35.1,33.8,35.0,7347600
2026-04-02 07:00:00,34.7,37.0,34.3,36.8,14911700
2026-04-03 07:00:00,36.25,37.0,36.1,37.0,7479700
2026-04-06 07:00:00,36.5,37.4,36.35,36.8,5442000
2026-04-07 07:00:00,36.6,36.95,35.6,36.85,5946500
2026-04-08 07:00:00,37.5,37.9,36.85,37.9,11153300
2026-04-09 07:00:00,37.4,37.8,36.5,37.3,5912900
2026-04-10 07:00:00,37.25,37.3,36.7,37.0,4853000
2026-04-13 07:00:00,36.7,37.9,36.45,37.1,5857000
2026-04-14 07:00:00,36.9,37.25,36.15,36.7,5698800
2026-04-15 07:00:00,36.7,36.9,36.0,36.1,3381200
2026-04-16 07:00:00,36.25,36.25,34.2,34.35,7705800
2026-04-17 07:00:00,34.5,35.0,33.95,34.4,3521400
2026-04-20 07:00:00,34.5,34.9,34.3,34.55,1743700
2026-04-21 07:00:00,34.7,34.7,33.95,34.0,2264100
2026-04-22 07:00:00,34.0,34.2,33.65,33.65,2181000
2026-04-23 07:00:00,33.7,34.05,33.3,33.8,2445800
2026-04-24 07:00:00,33.9,34.8,33.7,34.8,3025600
2026-04-28 07:00:00,34.5,35.0,34.35,34.7,2112100
2026-04-29 07:00:00,34.8,34.85,34.2,34.5,1707800
2026-05-04 07:00:00,34.55,34.8,34.15,34.15,1939500
2026-05-05 07:00:00,34.0,34.4,33.75,34.0,2326700
2026-05-06 07:00:00,34.2,35.0,33.85,34.8,4024100
2026-05-07 07:00:00,34.85,35.3,34.6,34.7,2511100
2026-05-08 07:00:00,34.3,34.8,34.3,34.7,2320800
2026-05-11 07:00:00,34.7,35.2,34.3,34.3,2776700
2026-05-12 07:00:00,34.3,34.5,34.0,34.15,2133500
2026-05-13 07:00:00,34.1,34.4,33.8,34.0,2293100
2026-05-14 07:00:00,33.8,34.4,33.2,33.2,3760900
2026-05-15 07:00:00,32.9,33.45,32.2,33.45,7015100
2026-05-18 07:00:00,33.15,33.45,32.6,33.45,3750600
2026-05-19 07:00:00,33.5,33.7,32.8,33.0,3222600
2026-05-20 07:00:00,33.0,33.5,31.8,33.5,4303400
2026-05-21 07:00:00,33.2,33.5,32.95,33.5,2371500
2026-05-22 07:00:00,33.05,33.7,32.85,33.5,3042500
2026-05-25 07:00:00,33.4,33.5,33.25,33.35,1458700
2026-05-26 07:00:00,33.2,33.85,33.2,33.7,3853900
2026-05-27 07:00:00,33.5,33.85,33.45,33.55,1910500
2026-05-28 07:00:00,33.45,33.7,33.0,33.0,1701600
2026-05-29 07:00:00,32.75,33.25,32.6,33.0,2746400
2026-06-01 07:00:00,32.7,33.1,32.6,32.7,2214300
2026-06-02 07:00:00,32.8,32.9,32.1,32.2,2461100
2026-06-03 07:00:00,32.2,32.5,31.8,32.2,4025400
2026-06-04 07:00:00,32.2,32.4,31.85,32.2,2042400
2026-06-05 07:00:00,32.0,32.5,32.0,32.35,2183300
2026-06-08 07:00:00,32.2,32.7,31.8,32.7,3874000
2026-06-09 07:00:00,32.7,33.4,32.4,33.4,5375100
2026-06-10 07:00:00,33.2,33.55,33.1,33.35,3685500
