time,open,high,low,close,volume
2018-08-09 07:00:00,51.46,52.12,50.73,50.85,73022
2018-08-10 07:00:00,50.85,51.46,50.43,50.55,58883
2018-08-13 07:00:00,51.15,51.15,49.16,50.43,146183
2018-08-14 07:00:00,50.37,51.52,49.7,50.73,105420
2018-08-15 07:00:00,51.46,51.76,50.49,50.55,58400
2018-08-16 07:00:00,50.25,50.67,49.64,50.67,75420
2018-08-17 07:00:00,50.85,52.42,50.25,51.15,175555
2018-08-20 07:00:00,51.58,51.76,51.15,51.15,49667
2018-08-21 07:00:00,50.85,51.4,50.25,50.85,65060
2018-08-22 07:00:00,50.85,53.03,50.73,52.67,321278
2018-08-23 07:00:00,52.67,53.88,52.67,53.64,201742
2018-08-24 07:00:00,53.7,54.48,52.97,54.48,177534
2018-08-27 07:00:00,54.54,54.72,53.52,53.58,133808
2018-08-28 07:00:00,53.58,54.48,53.39,53.94,122526
2018-08-29 07:00:00,53.88,54.24,52.91,53.45,145094
2018-08-30 07:00:00,53.58,53.88,53.03,53.09,83318
2018-08-31 07:00:00,53.45,55.39,53.09,54.79,344081
2018-09-04 07:00:00,54.79,56.42,54.79,55.15,320035
2018-09-05 07:00:00,55.21,55.21,53.88,54.18,210636
2018-09-06 07:00:00,54.18,54.18,53.27,53.45,137660
2018-09-07 07:00:00,52.79,53.64,52.3,53.64,104240
2018-09-10 07:00:00,53.64,54.06,53.27,53.52,85370
2018-09-11 07:00:00,53.52,54.72,52.79,54.36,218458
2018-09-12 07:00:00,54.48,55.39,54.18,54.66,220954
2018-09-13 07:00:00,54.72,56.72,54.72,56.18,406224
2018-09-14 07:00:00,56.18,57.63,56.18,56.72,267672
2018-09-17 07:00:00,56.72,57.51,56.0,56.48,230361
2018-09-18 07:00:00,56.96,59.33,56.06,59.33,326981
2018-09-19 07:00:00,59.33,61.08,58.6,59.63,461588
2018-09-20 07:00:00,59.45,60.23,59.33,60.11,179149
2018-09-21 07:00:00,60.11,60.23,58.72,59.81,224287
2018-09-24 07:00:00,59.81,59.93,57.93,58.3,534640
2018-09-25 07:00:00,58.12,59.51,57.57,58.84,283226
2018-09-26 07:00:00,58.72,59.81,58.72,58.9,137261
2018-09-27 07:00:00,58.78,58.9,57.93,57.93,312281
2018-09-28 07:00:00,58.54,58.72,57.45,58.12,286365
2018-10-01 07:00:00,58.12,59.69,57.51,58.72,352457
2018-10-02 07:00:00,58.72,59.2,57.51,58.42,92017
2018-10-03 07:00:00,58.42,60.23,58.42,59.81,368024
2018-10-04 07:00:00,59.93,61.69,54.48,56.3,1173176
2018-10-05 07:00:00,54.54,56.3,52.06,52.06,617401
2018-10-08 07:00:00,52.06,52.06,48.79,49.34,945994
2018-10-09 07:00:00,49.34,50.49,48.43,50.25,722018
2018-10-10 07:00:00,50.85,52.55,50.85,51.76,299050
2018-10-11 07:00:00,51.46,51.76,47.82,48.85,459005
2018-10-12 07:00:00,48.43,50.55,47.82,50.12,342543
2018-10-15 07:00:00,50.25,50.55,48.31,48.31,271240
2018-10-16 07:00:00,48.37,49.04,47.82,48.13,133580
2018-10-17 07:00:00,48.13,49.64,45.4,48.07,299942
2018-10-18 07:00:00,48.25,48.43,43.28,43.28,920649
2018-10-19 07:00:00,42.98,45.04,39.83,44.8,741451
2018-10-22 07:00:00,45.34,47.1,45.1,46.31,279481
2018-10-23 07:00:00,46.31,46.31,42.5,44.68,361957
