time,open,high,low,close,volume
2018-08-09 07:00:00,11.88,11.88,11.46,11.74,813800
2018-08-10 07:00:00,11.65,11.65,11.37,11.55,160600
2018-08-13 07:00:00,11.92,11.97,11.74,11.88,1002100
2018-08-14 07:00:00,11.0,12.89,11.0,12.89,1428600
2018-08-15 07:00:00,12.57,13.81,12.43,13.35,1715000
2018-08-16 07:00:00,13.35,13.95,13.21,13.76,2229200
2018-08-17 07:00:00,13.76,14.22,13.76,14.22,1668900
2018-08-20 07:00:00,14.27,14.27,13.72,13.81,1408699
2018-08-21 07:00:00,13.9,13.9,12.89,13.67,1126440
2018-08-22 07:00:00,13.58,13.95,13.58,13.63,598450
2018-08-23 07:00:00,13.58,13.9,13.53,13.9,818760
2018-08-24 07:00:00,13.76,13.86,13.63,13.86,290200
2018-08-27 07:00:00,13.67,13.86,13.49,13.58,294000
2018-08-28 07:00:00,13.58,13.58,13.12,13.3,1014795
2018-08-29 07:00:00,13.3,13.3,12.89,13.03,416250
2018-08-30 07:00:00,12.89,13.81,12.89,13.76,625821
2018-08-31 07:00:00,13.76,13.86,13.63,13.67,284200
2018-09-04 07:00:00,13.72,13.81,13.58,13.76,612425
2018-09-05 07:00:00,13.58,13.72,13.44,13.58,336320
2018-09-06 07:00:00,13.49,13.63,13.44,13.63,115100
2018-09-07 07:00:00,13.53,13.86,13.53,13.53,450300
2018-09-10 07:00:00,13.63,13.63,13.53,13.58,103800
2018-09-11 07:00:00,13.63,13.81,13.49,13.67,279800
2018-09-12 07:00:00,13.67,13.76,13.49,13.58,136400
2018-09-13 07:00:00,13.53,13.58,13.4,13.58,356651
2018-09-14 07:00:00,13.58,13.72,13.44,13.58,228700
2018-09-17 07:00:00,13.49,13.58,13.26,13.35,224740
2018-09-18 07:00:00,13.26,13.44,13.21,13.44,220600
2018-09-19 07:00:00,13.44,13.76,13.44,13.76,574270
2018-09-20 07:00:00,13.76,14.41,13.76,14.32,1265400
2018-09-21 07:00:00,14.5,15.47,14.27,15.42,2509960
2018-09-24 07:00:00,15.42,15.88,15.19,15.88,468835
2018-09-25 07:00:00,15.51,16.57,15.42,16.34,1043300
2018-09-26 07:00:00,16.34,16.53,16.02,16.3,898480
2018-09-27 07:00:00,16.2,16.34,15.56,15.93,525650
2018-09-28 07:00:00,15.88,15.88,15.51,15.7,719400
2018-10-01 07:00:00,15.7,15.7,15.1,15.19,512315
2018-10-02 07:00:00,14.96,15.38,14.68,15.33,433020
2018-10-03 07:00:00,15.24,16.43,15.24,16.3,1245530
2018-10-04 07:00:00,16.11,16.8,16.11,16.53,665970
2018-10-05 07:00:00,16.53,16.53,15.93,16.11,268300
2018-10-08 07:00:00,15.7,16.07,15.56,15.74,281960
2018-10-09 07:00:00,15.84,16.57,15.65,16.07,155330
2018-10-10 07:00:00,16.11,16.3,15.97,16.25,228220
2018-10-11 07:00:00,15.88,15.88,15.14,15.19,953830
2018-10-12 07:00:00,14.96,16.25,14.87,16.25,1000600
2018-10-15 07:00:00,16.11,16.25,15.65,15.74,102420
2018-10-16 07:00:00,15.84,16.07,15.84,16.07,202500
2018-10-17 07:00:00,16.07,16.11,15.84,15.84,290700
2018-10-18 07:00:00,15.79,15.79,15.33,15.65,456000
2018-10-19 07:00:00,15.56,16.11,15.33,15.65,166000
2018-10-22 07:00:00,15.51,16.07,15.51,15.93,302600
2018-10-23 07:00:00,16.11,16.34,15.42,15.61,223800
2018-10-24 07:00:00,15.74,15.84,15.47,15.51,147400
2018-10-25 07:00:00,15.42,15.51,14.73,15.14,643900
2018-10-26 07:00:00,15.19,15.38,15.01,15.01,323500
2018-10-29 07:00:00,15.14,15.19,14.82,15.05,95600
2018-10-30 07:00:00,14.91,15.14,14.91,15.01,94500
2018-10-31 07:00:00,15.19,15.84,15.19,15.84,1147700
2018-11-01 07:00:00,15.84,16.57,15.79,16.39,1392224
2018-11-02 07:00:00,16.39,16.85,16.39,16.57,966740
2018-11-05 07:00:00,16.66,16.66,15.93,16.07,219500
2018-11-06 07:00:00,16.11,16.34,16.11,16.11,173810
2018-11-07 07:00:00,16.11,16.11,15.65,15.79,235594
2018-11-08 07:00:00,15.79,16.16,15.79,16.02,214700
2018-11-09 07:00:00,15.74,16.02,15.74,15.84,147900
2018-11-12 07:00:00,15.93,16.07,15.74,15.97,205680
2018-11-13 07:00:00,15.79,16.53,15.79,16.2,741111
2018-11-14 07:00:00,16.3,16.39,16.2,16.3,391500
2018-11-15 07:00:00,16.3,17.17,16.3,16.89,1772374
2018-11-16 07:00:00,16.89,17.49,16.89,17.49,1139221
2018-11-19 07:00:00,17.26,17.81,16.02,17.63,553860
2018-11-20 07:00:00,17.49,17.49,17.17,17.26,579944
2018-11-21 07:00:00,17.22,17.26,16.76,17.12,460130
2018-11-22 07:00:00,17.03,17.26,17.03,17.08,523120
2018-11-23 07:00:00,17.08,17.17,16.8,16.99,532670
2018-11-26 07:00:00,16.94,17.03,16.8,16.94,177530
2018-11-27 07:00:00,16.94,17.49,16.94,17.22,1090700
2018-11-28 07:00:00,17.26,17.77,17.22,17.63,907440
2018-11-29 07:00:00,17.63,17.81,17.45,17.45,885500
2018-11-30 07:00:00,17.45,17.68,17.4,17.63,713585
2018-12-03 07:00:00,17.81,17.81,17.58,17.72,614010
2018-12-04 07:00:00,17.63,17.77,17.58,17.58,469224
2018-12-05 07:00:00,17.63,17.63,17.31,17.49,457660
2018-12-06 07:00:00,17.4,17.45,16.99,17.08,373670
2018-12-07 07:00:00,17.08,17.49,17.08,17.4,156594
2018-12-10 07:00:00,17.31,17.31,16.85,16.89,279530
2018-12-11 07:00:00,17.03,17.17,16.8,17.08,239660
2018-12-12 07:00:00,17.12,17.22,17.03,17.17,122130
2018-12-13 07:00:00,17.12,17.77,17.08,17.72,592890
2018-12-14 07:00:00,17.72,17.72,17.49,17.68,192180
2018-12-17 07:00:00,17.68,17.68,17.31,17.63,254450
2018-12-18 07:00:00,17.49,17.72,17.26,17.54,660510
2018-12-19 07:00:00,17.35,17.49,17.26,17.35,212090
2018-12-20 07:00:00,17.31,17.54,17.26,17.45,606820
2018-12-21 07:00:00,17.49,17.49,17.35,17.45,510420
2018-12-24 07:00:00,17.4,17.49,16.66,17.03,806610
2018-12-25 07:00:00,16.94,17.03,15.51,16.94,1347415
2018-12-26 07:00:00,16.34,17.49,16.34,17.49,858800
2018-12-27 07:00:00,17.49,17.72,17.31,17.63,685290
2018-12-28 07:00:00,17.49,18.41,17.26,17.95,1033050
2019-01-02 07:00:00,18.05,18.05,15.05,17.49,125436
2019-01-03 07:00:00,17.54,17.54,17.03,17.22,274900
2019-01-04 07:00:00,17.22,17.35,17.03,17.35,90190
2019-01-07 07:00:00,17.4,17.4,14.64,17.31,82050
2019-01-08 07:00:00,17.26,17.63,17.26,17.58,226780
2019-01-09 07:00:00,17.54,18.28,17.54,18.18,680129
2019-01-10 07:00:00,18.14,20.71,18.14,18.51,629370
2019-01-11 07:00:00,18.51,19.24,18.41,19.2,593095
2019-01-14 07:00:00,19.2,19.56,18.83,19.29,654541
2019-01-15 07:00:00,19.29,19.47,18.41,18.87,466435
2019-01-16 07:00:00,19.01,19.2,18.64,19.01,289285
2019-01-17 07:00:00,19.01,19.52,18.92,18.97,178500
