time,open,high,low,close,volume
2018-08-10 07:00:00,34.14,34.14,32.8,33.4,600
2018-08-13 07:00:00,33.13,33.13,33.13,33.13,700
2018-08-14 07:00:00,33.13,33.13,32.8,32.8,2800
2018-08-15 07:00:00,32.93,32.93,32.47,32.47,1600
2018-08-16 07:00:00,33.07,33.07,32.8,32.8,400
2018-08-17 07:00:00,33.47,33.47,32.93,32.93,300
2018-08-20 07:00:00,33.34,36.82,33.13,33.8,12700
2018-08-21 07:00:00,36.82,38.49,36.08,38.49,21230
2018-08-22 07:00:00,36.82,39.83,36.82,39.29,18720
2018-08-23 07:00:00,40.16,41.84,40.16,40.77,13000
2018-08-24 07:00:00,40.83,41.17,40.77,40.83,14600
2018-08-27 07:00:00,40.83,40.83,39.49,39.49,4500
2018-08-28 07:00:00,39.43,39.49,38.15,38.29,7900
2018-08-29 07:00:00,37.55,37.55,36.82,37.49,4900
2018-08-30 07:00:00,38.49,40.77,38.49,40.3,6900
2018-08-31 07:00:00,40.3,40.3,39.49,40.16,4600
2018-09-04 07:00:00,40.56,40.56,40.56,40.56,110
2018-09-05 07:00:00,40.5,40.5,40.1,40.16,4250
2018-09-06 07:00:00,37.55,40.16,37.55,40.03,1800
2018-09-07 07:00:00,39.63,39.76,39.43,39.69,6200
2018-09-10 07:00:00,40.16,40.16,39.16,39.29,3700
2018-09-11 07:00:00,39.9,40.83,39.9,40.83,210
2018-09-12 07:00:00,41.17,46.39,40.5,40.5,1910
2018-09-13 07:00:00,41.03,41.03,41.03,41.03,500
2018-09-14 07:00:00,41.84,41.84,41.03,41.5,3800
2018-09-17 07:00:00,41.43,43.18,41.43,42.84,6110
2018-09-18 07:00:00,43.24,44.18,42.84,43.78,6840
2018-09-19 07:00:00,43.38,44.18,43.38,43.51,2540
2018-09-20 07:00:00,43.84,44.18,41.5,41.5,3910
2018-09-21 07:00:00,42.57,42.84,42.17,42.71,17360
2018-09-24 07:00:00,41.64,42.84,41.5,42.17,2600
2018-09-25 07:00:00,42.17,42.17,40.83,40.83,12700
2018-09-26 07:00:00,42.84,42.84,41.84,41.84,300
2018-09-27 07:00:00,42.37,43.51,41.64,43.51,5300
2018-09-28 07:00:00,42.17,43.18,41.97,41.97,6800
2018-10-01 07:00:00,43.31,43.31,41.84,41.84,5400
2018-10-02 07:00:00,42.64,42.77,41.5,41.5,3800
2018-10-03 07:00:00,42.17,42.17,41.84,42.17,2100
2018-10-04 07:00:00,43.11,44.18,42.1,42.1,9400
2018-10-05 07:00:00,43.18,43.18,42.17,42.24,2800
2018-10-08 07:00:00,42.77,48.2,42.77,44.18,4900
2018-10-09 07:00:00,45.52,46.19,45.52,45.99,2600
2018-10-10 07:00:00,46.79,46.79,44.18,44.85,4200
2018-10-11 07:00:00,42.17,43.18,42.17,42.97,11200
2018-10-12 07:00:00,44.18,44.25,44.11,44.11,1400
2018-10-15 07:00:00,44.11,44.18,43.84,43.84,1300
2018-10-16 07:00:00,42.24,44.85,42.24,44.18,1700
2018-10-17 07:00:00,44.18,44.18,42.84,42.84,1200
2018-10-18 07:00:00,43.51,43.51,43.18,43.24,600
2018-10-22 07:00:00,42.84,42.84,42.84,42.84,100
2018-10-23 07:00:00,43.51,43.51,42.31,42.31,9800
2018-10-24 07:00:00,43.38,43.44,42.17,42.17,2400
2018-10-25 07:00:00,42.84,42.97,42.84,42.97,3600
2018-10-26 07:00:00,42.31,42.84,42.31,42.84,500
2018-10-29 07:00:00,42.17,42.24,42.17,42.17,1520
2018-10-30 07:00:00,42.17,42.17,42.17,42.17,13600
2018-10-31 07:00:00,42.17,42.84,42.17,42.84,1800
2018-11-01 07:00:00,42.51,42.51,41.9,42.17,1600
2018-11-02 07:00:00,42.17,42.17,41.5,41.57,5100
2018-11-05 07:00:00,42.84,47.79,41.57,42.17,6900
2018-11-06 07:00:00,42.17,42.24,41.57,42.24,1600
2018-11-07 07:00:00,43.84,48.26,41.9,42.04,1200
2018-11-08 07:00:00,41.84,43.51,41.84,42.91,1900
2018-11-09 07:00:00,42.31,43.18,42.31,43.18,1100
2018-11-12 07:00:00,43.51,43.51,42.17,42.84,600
2018-11-13 07:00:00,42.71,43.18,42.71,43.18,900
2018-11-14 07:00:00,43.44,44.18,42.91,42.97,3200
2018-11-15 07:00:00,42.91,43.38,42.91,43.31,2600
2018-11-16 07:00:00,42.57,44.18,42.57,43.84,2590
2018-11-19 07:00:00,43.31,43.31,43.31,43.31,500
2018-11-20 07:00:00,42.84,43.51,42.57,43.31,5300
2018-11-21 07:00:00,43.04,43.84,43.04,43.84,12000
2018-11-22 07:00:00,43.58,44.18,43.58,44.18,6300
2018-11-23 07:00:00,44.11,44.18,42.84,42.84,2200
2018-11-26 07:00:00,43.51,44.18,43.51,43.71,7060
2018-11-27 07:00:00,44.85,48.2,44.85,46.86,13400
2018-11-28 07:00:00,46.86,46.86,44.18,44.31,23000
2018-11-29 07:00:00,44.78,45.52,44.51,45.52,11320
2018-11-30 07:00:00,46.72,51.74,46.72,51.74,36600
2018-12-03 07:00:00,56.9,57.7,55.49,57.7,46940
2018-12-04 07:00:00,59.04,64.26,57.23,60.24,93500
2018-12-05 07:00:00,60.24,66.94,59.51,66.8,83250
2018-12-06 07:00:00,65.73,66.94,64.6,64.66,27641
2018-12-07 07:00:00,65.6,66.94,64.26,65.87,32400
2018-12-10 07:00:00,64.6,65.67,64.46,65.6,22525
2018-12-11 07:00:00,65.6,66.27,64.93,65.33,35900
2018-12-12 07:00:00,66.14,66.14,61.58,63.26,24450
2018-12-13 07:00:00,64.26,64.93,63.26,63.59,27120
2018-12-14 07:00:00,64.19,64.19,54.69,54.69,71300
2018-12-17 07:00:00,53.55,56.23,50.81,52.61,41000
2018-12-18 07:00:00,50.87,54.89,50.87,54.89,27400
2018-12-19 07:00:00,55.89,56.03,53.68,53.75,15600
2018-12-20 07:00:00,53.55,54.42,51.54,52.21,26000
2018-12-21 07:00:00,52.28,52.75,51.81,52.21,15700
2018-12-24 07:00:00,52.88,54.22,48.87,49.2,24730
2018-12-25 07:00:00,50.74,51.34,47.39,47.39,29400
2018-12-26 07:00:00,49.4,49.4,46.86,47.19,16800
2018-12-27 07:00:00,48.2,49.0,48.2,48.2,8110
2018-12-28 07:00:00,48.53,49.4,47.53,47.79,22200
2019-01-02 07:00:00,47.99,48.53,47.99,48.53,2200
2019-01-03 07:00:00,48.87,51.54,48.87,51.54,16700
2019-01-04 07:00:00,51.54,52.55,50.87,52.55,11900
2019-01-07 07:00:00,53.55,56.16,53.55,54.69,11100
2019-01-08 07:00:00,54.89,55.22,53.42,54.22,14400
2019-01-09 07:00:00,53.95,53.95,53.68,53.95,6900
2019-01-10 07:00:00,53.82,53.89,53.55,53.55,14700
2019-01-11 07:00:00,53.22,54.22,53.22,54.15,6900
2019-01-14 07:00:00,54.76,56.23,53.89,54.49,5600
2019-01-15 07:00:00,54.62,58.24,54.49,58.24,15210
2019-01-16 07:00:00,57.63,58.84,57.57,58.84,12700
2019-01-17 07:00:00,58.91,60.24,58.3,59.58,7900
2019-01-18 07:00:00,59.11,59.11,55.56,56.9,11700
2019-01-21 07:00:00,56.56,57.5,56.3,57.43,8700
2019-01-22 07:00:00,56.5,58.24,56.43,57.63,4700
2019-01-23 07:00:00,58.24,58.91,58.24,58.24,6010
2019-01-24 07:00:00,58.24,58.24,57.83,58.24,4620
2019-01-25 07:00:00,58.24,58.24,57.97,57.97,2700
2019-01-28 07:00:00,58.44,58.44,57.7,58.24,5530
2019-01-29 07:00:00,58.1,59.58,58.1,59.31,11910
2019-01-30 07:00:00,58.57,61.32,58.57,60.24,24790
2019-01-31 07:00:00,60.24,61.25,60.24,61.25,12000
2019-02-01 07:00:00,60.91,62.92,60.91,62.25,10530
2019-02-11 07:00:00,59.91,60.85,59.04,60.24,19204
2019-02-12 07:00:00,60.24,60.38,59.91,60.24,7500
2019-02-13 07:00:00,60.91,60.91,60.24,60.24,5320
2019-02-14 07:00:00,60.45,60.58,60.31,60.58,3404
