time,open,high,low,close,volume
2020-07-01 07:00:00,8.12,11.03,8.12,11.03,120500
2020-07-02 07:00:00,8.35,9.57,8.35,9.57,102800
2020-07-03 07:00:00,10.95,10.95,10.95,10.95,113200
2020-07-06 07:00:00,12.56,12.56,9.34,9.65,108600
2020-07-07 07:00:00,8.5,8.5,8.27,8.27,29600
2020-07-08 07:00:00,7.12,7.12,7.12,7.12,5000
2020-07-09 07:00:00,6.13,8.12,6.13,8.12,46564
2020-07-10 07:00:00,6.89,7.28,6.13,6.89,20008
2020-07-13 07:00:00,6.13,6.82,5.67,5.67,39000
2020-07-14 07:00:00,5.67,5.74,5.28,5.67,36670
2020-07-15 07:00:00,6.13,6.13,5.36,5.59,45920
2020-07-16 07:00:00,5.51,5.9,5.51,5.9,36050
2020-07-17 07:00:00,5.51,5.67,5.44,5.67,38700
2020-07-20 07:00:00,5.67,5.67,5.59,5.67,32430
2020-07-21 07:00:00,5.67,5.74,5.44,5.67,36608
2020-07-22 07:00:00,5.59,5.9,5.59,5.9,40405
2020-07-23 07:00:00,5.67,5.67,5.59,5.67,25215
2020-07-24 07:00:00,5.74,5.74,5.44,5.51,28800
2020-07-27 07:00:00,5.36,5.59,4.82,5.59,24415
2020-07-28 07:00:00,4.6,5.21,4.6,5.21,25110
2020-07-29 07:00:00,4.67,4.98,4.67,4.98,31400
2020-07-30 07:00:00,4.9,4.9,4.9,4.9,13200
2020-07-31 07:00:00,4.98,4.98,4.82,4.98,25000
2020-08-03 07:00:00,4.9,4.98,4.9,4.9,25320
2020-08-04 07:00:00,4.98,5.05,4.98,5.05,1800
2020-08-05 07:00:00,4.98,5.21,4.98,5.21,300
2020-08-06 07:00:00,5.9,5.9,5.05,5.28,5300
2020-08-07 07:00:00,5.13,5.51,5.13,5.51,13000
2020-08-10 07:00:00,5.21,5.28,5.21,5.28,5110
2020-08-11 07:00:00,4.98,5.28,4.98,5.28,15800
2020-08-12 07:00:00,4.98,5.13,4.98,5.13,17400
2020-08-13 07:00:00,5.13,5.13,5.13,5.13,16000
2020-08-14 07:00:00,5.13,5.28,5.13,5.28,20710
2020-08-17 07:00:00,5.05,5.21,4.98,5.21,7600
2020-08-18 07:00:00,5.05,5.05,5.05,5.05,2000
2020-08-19 07:00:00,5.05,5.05,4.98,5.05,11500
2020-08-20 07:00:00,5.05,5.28,5.05,5.13,18700
2020-08-21 07:00:00,5.13,5.21,5.13,5.21,15200
2020-08-24 07:00:00,5.21,5.28,5.21,5.21,14900
2020-08-25 07:00:00,5.21,5.28,5.21,5.28,9200
2020-08-26 07:00:00,5.21,5.28,5.21,5.28,11300
2020-08-27 07:00:00,5.21,5.28,5.21,5.21,15501
2020-08-28 07:00:00,5.9,5.9,5.44,5.51,7300
2020-08-31 07:00:00,5.82,5.82,5.44,5.44,5800
2020-09-03 07:00:00,5.28,5.36,5.05,5.36,22100
2020-09-04 07:00:00,5.05,5.44,5.05,5.44,6800
2020-09-07 07:00:00,5.05,5.05,4.98,4.98,3500
2020-09-08 07:00:00,4.98,5.05,4.98,5.05,13400
2020-09-09 07:00:00,4.98,5.05,4.98,5.05,25163
2020-09-10 07:00:00,5.05,5.05,4.98,5.05,8000
2020-09-11 07:00:00,5.05,5.13,4.98,4.98,4700
2020-09-14 07:00:00,4.98,5.05,4.98,5.05,2500
2020-09-16 07:00:00,5.05,5.05,4.98,5.05,12200
2020-09-17 07:00:00,4.98,4.98,4.98,4.98,33000
2020-09-18 07:00:00,4.9,4.9,4.9,4.9,19500
2020-09-21 07:00:00,4.9,5.05,4.9,4.9,26500
2020-09-22 07:00:00,4.9,4.98,4.9,4.98,3200
2020-09-23 07:00:00,4.98,4.98,4.9,4.9,7100
2020-09-24 07:00:00,4.9,4.9,4.82,4.9,31000
2020-09-25 07:00:00,4.98,4.98,4.9,4.98,2800
2020-09-28 07:00:00,4.98,4.98,4.98,4.98,14600
2020-09-29 07:00:00,4.9,4.98,4.9,4.98,16300
2020-09-30 07:00:00,5.05,5.05,4.9,4.98,11400
2020-10-01 07:00:00,4.9,5.05,4.82,5.05,17210
2020-10-02 07:00:00,4.9,4.98,4.82,4.82,10300
2020-10-05 07:00:00,4.9,4.9,4.82,4.9,24500
2020-10-06 07:00:00,4.9,4.98,4.9,4.98,14600
2020-10-07 07:00:00,4.9,4.98,4.9,4.98,14000
2020-10-08 07:00:00,4.98,5.13,4.9,5.05,39900
2020-10-09 07:00:00,4.98,4.98,4.9,4.98,35900
2020-10-12 07:00:00,5.05,5.05,4.98,4.98,45200
2020-10-13 07:00:00,4.9,4.98,4.9,4.98,22800
2020-10-14 07:00:00,4.98,4.98,4.98,4.98,29600
2020-10-15 07:00:00,4.98,4.98,4.98,4.98,9810
2020-10-16 07:00:00,4.98,5.67,4.98,5.67,98000
2020-10-19 07:00:00,5.59,5.74,5.59,5.67,12200
2020-10-20 07:00:00,5.67,5.67,5.59,5.67,33900
2020-10-21 07:00:00,5.59,5.67,5.44,5.59,13901
2020-10-22 07:00:00,5.36,5.59,5.36,5.59,28101
2020-10-23 07:00:00,5.21,5.67,5.21,5.67,900
2020-10-26 07:00:00,5.21,5.36,5.21,5.21,6000
2020-10-27 07:00:00,5.21,5.21,5.21,5.21,300
2020-10-28 07:00:00,4.9,5.28,4.9,5.28,1100
2020-10-29 07:00:00,4.9,4.9,4.9,4.9,31200
2020-10-30 07:00:00,4.9,4.9,4.9,4.9,8600
2020-11-02 07:00:00,4.98,4.98,4.98,4.98,25118
2020-11-03 07:00:00,4.98,5.21,4.98,5.21,41500
2020-11-04 07:00:00,5.05,5.13,5.05,5.05,35600
2020-11-05 07:00:00,5.05,5.05,5.05,5.05,48600
2020-11-06 07:00:00,5.05,5.05,5.05,5.05,4300
2020-11-09 07:00:00,5.05,5.05,4.9,4.98,43300
2020-11-10 07:00:00,4.98,4.98,4.98,4.98,37818
2020-11-11 07:00:00,4.98,5.05,4.98,5.05,40100
2020-11-12 07:00:00,4.98,5.05,4.98,4.98,42400
2020-11-13 07:00:00,4.98,5.05,4.98,4.98,14000
2020-11-16 07:00:00,4.98,4.98,4.98,4.98,17630
2020-11-17 07:00:00,4.82,4.98,4.82,4.98,203
2020-11-18 07:00:00,4.9,4.9,4.9,4.9,23100
2020-11-19 07:00:00,4.9,4.98,4.9,4.98,33000
2020-11-23 07:00:00,4.9,4.98,4.9,4.9,38000
2020-11-24 07:00:00,5.05,5.05,4.98,5.05,25900
2020-11-25 07:00:00,4.82,4.82,4.82,4.82,500
2020-11-26 07:00:00,4.82,4.82,4.82,4.82,22910
2020-11-27 07:00:00,4.82,4.82,4.82,4.82,2000
2020-11-30 07:00:00,4.75,5.05,4.67,4.98,29100
2020-12-01 07:00:00,4.98,4.98,4.98,4.98,100
2020-12-02 07:00:00,5.05,5.05,4.98,4.98,3590
2020-12-03 07:00:00,4.9,4.98,4.9,4.9,19300
2020-12-04 07:00:00,4.9,5.51,4.9,4.98,27400
2020-12-07 07:00:00,4.98,4.98,4.98,4.98,19500
2020-12-08 07:00:00,4.98,5.05,4.9,5.05,20500
2020-12-09 07:00:00,4.98,5.05,4.98,5.05,39500
2020-12-10 07:00:00,5.05,5.05,4.9,4.98,38300
