time,open,high,low,close,volume
2018-08-09 07:00:00,11.99,11.99,11.31,11.31,1122225
2018-08-10 07:00:00,11.31,11.45,11.18,11.31,807134
2018-08-13 07:00:00,11.31,11.31,11.11,11.25,1317662
2018-08-14 07:00:00,11.25,11.92,11.25,11.86,1887781
2018-08-15 07:00:00,11.86,12.19,11.58,11.58,1219929
2018-08-16 07:00:00,11.45,11.65,11.38,11.45,727220
2018-08-17 07:00:00,11.45,11.58,11.18,11.18,1804176
2018-08-20 07:00:00,11.38,11.38,11.04,11.04,1015462
2018-08-21 07:00:00,11.04,11.31,11.04,11.25,949623
2018-08-22 07:00:00,11.25,11.65,11.25,11.45,1846620
2018-08-23 07:00:00,11.52,11.79,11.52,11.65,1244846
2018-08-24 07:00:00,11.52,11.79,11.52,11.72,1094621
2018-08-27 07:00:00,11.79,12.4,11.72,12.13,4381412
2018-08-28 07:00:00,12.13,12.33,12.06,12.19,2117707
2018-08-29 07:00:00,12.26,12.8,12.06,12.67,2866789
2018-08-30 07:00:00,12.67,12.87,12.46,12.8,1860589
2018-08-31 07:00:00,12.94,12.94,12.6,12.67,2216108
2018-09-04 07:00:00,12.6,12.74,12.4,12.4,2440590
2018-09-05 07:00:00,12.53,12.87,12.26,12.46,3443878
2018-09-06 07:00:00,12.53,13.14,12.46,12.8,3241120
2018-09-07 07:00:00,12.87,13.08,12.67,12.8,1916400
2018-09-10 07:00:00,12.8,12.8,12.46,12.46,1365320
2018-09-11 07:00:00,12.46,12.53,12.33,12.46,1365440
2018-09-12 07:00:00,12.53,12.67,12.4,12.4,1025881
2018-09-13 07:00:00,12.46,12.8,12.33,12.6,2202360
2018-09-14 07:00:00,12.67,12.8,12.6,12.67,1056250
2018-09-17 07:00:00,12.74,12.74,12.4,12.4,1235040
2018-09-18 07:00:00,12.4,12.74,12.33,12.67,1186840
2018-09-19 07:00:00,12.74,13.08,12.74,12.8,3697398
2018-09-20 07:00:00,13.01,13.01,12.8,12.94,1409770
2018-09-21 07:00:00,12.94,13.01,12.67,12.87,1672880
2018-09-24 07:00:00,12.87,13.01,12.74,12.74,1121821
2018-09-25 07:00:00,12.8,13.14,12.6,12.94,2829098
2018-09-26 07:00:00,12.94,13.41,12.87,13.21,3560579
2018-09-27 07:00:00,13.28,13.41,13.14,13.21,1720758
2018-09-28 07:00:00,13.21,13.35,12.94,12.94,1981840
2018-10-01 07:00:00,12.87,13.01,12.6,12.6,2261463
2018-10-02 07:00:00,12.6,12.67,12.46,12.46,1339430
2018-10-03 07:00:00,12.53,12.6,12.4,12.46,1865780
2018-10-04 07:00:00,12.46,12.74,12.46,12.74,1453530
2018-10-05 07:00:00,12.53,12.74,12.46,12.46,867834
2018-10-08 07:00:00,12.46,12.67,12.33,12.6,1045320
2018-10-09 07:00:00,12.6,12.67,12.4,12.46,935275
2018-10-10 07:00:00,12.46,12.6,12.33,12.33,792740
2018-10-11 07:00:00,12.19,12.33,11.18,11.25,4384880
2018-10-12 07:00:00,11.25,11.65,11.11,11.52,1775530
2018-10-15 07:00:00,11.58,11.65,11.25,11.25,997550
2018-10-16 07:00:00,11.18,11.52,11.18,11.38,752265
2018-10-17 07:00:00,11.72,11.72,11.38,11.52,1237050
2018-10-18 07:00:00,11.45,11.58,11.31,11.38,834690
2018-10-19 07:00:00,11.25,11.38,11.11,11.38,1232800
2018-10-22 07:00:00,11.45,11.45,11.18,11.18,743420
2018-10-23 07:00:00,11.25,11.25,10.7,10.77,1767260
2018-10-24 07:00:00,10.77,10.98,10.64,10.64,1082995
2018-10-25 07:00:00,10.5,10.64,10.03,10.5,2213555
2018-10-26 07:00:00,10.64,10.7,10.16,10.16,1084570
2018-10-29 07:00:00,10.16,10.3,10.03,10.23,1005777
2018-10-30 07:00:00,10.09,10.5,10.09,10.3,910563
2018-10-31 07:00:00,10.3,10.64,10.3,10.57,944450
2018-11-01 07:00:00,10.7,10.7,10.23,10.23,1298720
2018-11-02 07:00:00,10.23,10.64,10.23,10.57,1043035
2018-11-05 07:00:00,10.64,11.11,10.57,11.04,1775096
2018-11-06 07:00:00,11.18,11.18,10.77,10.84,852518
2018-11-07 07:00:00,10.98,11.11,10.77,10.91,1337542
2018-11-08 07:00:00,11.11,11.25,10.84,10.84,1103610
