time,open,high,low,close,volume
2018-09-25 07:00:00,20.81,20.81,15.85,20.81,1816800
2018-09-26 07:00:00,23.68,23.68,23.58,23.68,214200
2018-09-27 07:00:00,27.15,27.15,27.15,27.15,388100
2018-09-28 07:00:00,31.21,31.21,27.15,27.94,2111074
2018-10-01 07:00:00,29.23,29.33,25.56,26.55,831097
2018-10-02 07:00:00,26.85,27.05,25.66,25.76,596270
2018-10-03 07:00:00,25.96,25.96,22.79,23.28,705230
2018-10-04 07:00:00,23.68,23.68,22.69,23.38,408223
2018-10-05 07:00:00,23.28,25.76,23.28,25.26,349732
2018-10-08 07:00:00,25.26,25.26,24.47,24.57,189270
2018-10-09 07:00:00,24.57,24.57,23.68,24.17,205130
2018-10-10 07:00:00,23.98,24.08,23.18,23.28,251141
2018-10-11 07:00:00,22.79,23.08,20.81,21.2,398300
2018-10-12 07:00:00,21.2,22.89,19.91,22.79,264470
2018-10-15 07:00:00,22.99,23.68,21.9,22.49,202370
2018-10-16 07:00:00,22.49,22.59,22.19,22.59,105510
2018-10-17 07:00:00,22.59,22.99,22.29,22.49,148250
2018-10-18 07:00:00,21.3,22.49,20.81,22.19,98760
2018-10-19 07:00:00,21.8,21.8,20.91,21.7,159900
2018-10-22 07:00:00,21.3,22.29,21.3,21.3,117500
2018-10-23 07:00:00,21.6,21.6,20.81,21.0,176449
2018-10-24 07:00:00,21.0,21.0,19.91,20.01,177975
2018-10-25 07:00:00,19.82,19.82,18.33,19.02,282110
2018-10-26 07:00:00,19.32,19.82,18.82,18.92,131400
2018-10-29 07:00:00,18.73,19.02,18.73,18.82,162710
2018-10-30 07:00:00,18.82,18.82,18.63,18.63,104760
2018-10-31 07:00:00,18.73,18.73,17.93,17.93,219250
2018-11-01 07:00:00,17.93,18.23,17.04,17.14,208400
2018-11-02 07:00:00,16.94,17.04,16.45,16.94,221210
2018-11-05 07:00:00,16.84,18.23,16.64,17.83,161530
2018-11-06 07:00:00,17.83,18.53,17.83,17.93,84670
2018-11-07 07:00:00,17.93,17.93,17.24,17.83,75300
2018-11-08 07:00:00,17.93,18.23,17.44,17.73,85030
2018-11-09 07:00:00,17.73,17.83,17.54,17.54,77246
2018-11-12 07:00:00,16.94,17.44,16.94,17.24,75210
2018-11-13 07:00:00,16.94,17.04,16.55,16.84,101368
2018-11-14 07:00:00,16.64,16.84,16.45,16.74,51440
2018-11-15 07:00:00,16.74,17.24,16.35,16.45,90642
2018-11-16 07:00:00,16.74,17.04,16.64,17.04,102124
2018-11-19 07:00:00,17.04,17.14,16.84,16.84,19385
2018-11-20 07:00:00,17.04,17.04,16.74,16.84,54323
2018-11-21 07:00:00,16.74,16.84,16.45,16.55,93122
2018-11-22 07:00:00,16.55,16.74,16.55,16.64,72120
2018-11-23 07:00:00,16.45,16.64,16.45,16.64,45830
2018-11-26 07:00:00,16.74,16.74,16.45,16.64,67000
2018-11-27 07:00:00,16.55,16.55,16.35,16.45,115200
2018-11-28 07:00:00,16.45,16.45,16.25,16.25,47410
2018-11-29 07:00:00,16.25,16.45,15.95,15.95,79900
2018-11-30 07:00:00,16.05,16.05,15.65,15.85,116840
2018-12-03 07:00:00,15.75,15.95,15.56,15.65,145590
2018-12-04 07:00:00,15.65,15.75,15.56,15.75,104300
2018-12-05 07:00:00,15.65,15.85,15.65,15.75,85400
2018-12-06 07:00:00,15.65,15.75,15.56,15.75,67300
2018-12-07 07:00:00,15.75,15.85,15.65,15.75,37550
2018-12-10 07:00:00,15.75,15.75,15.46,15.46,57400
2018-12-11 07:00:00,15.46,15.56,15.36,15.36,78904
2018-12-12 07:00:00,15.46,15.46,15.26,15.36,77920
2018-12-13 07:00:00,15.36,15.56,15.26,15.36,54150
2018-12-14 07:00:00,15.36,15.36,15.26,15.26,38335
2018-12-17 07:00:00,15.16,15.16,14.76,14.86,115280
2018-12-18 07:00:00,14.76,14.76,13.18,13.77,142540
2018-12-19 07:00:00,13.87,14.76,13.57,13.87,42520
2018-12-20 07:00:00,13.87,14.07,13.57,13.67,41290
2018-12-21 07:00:00,13.38,13.38,12.38,12.78,225461
2018-12-24 07:00:00,12.68,12.68,12.29,12.29,68960
2018-12-25 07:00:00,12.19,12.19,11.2,11.89,220000
2018-12-26 07:00:00,11.89,12.38,11.59,12.19,123300
2018-12-27 07:00:00,12.48,13.67,12.48,13.67,229200
2018-12-28 07:00:00,14.17,14.37,12.98,13.28,52450
2019-01-02 07:00:00,13.08,13.87,12.98,13.08,60562
2019-01-03 07:00:00,13.18,13.28,12.68,12.88,74900
2019-01-04 07:00:00,12.58,12.88,12.48,12.48,60451
2019-01-07 07:00:00,12.58,13.28,12.29,12.88,65700
2019-01-08 07:00:00,12.88,13.38,12.88,12.98,42260
2019-01-09 07:00:00,12.88,13.38,12.88,13.18,84641
2019-01-10 07:00:00,12.88,13.67,12.88,13.38,70505
2019-01-11 07:00:00,13.87,14.27,13.38,14.17,124900
2019-01-14 07:00:00,13.97,15.56,13.87,15.46,284076
2019-01-15 07:00:00,15.46,16.35,15.46,15.85,216673
2019-01-16 07:00:00,15.85,16.45,14.96,15.56,188549
2019-01-17 07:00:00,15.56,15.75,13.47,15.16,113550
2019-01-18 07:00:00,15.16,15.36,14.96,15.16,123997
2019-01-21 07:00:00,15.16,15.16,13.97,14.17,97363
2019-01-22 07:00:00,14.66,14.66,13.97,14.56,93070
2019-01-23 07:00:00,14.07,15.85,14.07,15.06,124905
2019-01-24 07:00:00,15.06,15.56,12.98,14.96,47020
2019-01-25 07:00:00,15.26,15.26,14.86,14.86,68729
2019-01-28 07:00:00,14.86,14.96,14.56,14.66,65045
2019-01-29 07:00:00,14.56,14.86,14.47,14.66,37420
2019-01-30 07:00:00,14.56,15.06,14.47,15.06,58010
2019-01-31 07:00:00,14.96,15.36,14.96,15.26,59729
2019-02-01 07:00:00,15.06,16.45,14.86,16.15,372466
2019-02-11 07:00:00,16.35,17.04,16.35,16.84,278917
2019-02-12 07:00:00,16.84,16.84,16.15,16.45,190780
2019-02-13 07:00:00,16.45,18.13,16.45,17.93,584780
2019-02-14 07:00:00,17.83,18.63,17.83,18.53,348125
2019-02-15 07:00:00,18.53,18.63,17.54,18.13,197560
2019-02-18 07:00:00,18.33,19.82,18.33,19.22,641770
2019-02-19 07:00:00,19.22,19.52,18.43,18.73,330035
2019-02-20 07:00:00,18.82,18.92,18.23,18.73,244976
2019-02-21 07:00:00,18.53,19.22,18.33,18.82,439443
2019-02-22 07:00:00,18.82,19.02,18.63,18.82,236675
2019-02-25 07:00:00,18.82,18.92,18.23,18.43,238725
2019-02-26 07:00:00,18.33,18.43,17.54,17.83,364845
2019-02-27 07:00:00,17.93,18.73,17.93,18.23,174130
2019-02-28 07:00:00,18.82,19.42,18.63,18.82,444292
2019-03-01 07:00:00,18.92,21.7,18.53,21.7,1469960
2019-03-04 07:00:00,21.8,23.58,21.8,22.79,643318
2019-03-05 07:00:00,22.99,22.99,21.3,21.8,496660
2019-03-06 07:00:00,21.5,21.6,20.71,21.4,792655
2019-03-07 07:00:00,21.1,22.19,21.1,21.7,508113
2019-03-08 07:00:00,21.8,23.08,21.5,23.08,764580
2019-03-11 07:00:00,22.79,23.78,22.69,23.18,695448
2019-03-12 07:00:00,22.99,23.38,22.59,23.08,460973
2019-03-13 07:00:00,23.08,23.08,22.39,22.69,512940
2019-03-14 07:00:00,22.69,24.57,22.59,24.47,1324625
2019-03-15 07:00:00,24.57,25.56,24.27,25.17,654980
2019-03-18 07:00:00,25.26,27.74,25.17,27.35,995911
2019-03-19 07:00:00,27.35,27.64,23.88,25.17,1588870
2019-03-20 07:00:00,25.26,25.76,24.47,25.66,840211
2019-03-21 07:00:00,25.46,26.65,25.26,25.76,471385
2019-03-22 07:00:00,25.56,25.76,24.27,25.17,561410
2019-03-25 07:00:00,24.77,24.77,21.2,22.39,1279860
2019-03-26 07:00:00,23.28,23.78,21.0,21.7,743097
2019-03-27 07:00:00,22.19,23.78,22.19,23.48,398910
2019-03-28 07:00:00,23.48,23.48,22.39,22.69,350550
2019-03-29 07:00:00,22.79,24.27,22.59,23.28,570233
2019-04-01 07:00:00,23.38,25.66,23.38,24.67,691691
2019-04-02 07:00:00,24.77,25.07,23.88,24.27,383677
2019-04-03 07:00:00,23.78,25.17,23.58,24.77,674310
2019-04-04 07:00:00,24.77,25.56,24.57,24.97,410964
2019-04-05 07:00:00,24.77,25.07,24.57,24.77,207942
2019-04-08 07:00:00,24.77,25.26,24.17,24.57,334030
2019-04-09 07:00:00,24.77,24.87,23.78,23.88,377035
2019-04-10 07:00:00,23.78,24.27,23.18,23.68,463541
2019-04-11 07:00:00,23.78,24.08,23.38,23.78,222328
2019-04-12 07:00:00,23.78,23.98,23.38,23.48,247213
2019-04-16 07:00:00,23.58,23.58,22.59,23.18,318649
2019-04-17 07:00:00,23.58,23.68,22.69,22.79,288133
2019-04-18 07:00:00,22.79,24.77,21.9,22.09,360646
2019-04-19 07:00:00,22.09,22.99,21.9,22.29,151750
2019-04-22 07:00:00,22.79,22.79,21.8,21.9,202920
2019-04-23 07:00:00,21.9,22.09,21.1,21.5,389560
2019-04-24 07:00:00,21.8,22.19,21.5,21.99,160506
2019-04-25 07:00:00,22.09,23.58,21.8,23.08,340265
2019-04-26 07:00:00,22.99,23.38,22.69,23.18,399900
2019-05-02 07:00:00,22.89,23.08,22.59,22.59,142590
2019-05-03 07:00:00,22.79,22.79,22.09,22.29,178030
2019-05-06 07:00:00,22.39,22.59,21.7,21.7,337100
2019-05-07 07:00:00,21.8,22.39,21.8,22.39,169620
2019-05-08 07:00:00,22.59,23.98,22.09,23.88,989539
2019-05-09 07:00:00,23.78,24.67,23.68,23.88,627992
2019-05-10 07:00:00,23.88,24.08,23.38,23.78,376409
2019-05-13 07:00:00,23.68,25.26,23.68,24.97,890131
2019-05-14 07:00:00,24.77,25.66,24.27,25.46,688607
2019-05-15 07:00:00,25.46,26.06,25.07,25.46,695329
2019-05-16 07:00:00,25.56,25.66,24.87,24.97,468746
2019-05-17 07:00:00,25.07,25.66,24.97,24.97,390876
2019-05-20 07:00:00,25.17,25.26,24.47,25.07,660092
2019-05-21 07:00:00,24.87,26.95,24.87,26.26,1308001
2019-05-22 07:00:00,26.26,26.45,25.96,26.06,325745
2019-05-23 07:00:00,25.86,26.26,25.56,26.26,589081
2019-05-24 07:00:00,26.26,27.44,26.26,26.65,1255177
2019-05-27 07:00:00,26.75,28.14,26.35,27.74,837225
2019-05-28 07:00:00,27.74,29.23,27.74,28.93,1437113
2019-05-29 07:00:00,28.93,29.62,27.44,27.54,1805194
2019-05-30 07:00:00,26.95,27.84,26.75,26.95,966648
2019-05-31 07:00:00,26.75,27.05,25.56,25.96,1125293
2019-06-03 07:00:00,25.76,27.05,25.26,26.35,571162
2019-06-04 07:00:00,26.06,26.95,26.06,26.45,352617
2019-06-05 07:00:00,26.65,27.15,26.26,26.35,360985
2019-06-06 07:00:00,26.26,27.15,26.16,26.75,364351
2019-06-07 07:00:00,26.75,27.94,26.55,27.84,1055550
2019-06-10 07:00:00,27.84,28.43,27.44,27.54,495611
2019-06-11 07:00:00,27.44,28.04,27.35,27.64,446253
2019-06-12 07:00:00,27.74,27.74,26.65,26.95,800938
2019-06-13 07:00:00,26.75,27.25,26.55,27.15,464621
2019-06-14 07:00:00,27.54,27.64,26.85,27.15,240360
2019-06-17 07:00:00,27.15,28.14,27.15,27.94,631330
2019-06-18 07:00:00,27.74,28.63,27.74,28.43,841345
2019-06-19 07:00:00,28.63,28.93,28.14,28.24,360326
2019-06-20 07:00:00,28.24,28.73,27.54,27.74,796424
2019-06-21 07:00:00,27.74,28.04,27.35,27.74,624915
2019-06-24 07:00:00,27.44,28.24,27.44,27.64,353692
2019-06-25 07:00:00,27.74,27.94,27.44,27.64,248333
2019-06-26 07:00:00,27.44,28.53,27.25,28.04,441955
2019-06-27 07:00:00,28.04,28.04,27.44,27.64,265351
2019-06-28 07:00:00,27.54,27.64,26.35,26.95,785193
2019-07-01 07:00:00,27.15,27.64,26.06,26.65,1071222
2019-07-02 07:00:00,26.65,27.15,26.55,26.75,283140
2019-07-03 07:00:00,26.75,26.85,26.26,26.26,346000
2019-07-04 07:00:00,26.26,27.15,26.16,27.05,634499
2019-07-05 07:00:00,27.15,27.35,26.85,27.15,283910
2019-07-08 07:00:00,26.75,27.25,26.55,26.75,203920
2019-07-09 07:00:00,26.75,27.64,26.75,27.54,839310
2019-07-10 07:00:00,27.35,28.14,27.35,27.94,646329
2019-07-11 07:00:00,28.14,28.14,27.54,27.54,491356
2019-07-12 07:00:00,27.74,27.74,27.35,27.54,464462
2019-07-15 07:00:00,27.44,29.33,27.35,29.23,1985124
2019-07-16 07:00:00,28.83,29.72,28.83,29.03,502474
2019-07-17 07:00:00,29.13,29.23,28.83,29.03,521975
2019-07-18 07:00:00,28.93,30.42,28.83,30.32,1726341
2019-07-19 07:00:00,30.52,31.11,27.74,28.14,2357317
2019-07-22 07:00:00,28.73,29.33,28.14,29.23,845877
2019-07-23 07:00:00,29.03,29.62,28.73,29.13,613881
2019-07-24 07:00:00,29.03,30.52,28.93,30.42,1306537
2019-07-25 07:00:00,30.52,31.7,29.62,30.52,1535292
2019-07-26 07:00:00,30.71,31.21,29.92,30.81,674919
2019-07-29 07:00:00,30.52,31.51,30.42,31.11,595089
2019-07-30 07:00:00,31.11,31.11,29.82,29.92,855187
2019-07-31 07:00:00,29.92,29.92,28.93,29.62,553541
2019-08-01 07:00:00,29.43,30.52,29.33,30.12,473429
2019-08-02 07:00:00,30.12,33.59,29.72,32.79,2078472
2019-08-05 07:00:00,32.79,36.36,32.4,36.16,1758455
2019-08-06 07:00:00,35.67,39.33,33.49,36.16,2662360
2019-08-07 07:00:00,33.69,36.16,33.69,34.48,1399815
2019-08-08 07:00:00,34.38,36.96,34.38,35.27,810888
2019-08-09 07:00:00,35.57,36.36,34.78,34.78,657050
2019-08-12 07:00:00,35.07,35.57,34.48,34.78,627930
2019-08-13 07:00:00,34.87,34.87,32.4,33.39,1401746
2019-08-14 07:00:00,33.29,35.27,33.29,33.98,399588
2019-08-15 07:00:00,34.18,36.86,32.79,36.66,1251421
2019-08-16 07:00:00,36.16,37.45,36.16,36.56,1031843
2019-08-19 07:00:00,36.16,37.15,36.16,36.56,373078
2019-08-20 07:00:00,36.66,37.25,35.96,36.76,786982
2019-08-21 07:00:00,36.76,36.96,35.57,35.87,991248
2019-08-22 07:00:00,36.06,38.05,35.67,37.25,973897
2019-08-23 07:00:00,37.25,37.85,36.96,37.35,417963
2019-08-26 07:00:00,36.16,37.35,36.16,36.96,424232
2019-08-27 07:00:00,37.05,37.95,36.76,36.96,668374
2019-08-28 07:00:00,36.96,37.35,36.26,36.36,537818
2019-08-29 07:00:00,36.36,36.36,35.57,35.77,589621
2019-08-30 07:00:00,35.77,36.36,35.17,35.57,443426
2019-09-03 07:00:00,35.67,35.96,33.88,33.98,713589
2019-09-04 07:00:00,33.88,34.28,29.82,33.29,1140830
2019-09-05 07:00:00,32.89,34.08,28.73,32.7,346474
2019-09-06 07:00:00,33.19,33.19,31.7,32.0,404030
2019-09-09 07:00:00,31.7,31.7,29.52,30.02,772187
2019-09-10 07:00:00,30.02,30.42,27.44,27.94,1075665
2019-09-11 07:00:00,27.74,32.1,24.37,31.61,810140
2019-09-12 07:00:00,31.21,32.6,31.21,31.7,409150
2019-09-13 07:00:00,32.0,32.0,30.91,31.11,361409
