time,open,high,low,close,volume
2018-08-09 07:00:00,23.85,24.27,22.69,22.69,193360
2018-08-10 07:00:00,22.69,22.89,22.2,22.73,101580
2018-08-13 07:00:00,22.69,23.48,22.69,23.25,64220
2018-08-14 07:00:00,23.55,23.55,22.86,23.25,111520
2018-08-15 07:00:00,23.25,24.47,23.25,23.68,107580
2018-08-16 07:00:00,23.68,24.44,23.42,24.11,100380
2018-08-17 07:00:00,24.11,25.0,24.11,24.21,113260
2018-08-20 07:00:00,24.17,24.93,24.17,24.93,64840
2018-08-21 07:00:00,25.0,25.29,24.67,25.16,36590
2018-08-22 07:00:00,25.16,25.16,24.04,24.04,131460
2018-08-23 07:00:00,23.85,24.5,23.55,24.5,76190
2018-08-24 07:00:00,24.47,24.47,23.68,24.17,52690
2018-08-27 07:00:00,24.04,24.17,23.55,23.91,67410
2018-08-28 07:00:00,23.71,23.81,23.52,23.55,66620
2018-08-29 07:00:00,23.52,24.01,23.42,24.01,47900
2018-08-30 07:00:00,23.85,25.33,23.85,25.33,188680
2018-08-31 07:00:00,25.33,25.82,25.0,25.33,307280
2018-09-04 07:00:00,25.29,26.31,24.73,25.98,109240
2018-09-05 07:00:00,26.31,27.0,26.02,26.08,108720
2018-09-06 07:00:00,26.48,27.1,26.31,26.97,104560
2018-09-07 07:00:00,26.97,27.5,26.08,26.74,118960
2018-09-10 07:00:00,26.74,27.13,26.44,26.87,53010
2018-09-11 07:00:00,26.94,26.94,26.57,26.57,65780
2018-09-12 07:00:00,26.64,27.99,26.64,27.92,285360
2018-09-13 07:00:00,27.96,28.35,27.63,27.92,69530
2018-09-14 07:00:00,27.92,28.94,27.63,28.29,175290
2018-09-17 07:00:00,28.98,29.93,28.98,29.6,273120
2018-09-18 07:00:00,29.6,29.73,28.78,29.6,139180
2018-09-19 07:00:00,29.6,29.7,29.01,29.6,64050
2018-09-20 07:00:00,29.27,30.65,29.27,30.59,116680
2018-09-21 07:00:00,30.88,31.71,29.27,30.75,207860
2018-09-24 07:00:00,30.75,31.25,30.26,30.32,148290
2018-09-25 07:00:00,30.32,31.84,30.29,31.57,172550
2018-09-26 07:00:00,32.07,32.33,31.57,31.74,364580
2018-09-27 07:00:00,31.57,32.23,31.57,31.9,165950
2018-09-28 07:00:00,32.43,32.43,31.25,31.28,305460
2018-10-01 07:00:00,31.25,31.25,29.93,30.26,376900
2018-10-02 07:00:00,29.67,30.59,29.67,30.59,127210
2018-10-03 07:00:00,30.26,31.08,30.26,31.05,66970
2018-10-04 07:00:00,30.92,31.74,30.92,31.41,116920
2018-10-05 07:00:00,30.98,31.38,30.29,30.29,161710
2018-10-08 07:00:00,30.75,30.75,29.7,30.29,190100
2018-10-09 07:00:00,30.0,30.59,30.0,30.39,77940
2018-10-10 07:00:00,30.39,31.02,30.39,30.75,86820
2018-10-11 07:00:00,29.6,29.6,28.61,28.61,523010
2018-10-12 07:00:00,28.02,29.6,27.66,29.17,354460
2018-10-15 07:00:00,29.17,29.21,28.29,28.94,151580
2018-10-16 07:00:00,29.24,29.67,28.52,29.6,100660
2018-10-17 07:00:00,29.93,30.49,29.47,29.54,112100
2018-10-18 07:00:00,29.07,30.23,29.07,29.5,67240
2018-10-19 07:00:00,28.94,30.85,28.94,30.85,283210
2018-10-22 07:00:00,30.85,32.99,30.85,32.99,465490
2018-10-23 07:00:00,34.53,34.53,32.89,33.22,495200
2018-10-24 07:00:00,33.22,33.55,31.57,32.56,213500
2018-10-25 07:00:00,31.21,31.9,30.59,31.74,394760
2018-10-26 07:00:00,32.3,32.53,30.49,30.69,222000
2018-10-29 07:00:00,30.69,31.41,30.59,30.85,201180
2018-10-30 07:00:00,30.85,31.08,29.57,29.6,271000
2018-10-31 07:00:00,30.23,31.28,30.06,30.92,310530
2018-11-01 07:00:00,31.21,31.21,29.9,29.93,226100
2018-11-02 07:00:00,29.93,31.28,29.93,31.18,359930
