time,open,high,low,close,volume
2018-08-09 07:00:00,3.45,3.5,3.42,3.44,65537
2018-08-10 07:00:00,3.46,3.46,3.39,3.45,48130
2018-08-13 07:00:00,3.42,3.52,3.4,3.51,316830
2018-08-14 07:00:00,3.49,3.6,3.48,3.54,312454
2018-08-15 07:00:00,3.55,3.74,3.55,3.56,325463
2018-08-16 07:00:00,3.55,3.58,3.48,3.56,282780
2018-08-17 07:00:00,3.55,3.66,3.54,3.6,308447
2018-08-20 07:00:00,3.6,3.74,3.6,3.66,201856
2018-08-21 07:00:00,3.66,3.66,3.6,3.61,187478
2018-08-22 07:00:00,3.64,3.66,3.59,3.63,148473
2018-08-23 07:00:00,3.59,3.61,3.55,3.6,79536
2018-08-24 07:00:00,3.58,3.59,3.49,3.56,215500
2018-08-27 07:00:00,3.52,3.63,3.52,3.54,256327
2018-08-28 07:00:00,3.55,3.55,3.44,3.46,311046
2018-08-29 07:00:00,3.48,3.49,3.45,3.46,150166
2018-08-30 07:00:00,3.46,3.48,3.44,3.48,131330
2018-08-31 07:00:00,3.48,3.5,3.46,3.5,134172
2018-09-04 07:00:00,3.46,3.48,3.36,3.36,161706
2018-09-05 07:00:00,3.39,3.41,3.28,3.28,194858
2018-09-06 07:00:00,3.26,3.32,3.24,3.3,160024
2018-09-07 07:00:00,3.25,3.38,3.25,3.36,141564
2018-09-10 07:00:00,3.35,3.36,3.34,3.35,75950
2018-09-11 07:00:00,3.35,3.44,3.35,3.44,159062
2018-09-12 07:00:00,3.42,3.46,3.42,3.45,110337
2018-09-13 07:00:00,3.45,3.46,3.39,3.44,84362
2018-09-14 07:00:00,3.44,3.46,3.42,3.46,80439
2018-09-17 07:00:00,3.45,3.46,3.44,3.45,214360
2018-09-18 07:00:00,3.42,3.44,3.4,3.41,82001
2018-09-19 07:00:00,3.41,3.49,3.41,3.45,124830
2018-09-20 07:00:00,3.45,3.5,3.45,3.5,65009
2018-09-21 07:00:00,3.46,3.59,3.46,3.59,394745
2018-09-24 07:00:00,3.63,3.66,3.56,3.66,294120
2018-09-25 07:00:00,3.64,3.66,3.63,3.64,82285
2018-09-26 07:00:00,3.56,3.66,3.56,3.64,154326
2018-09-27 07:00:00,3.64,3.66,3.61,3.63,193540
2018-09-28 07:00:00,3.63,3.71,3.59,3.7,245696
2018-10-01 07:00:00,3.68,3.79,3.68,3.71,299675
2018-10-02 07:00:00,3.71,3.75,3.69,3.7,145154
2018-10-03 07:00:00,3.71,3.71,3.64,3.66,148574
2018-10-04 07:00:00,3.64,3.7,3.64,3.69,157062
2018-10-05 07:00:00,3.69,3.69,3.63,3.64,232935
2018-10-08 07:00:00,3.68,3.7,3.59,3.61,96360
2018-10-09 07:00:00,3.59,3.64,3.59,3.61,95550
2018-10-10 07:00:00,3.6,3.75,3.58,3.64,133675
2018-10-11 07:00:00,3.59,3.59,3.2,3.4,355890
2018-10-12 07:00:00,3.35,3.5,3.26,3.46,181585
2018-10-15 07:00:00,3.42,3.49,3.41,3.42,97020
2018-10-16 07:00:00,3.44,3.5,3.44,3.45,44371
2018-10-17 07:00:00,3.46,3.51,3.44,3.46,117118
2018-10-18 07:00:00,3.46,3.48,3.42,3.46,38940
2018-10-19 07:00:00,3.45,3.49,3.39,3.49,133103
2018-10-22 07:00:00,3.48,3.51,3.46,3.46,165925
2018-10-23 07:00:00,3.46,3.46,3.38,3.44,114162
2018-10-24 07:00:00,3.41,3.45,3.34,3.34,98910
2018-10-25 07:00:00,3.32,3.32,3.2,3.31,191387
2018-10-26 07:00:00,3.31,3.32,3.25,3.26,151443
2018-10-29 07:00:00,3.27,3.34,3.27,3.27,71305
2018-10-30 07:00:00,3.27,3.38,3.27,3.35,37830
2018-10-31 07:00:00,3.34,3.45,3.34,3.4,37810
2018-11-01 07:00:00,3.4,3.41,3.34,3.34,28450
2018-11-02 07:00:00,3.38,3.4,3.32,3.38,33570
2018-11-05 07:00:00,3.38,3.38,3.27,3.27,128500
2018-11-06 07:00:00,3.35,3.35,3.29,3.3,71090
2018-11-07 07:00:00,3.36,3.41,3.36,3.4,69325
2018-11-08 07:00:00,3.45,3.56,3.45,3.54,289879
2018-11-09 07:00:00,3.56,3.59,3.45,3.45,186775
2018-11-12 07:00:00,3.46,3.52,3.41,3.51,110900
2018-11-13 07:00:00,3.5,3.51,3.44,3.44,139469
2018-11-14 07:00:00,3.46,3.49,3.45,3.47,177325
2018-11-15 07:00:00,3.46,3.49,3.44,3.45,329305
2018-11-16 07:00:00,3.47,3.71,3.47,3.56,218161
2018-11-19 07:00:00,3.62,3.62,3.58,3.6,121564
2018-11-20 07:00:00,3.6,3.62,3.53,3.55,87110
2018-11-21 07:00:00,3.53,3.53,3.44,3.49,55840
2018-11-22 07:00:00,3.49,3.53,3.49,3.49,106280
2018-11-23 07:00:00,3.49,3.49,3.44,3.46,82770
2018-11-26 07:00:00,3.47,3.47,3.4,3.44,26507
2018-11-27 07:00:00,3.46,3.46,3.4,3.44,62468
2018-11-28 07:00:00,3.44,3.44,3.38,3.38,68204
2018-11-29 07:00:00,3.42,3.51,3.4,3.44,312382
2018-11-30 07:00:00,3.46,3.46,3.38,3.38,141238
2018-12-03 07:00:00,3.44,3.55,3.44,3.51,309658
2018-12-04 07:00:00,3.51,3.58,3.51,3.56,308347
2018-12-05 07:00:00,3.51,3.56,3.49,3.56,209600
2018-12-06 07:00:00,3.53,3.56,3.51,3.53,222209
2018-12-07 07:00:00,3.53,3.56,3.53,3.56,133635
2018-12-10 07:00:00,3.55,3.56,3.47,3.51,110418
2018-12-11 07:00:00,3.51,3.55,3.49,3.53,96690
2018-12-12 07:00:00,3.53,3.55,3.51,3.53,180370
2018-12-13 07:00:00,3.53,3.56,3.51,3.56,222617
2018-12-14 07:00:00,3.55,3.55,3.47,3.47,135890
2018-12-17 07:00:00,3.49,3.49,3.35,3.38,214850
2018-12-18 07:00:00,3.35,3.35,3.24,3.31,391730
2018-12-19 07:00:00,3.31,3.31,3.26,3.31,72615
2018-12-20 07:00:00,3.28,3.38,3.28,3.38,60650
2018-12-21 07:00:00,3.38,3.38,3.29,3.35,155198
2018-12-24 07:00:00,3.33,3.35,3.31,3.31,80306
2018-12-25 07:00:00,3.29,3.31,3.2,3.26,243521
2018-12-26 07:00:00,3.26,3.26,3.22,3.22,134000
2018-12-27 07:00:00,3.28,3.29,3.24,3.24,142186
2018-12-28 07:00:00,3.26,3.26,3.17,3.18,159827
2019-01-02 07:00:00,3.26,3.26,3.2,3.22,105940
2019-01-03 07:00:00,3.22,3.24,3.15,3.17,94022
2019-01-04 07:00:00,3.17,3.18,3.17,3.18,90100
2019-01-07 07:00:00,3.18,3.22,3.18,3.2,103010
2019-01-08 07:00:00,3.2,3.24,3.18,3.22,74270
2019-01-09 07:00:00,3.22,3.22,3.17,3.22,179328
2019-01-10 07:00:00,3.22,3.22,3.2,3.2,37260
2019-01-11 07:00:00,3.22,3.22,3.18,3.18,89760
2019-01-14 07:00:00,3.18,3.2,3.17,3.2,186352
2019-01-15 07:00:00,3.18,3.2,3.18,3.18,136947
2019-01-16 07:00:00,3.2,3.2,3.18,3.18,101491
2019-01-17 07:00:00,3.2,3.35,3.2,3.29,266939
2019-01-18 07:00:00,3.28,3.31,3.2,3.24,176810
2019-01-21 07:00:00,3.18,3.29,3.18,3.28,185630
2019-01-22 07:00:00,3.26,3.29,3.24,3.26,103953
2019-01-23 07:00:00,3.22,3.26,3.22,3.24,172040
2019-01-24 07:00:00,3.24,3.26,3.24,3.24,113264
2019-01-25 07:00:00,3.2,3.26,2.77,3.22,279045
2019-01-28 07:00:00,3.22,3.24,3.18,3.18,174757
2019-01-29 07:00:00,3.18,3.46,3.15,3.17,231879
2019-01-30 07:00:00,3.17,3.17,3.11,3.13,236161
2019-01-31 07:00:00,3.15,3.17,3.11,3.13,230369
2019-02-01 07:00:00,3.17,3.2,3.13,3.18,144549
2019-02-11 07:00:00,3.18,3.29,3.18,3.26,301836
2019-02-12 07:00:00,3.28,3.29,2.77,3.24,308075
2019-02-13 07:00:00,3.26,3.26,2.77,3.24,506627
2019-02-14 07:00:00,3.22,3.22,3.17,3.18,386473
2019-02-15 07:00:00,3.2,3.24,3.18,3.22,150918
2019-02-18 07:00:00,3.22,3.31,3.22,3.29,677480
2019-02-19 07:00:00,3.28,3.4,3.28,3.37,1060411
2019-02-20 07:00:00,3.37,3.49,3.35,3.47,745249
2019-02-21 07:00:00,3.47,3.51,3.46,3.49,775756
2019-02-22 07:00:00,3.49,4.0,2.99,3.42,463333
2019-02-25 07:00:00,3.44,3.47,3.42,3.44,277786
2019-02-26 07:00:00,3.46,3.46,3.38,3.42,390529
2019-02-27 07:00:00,3.42,3.42,3.38,3.4,321768
2019-02-28 07:00:00,3.42,3.42,3.31,3.35,444753
2019-03-01 07:00:00,3.35,3.38,3.33,3.37,156538
2019-03-04 07:00:00,3.35,3.47,3.35,3.44,350213
2019-03-05 07:00:00,3.42,3.44,3.4,3.42,253793
2019-03-06 07:00:00,3.4,3.93,3.35,3.47,572720
2019-03-07 07:00:00,3.44,3.53,3.44,3.47,277655
2019-03-08 07:00:00,3.47,3.49,3.42,3.44,183246
2019-03-11 07:00:00,3.44,3.47,3.4,3.46,273818
2019-03-12 07:00:00,3.44,3.53,3.44,3.51,418003
2019-03-13 07:00:00,3.53,3.66,2.99,3.58,933398
2019-03-14 07:00:00,3.6,3.6,3.26,3.56,192011
2019-03-15 07:00:00,3.58,3.58,3.55,3.56,263983
2019-03-18 07:00:00,3.56,3.6,3.55,3.58,371771
2019-03-19 07:00:00,3.56,3.6,3.44,3.53,386251
2019-03-20 07:00:00,3.53,3.53,3.06,3.49,573816
2019-03-21 07:00:00,3.49,3.51,3.42,3.42,293899
2019-03-22 07:00:00,3.44,3.47,3.42,3.47,252828
2019-03-25 07:00:00,3.42,3.44,3.35,3.37,318909
2019-03-26 07:00:00,3.38,3.4,3.35,3.35,242922
2019-03-27 07:00:00,3.38,3.4,3.37,3.38,141493
2019-03-28 07:00:00,3.44,3.46,3.38,3.44,469611
2019-03-29 07:00:00,3.47,3.51,3.44,3.44,513224
2019-04-01 07:00:00,3.47,3.49,3.46,3.47,452844
2019-04-02 07:00:00,3.47,3.51,3.46,3.47,443332
2019-04-03 07:00:00,3.47,3.49,3.46,3.47,265491
2019-04-04 07:00:00,3.47,3.53,3.47,3.51,457424
2019-04-05 07:00:00,3.53,3.53,3.49,3.51,211264
2019-04-08 07:00:00,3.51,3.53,3.49,3.53,438876
2019-04-09 07:00:00,3.53,3.55,3.51,3.51,511346
2019-04-10 07:00:00,3.51,3.51,3.46,3.49,226288
2019-04-11 07:00:00,3.51,3.51,3.47,3.49,118980
2019-04-12 07:00:00,3.46,3.49,3.44,3.47,99642
2019-04-16 07:00:00,3.53,3.53,3.44,3.47,72536
2019-04-17 07:00:00,3.47,3.49,3.46,3.47,237246
2019-04-18 07:00:00,3.47,3.49,3.44,3.44,163524
2019-04-19 07:00:00,3.47,3.47,3.44,3.44,84989
2019-04-22 07:00:00,3.44,3.46,3.4,3.44,167366
2019-04-23 07:00:00,3.42,3.42,3.37,3.4,207300
2019-04-24 07:00:00,3.4,3.44,3.4,3.42,94414
2019-04-25 07:00:00,3.44,3.44,3.42,3.44,80154
2019-04-26 07:00:00,3.44,3.47,3.42,3.44,82970
2019-05-02 07:00:00,3.44,3.44,3.38,3.38,219496
2019-05-03 07:00:00,3.4,3.4,3.35,3.35,211957
2019-05-06 07:00:00,3.37,3.37,3.31,3.33,151526
2019-05-07 07:00:00,3.33,3.33,3.31,3.33,51630
2019-05-08 07:00:00,3.31,3.31,3.24,3.29,225577
2019-05-09 07:00:00,3.29,3.31,3.26,3.28,99942
2019-05-10 07:00:00,3.29,3.31,3.28,3.31,183425
2019-05-13 07:00:00,3.33,3.35,3.31,3.33,182024
2019-05-14 07:00:00,3.33,3.35,3.31,3.35,152325
2019-05-15 07:00:00,3.35,3.38,3.33,3.37,156022
2019-05-16 07:00:00,3.37,3.4,3.37,3.37,138771
2019-05-17 07:00:00,3.37,3.37,3.33,3.37,468972
2019-05-20 07:00:00,3.37,3.37,3.33,3.33,400240
2019-05-21 07:00:00,3.33,3.37,3.31,3.35,497794
2019-05-22 07:00:00,3.35,3.35,3.33,3.35,224419
2019-05-23 07:00:00,3.35,3.35,3.33,3.33,102761
2019-05-24 07:00:00,3.33,3.33,3.29,3.31,229602
2019-05-27 07:00:00,3.31,3.31,3.26,3.29,289414
2019-05-28 07:00:00,3.28,3.28,3.26,3.28,128321
2019-05-29 07:00:00,3.29,3.29,3.26,3.26,188801
2019-05-30 07:00:00,3.26,3.28,3.24,3.26,210412
2019-05-31 07:00:00,3.26,3.29,3.24,3.26,405470
2019-06-03 07:00:00,3.24,3.26,3.2,3.24,260469
2019-06-04 07:00:00,3.24,3.24,3.2,3.24,83629
2019-06-05 07:00:00,3.26,3.35,3.22,3.26,139317
2019-06-06 07:00:00,3.26,3.26,3.18,3.18,186699
2019-06-07 07:00:00,3.18,3.2,3.18,3.2,60241
2019-06-10 07:00:00,3.18,3.2,3.15,3.15,134531
2019-06-11 07:00:00,3.15,3.16,3.09,3.11,398783
2019-06-12 07:00:00,3.11,3.11,3.05,3.07,178783
2019-06-13 07:00:00,3.09,3.09,3.05,3.07,87008
2019-06-14 07:00:00,3.07,3.13,3.05,3.13,114679
2019-06-17 07:00:00,3.11,3.15,3.09,3.13,178756
2019-06-18 07:00:00,3.13,3.13,3.07,3.09,163407
2019-06-19 07:00:00,3.07,3.09,3.05,3.09,118582
2019-06-20 07:00:00,3.05,3.15,3.05,3.13,119527
2019-06-21 07:00:00,3.13,3.15,3.11,3.13,103640
2019-06-24 07:00:00,3.13,3.13,3.09,3.11,176673
2019-06-25 07:00:00,3.09,3.11,3.07,3.09,110470
2019-06-26 07:00:00,3.05,3.13,2.79,3.09,125106
2019-06-27 07:00:00,3.09,3.13,3.05,3.05,346381
2019-06-28 07:00:00,3.05,3.07,3.03,3.07,87010
2019-07-01 07:00:00,3.05,3.11,3.05,3.09,67967
2019-07-02 07:00:00,3.07,3.11,3.07,3.09,117680
2019-07-03 07:00:00,3.07,3.18,3.07,3.18,270347
2019-07-04 07:00:00,3.18,3.3,3.16,3.24,353232
2019-07-05 07:00:00,3.22,3.26,3.18,3.2,120152
2019-07-08 07:00:00,3.18,3.22,3.18,3.2,124671
2019-07-09 07:00:00,3.2,3.2,3.15,3.16,330770
2019-07-10 07:00:00,3.16,3.18,3.15,3.16,142730
2019-07-11 07:00:00,3.16,3.18,3.15,3.18,123100
2019-07-12 07:00:00,3.18,3.33,3.18,3.32,932279
2019-07-15 07:00:00,3.28,3.46,3.28,3.43,1343285
2019-07-16 07:00:00,3.43,3.52,3.43,3.46,698955
2019-07-17 07:00:00,3.45,3.48,3.41,3.43,693465
2019-07-18 07:00:00,3.41,3.54,3.41,3.52,816850
2019-07-19 07:00:00,3.48,3.54,3.48,3.52,403092
2019-07-22 07:00:00,3.52,3.54,3.43,3.48,416059
2019-07-23 07:00:00,3.48,3.5,3.46,3.48,392927
2019-07-24 07:00:00,3.48,3.52,3.45,3.52,521440
2019-07-25 07:00:00,3.5,3.62,3.5,3.58,808122
2019-07-26 07:00:00,3.58,3.6,3.56,3.58,247162
2019-07-29 07:00:00,3.58,3.62,3.5,3.56,605087
2019-07-30 07:00:00,3.54,3.56,3.48,3.48,720903
2019-07-31 07:00:00,3.5,3.5,3.46,3.5,284724
2019-08-01 07:00:00,3.5,3.58,3.48,3.56,504959
2019-08-02 07:00:00,3.52,3.56,3.5,3.52,616708
2019-08-05 07:00:00,3.52,3.62,3.52,3.6,961081
2019-08-06 07:00:00,3.56,3.58,3.5,3.58,464308
2019-08-07 07:00:00,3.58,3.8,3.56,3.71,2129709
2019-08-08 07:00:00,3.69,3.76,3.69,3.75,850810
2019-08-09 07:00:00,3.73,3.78,3.73,3.75,1072208
2019-08-12 07:00:00,3.73,3.75,3.69,3.73,1009659
2019-08-13 07:00:00,3.73,3.75,3.65,3.67,816814
2019-08-14 07:00:00,3.74,3.92,3.72,3.74,613823
2019-08-15 07:00:00,3.74,3.96,3.7,3.94,1110270
2019-08-16 07:00:00,3.94,4.12,3.92,4.07,2004650
2019-08-19 07:00:00,4.1,4.16,4.01,4.03,999354
2019-08-20 07:00:00,4.05,4.07,4.01,4.03,808641
2019-08-21 07:00:00,4.03,4.1,3.98,4.03,849199
2019-08-22 07:00:00,4.07,4.07,3.96,3.96,1212959
2019-08-23 07:00:00,3.94,3.98,3.94,3.96,674649
2019-08-26 07:00:00,3.96,3.96,3.9,3.9,581693
2019-08-27 07:00:00,3.92,4.05,3.9,3.96,696571
2019-08-28 07:00:00,3.96,3.98,3.85,3.9,589189
2019-08-29 07:00:00,3.9,3.92,3.85,3.87,299058
2019-08-30 07:00:00,3.87,3.96,3.85,3.87,283709
2019-09-03 07:00:00,3.87,4.01,3.85,3.92,1892779
2019-09-04 07:00:00,3.94,3.94,3.9,3.9,470773
2019-09-05 07:00:00,3.92,3.94,3.9,3.92,200639
2019-09-06 07:00:00,3.92,3.94,3.34,3.92,394104
2019-09-09 07:00:00,3.9,3.92,3.32,3.83,373373
2019-09-10 07:00:00,3.87,3.87,3.3,3.72,1160010
2019-09-11 07:00:00,3.76,3.78,3.21,3.74,363566
2019-09-12 07:00:00,3.76,3.85,3.76,3.83,275870
2019-09-13 07:00:00,3.78,3.94,3.76,3.9,421173
2019-09-16 07:00:00,3.92,3.94,3.85,3.87,634311
2019-09-17 07:00:00,3.87,3.87,3.32,3.83,446116
2019-09-18 07:00:00,3.87,3.87,3.78,3.82,523204
2019-09-19 07:00:00,3.81,3.85,3.78,3.83,284498
2019-09-20 07:00:00,3.83,3.87,3.81,3.83,339186
2019-09-23 07:00:00,3.83,3.85,3.81,3.81,423166
2019-09-24 07:00:00,3.81,3.85,3.81,3.85,259714
2019-09-25 07:00:00,3.83,3.85,3.81,3.83,545662
2019-09-26 07:00:00,3.83,4.05,3.83,4.03,3517190
2019-09-27 07:00:00,4.01,4.05,3.96,3.96,1505276
2019-09-30 07:00:00,4.01,4.03,3.96,3.98,905936
2019-10-01 07:00:00,4.03,4.03,3.94,4.01,953689
2019-10-02 07:00:00,3.98,4.14,3.96,4.1,4110128
2019-10-03 07:00:00,4.07,4.14,4.03,4.12,1141200
2019-10-04 07:00:00,4.12,4.23,4.07,4.07,2102803
2019-10-07 07:00:00,4.1,4.12,3.92,3.96,1518344
2019-10-08 07:00:00,4.05,4.05,3.41,3.98,855694
2019-10-09 07:00:00,3.98,4.05,3.98,4.01,434738
2019-10-10 07:00:00,4.03,4.26,3.98,4.01,1500369
2019-10-11 07:00:00,4.01,4.05,3.98,4.03,203731
2019-10-14 07:00:00,4.03,4.14,4.03,4.12,1235571
2019-10-15 07:00:00,4.12,4.16,4.1,4.16,1318065
2019-10-16 07:00:00,4.18,4.2,4.05,4.07,1899559
2019-10-17 07:00:00,4.05,4.07,3.98,4.03,1005710
2019-10-18 07:00:00,3.98,4.03,3.96,3.96,945734
2019-10-21 07:00:00,3.96,3.98,3.87,3.9,1673569
2019-10-22 07:00:00,3.9,3.92,3.87,3.92,572700
2019-10-23 07:00:00,3.92,3.96,3.92,3.96,496720
2019-10-24 07:00:00,3.96,3.98,3.92,3.98,418143
2019-10-25 07:00:00,3.94,4.01,3.94,3.96,501944
2019-10-28 07:00:00,3.98,4.03,3.94,3.96,793094
2019-10-29 07:00:00,3.96,3.96,3.41,3.94,568237
2019-10-30 07:00:00,3.94,3.94,3.92,3.94,795806
2019-10-31 07:00:00,3.94,3.94,3.87,3.87,1057203
2019-11-01 07:00:00,3.87,3.94,3.87,3.94,429666
2019-11-04 07:00:00,3.94,3.98,3.9,3.96,511260
2019-11-05 07:00:00,3.96,3.96,3.92,3.94,397715
2019-11-06 07:00:00,3.94,4.01,3.94,3.94,835981
2019-11-07 07:00:00,3.96,4.03,3.96,4.01,1561682
2019-11-08 07:00:00,3.98,4.05,3.96,3.98,644993
2019-11-11 07:00:00,3.98,4.01,3.94,3.94,396485
2019-11-12 07:00:00,3.94,3.96,3.94,3.96,513589
2019-11-13 07:00:00,3.96,3.96,3.92,3.94,325803
2019-11-14 07:00:00,3.94,3.94,3.9,3.9,440565
2019-11-15 07:00:00,3.92,3.94,3.9,3.92,421823
2019-11-18 07:00:00,3.92,3.94,3.87,3.87,1209035
2019-11-19 07:00:00,3.87,3.92,3.87,3.9,359596
2019-11-20 07:00:00,3.9,3.94,3.87,3.9,741386
2019-11-21 07:00:00,3.87,3.87,3.85,3.87,423042
2019-11-22 07:00:00,3.87,3.9,3.81,3.87,703837
2019-11-25 07:00:00,3.83,3.85,3.78,3.83,246096
2019-11-26 07:00:00,3.83,3.87,3.83,3.83,326783
2019-11-27 07:00:00,3.85,3.87,3.83,3.85,245446
2019-11-28 07:00:00,3.85,4.4,3.76,3.81,739542
2019-11-29 07:00:00,3.81,3.81,3.78,3.78,380762
2019-12-02 07:00:00,3.83,3.83,3.74,3.76,390586
2019-12-03 07:00:00,3.85,3.9,3.23,3.67,748918
2019-12-04 07:00:00,3.72,3.76,3.72,3.76,366628
2019-12-05 07:00:00,3.76,3.76,3.74,3.74,524418
2019-12-06 07:00:00,3.72,3.74,3.7,3.72,189416
2019-12-09 07:00:00,3.72,3.74,3.16,3.72,223690
2019-12-10 07:00:00,3.72,3.72,3.67,3.7,520567
2019-12-11 07:00:00,3.7,3.72,3.7,3.72,281730
2019-12-12 07:00:00,3.72,3.83,3.7,3.72,332143
2019-12-13 07:00:00,3.74,3.78,3.74,3.74,247838
2019-12-16 07:00:00,3.74,3.76,3.72,3.74,141372
2019-12-17 07:00:00,3.74,3.74,3.72,3.74,214378
2019-12-18 07:00:00,3.74,3.84,3.74,3.76,169758
2019-12-19 07:00:00,3.78,3.83,3.74,3.78,362244
2019-12-20 07:00:00,3.78,3.81,3.78,3.81,157979
2019-12-23 07:00:00,3.78,3.86,3.78,3.85,254348
2019-12-24 07:00:00,3.85,3.87,3.81,3.85,214149
2019-12-25 07:00:00,3.87,3.96,3.85,3.94,702476
2019-12-26 07:00:00,3.94,3.94,3.9,3.92,361637
2019-12-27 07:00:00,3.87,3.94,3.87,3.9,348037
2019-12-30 07:00:00,3.87,3.92,3.87,3.87,322292
2019-12-31 07:00:00,3.9,3.9,3.85,3.83,198094
2020-01-02 07:00:00,3.85,3.9,3.85,3.9,371400
2020-01-03 07:00:00,3.9,3.92,3.87,3.87,391030
2020-01-06 07:00:00,3.87,3.87,3.81,3.81,359794
2020-01-07 07:00:00,3.81,3.83,3.81,3.81,114862
2020-01-08 07:00:00,3.81,3.81,3.74,3.74,516075
2020-01-09 07:00:00,3.74,3.83,3.74,3.76,559354
2020-01-10 07:00:00,3.78,3.81,3.74,3.76,720409
2020-01-13 07:00:00,3.78,3.85,3.76,3.83,527921
2020-01-14 07:00:00,3.81,3.87,3.81,3.87,359137
2020-01-15 07:00:00,3.87,3.87,3.83,3.83,379187
2020-01-16 07:00:00,3.83,3.92,3.83,3.87,690910
2020-01-17 07:00:00,3.87,3.94,3.83,3.85,805973
2020-01-20 07:00:00,3.85,4.14,3.83,3.87,1253362
2020-01-21 07:00:00,3.9,3.96,3.9,3.94,1106015
2020-01-22 07:00:00,3.94,3.96,3.9,3.94,584350
2020-01-30 07:00:00,3.92,3.92,3.81,3.83,848096
2020-01-31 07:00:00,3.83,3.83,3.76,3.78,988717
2020-02-03 07:00:00,3.72,3.78,3.65,3.78,1299169
2020-02-04 07:00:00,3.78,3.81,3.72,3.81,712734
2020-02-05 07:00:00,3.81,3.87,3.81,3.83,742628
2020-02-06 07:00:00,3.85,3.92,3.81,3.92,760378
2020-02-07 07:00:00,3.9,3.9,3.85,3.87,360258
2020-02-10 07:00:00,3.87,3.87,3.76,3.76,743200
2020-02-11 07:00:00,3.81,3.83,3.78,3.83,491576
2020-02-12 07:00:00,3.81,3.92,3.81,3.87,653767
2020-02-13 07:00:00,3.87,4.1,3.85,4.03,3715862
2020-02-14 07:00:00,4.01,4.14,3.98,4.07,1963866
2020-02-17 07:00:00,4.1,4.12,4.03,4.05,973460
2020-02-18 07:00:00,4.05,4.07,4.05,3.96,1518563
2020-02-19 07:00:00,3.98,4.01,3.96,4.01,992359
2020-02-20 07:00:00,4.01,4.07,3.98,4.05,597245
2020-02-21 07:00:00,4.03,4.25,4.03,4.16,4777915
2020-02-24 07:00:00,4.16,4.16,3.92,3.96,2291673
2020-02-25 07:00:00,3.9,4.03,3.85,3.98,1761731
2020-02-26 07:00:00,3.94,3.98,3.83,3.94,1730855
2020-02-27 07:00:00,3.94,4.1,3.92,4.07,1355949
2020-02-28 07:00:00,4.03,4.05,3.96,4.01,1909126
2020-03-02 07:00:00,3.98,4.07,3.94,4.05,1282104
2020-03-03 07:00:00,4.05,4.14,4.05,4.05,1753520
2020-03-04 07:00:00,4.05,4.07,4.03,4.07,717445
2020-03-05 07:00:00,4.07,4.14,4.01,4.03,1430847
2020-03-06 07:00:00,4.07,4.07,3.96,4.03,878862
2020-03-09 07:00:00,3.96,3.96,3.39,3.56,5896152
2020-03-10 07:00:00,3.54,3.81,3.52,3.78,2161508
2020-03-11 07:00:00,3.81,3.81,3.52,3.67,2299550
2020-03-12 07:00:00,3.56,3.61,3.36,3.48,2366087
2020-03-13 07:00:00,3.32,3.52,3.19,3.41,2739933
2020-03-16 07:00:00,3.43,3.45,3.3,3.34,1053796
2020-03-17 07:00:00,3.32,3.36,2.86,3.32,1369993
2020-03-18 07:00:00,3.3,3.39,3.3,3.32,609580
2020-03-19 07:00:00,3.32,3.54,3.21,3.25,764288
2020-03-20 07:00:00,3.25,3.3,3.23,3.25,324349
2020-03-23 07:00:00,3.23,3.25,2.86,2.9,1989844
2020-03-24 07:00:00,2.94,3.01,2.88,3.01,807017
2020-03-25 07:00:00,3.05,3.23,3.03,3.21,1192400
2020-03-26 07:00:00,3.14,3.23,3.03,3.05,648007
2020-03-27 07:00:00,3.01,3.12,3.01,3.03,310649
2020-03-30 07:00:00,2.88,3.01,2.74,2.81,900039
2020-03-31 07:00:00,2.86,2.94,2.77,2.83,925612
2020-04-01 07:00:00,2.86,2.94,2.83,2.92,294770
2020-04-03 07:00:00,2.92,3.01,2.9,2.99,795050
2020-04-06 07:00:00,2.99,3.19,2.99,3.16,1020978
2020-04-07 07:00:00,3.19,3.25,3.1,3.16,650240
2020-04-08 07:00:00,3.16,3.16,3.08,3.12,592808
2020-04-09 07:00:00,3.14,3.19,3.12,3.19,1074312
2020-04-10 07:00:00,3.19,3.19,3.12,3.14,612012
2020-04-13 07:00:00,3.14,3.21,3.1,3.14,551333
2020-04-14 07:00:00,3.16,3.21,3.12,3.14,576043
