time,open,high,low,close,volume
2018-08-09 07:00:00,3.59,3.71,3.57,3.59,1210240
2018-08-10 07:00:00,3.55,3.75,3.53,3.75,1505880
2018-08-13 07:00:00,3.67,3.92,3.62,3.86,2188850
2018-08-14 07:00:00,3.86,3.89,3.77,3.83,1487120
2018-08-15 07:00:00,3.78,3.87,3.66,3.66,1766770
2018-08-16 07:00:00,3.59,3.79,3.53,3.71,1661810
2018-08-17 07:00:00,3.81,3.83,3.6,3.66,1362920
2018-08-20 07:00:00,3.64,3.77,3.64,3.68,619740
2018-08-21 07:00:00,3.66,3.81,3.66,3.81,1558520
2018-08-22 07:00:00,3.88,4.01,3.85,3.95,2625530
2018-08-23 07:00:00,3.95,3.99,3.9,3.96,950410
2018-08-24 07:00:00,3.92,3.95,3.89,3.92,969600
2018-08-27 07:00:00,3.9,4.02,3.9,3.95,1339430
2018-08-28 07:00:00,3.99,4.12,3.96,4.08,2203560
2018-08-29 07:00:00,4.09,4.09,4.0,4.04,929140
2018-08-30 07:00:00,4.01,4.09,4.01,4.09,991660
2018-08-31 07:00:00,4.11,4.15,4.06,4.06,1368410
2018-09-04 07:00:00,4.06,4.06,3.84,3.88,1744450
2018-09-05 07:00:00,3.84,3.92,3.83,3.92,1612950
2018-09-06 07:00:00,3.91,3.97,3.84,3.97,1221510
2018-09-07 07:00:00,3.95,4.08,3.92,4.08,2192800
2018-09-10 07:00:00,4.08,4.1,4.04,4.08,1695850
2018-09-11 07:00:00,4.06,4.34,4.04,4.34,2913620
2018-09-12 07:00:00,4.38,4.39,4.29,4.31,2153290
2018-09-13 07:00:00,4.33,4.37,4.16,4.3,2253700
2018-09-14 07:00:00,4.24,4.36,4.12,4.19,4418130
2018-09-17 07:00:00,4.17,4.17,4.04,4.04,2180590
2018-09-18 07:00:00,4.02,4.24,4.02,4.19,2137290
2018-09-19 07:00:00,4.23,4.27,4.14,4.17,1986980
2018-09-20 07:00:00,4.19,4.24,4.13,4.21,2801100
2018-09-21 07:00:00,4.26,4.32,4.17,4.26,2579770
2018-09-24 07:00:00,4.28,4.3,4.19,4.23,1632210
2018-09-25 07:00:00,4.21,4.26,4.18,4.23,1993160
2018-09-26 07:00:00,4.21,4.29,4.17,4.18,2502100
2018-09-27 07:00:00,4.19,4.28,4.18,4.24,2947970
2018-09-28 07:00:00,4.26,4.28,4.19,4.19,1976770
2018-10-01 07:00:00,4.19,4.22,4.12,4.13,1845900
2018-10-02 07:00:00,4.12,4.24,4.06,4.1,2302110
2018-10-03 07:00:00,4.1,4.17,4.1,4.14,999940
2018-10-04 07:00:00,4.19,4.28,4.14,4.24,1503000
2018-10-05 07:00:00,4.19,4.25,4.12,4.12,1500400
2018-10-08 07:00:00,4.1,4.2,4.1,4.15,1242750
2018-10-09 07:00:00,4.17,4.2,4.14,4.17,837770
2018-10-10 07:00:00,4.19,4.19,4.12,4.14,837300
2018-10-11 07:00:00,3.86,3.95,3.85,3.85,3793660
2018-10-12 07:00:00,3.66,3.89,3.62,3.82,2670360
2018-10-15 07:00:00,3.84,3.84,3.64,3.64,1691840
2018-10-16 07:00:00,3.64,3.68,3.58,3.64,1254660
2018-10-17 07:00:00,3.73,3.78,3.71,3.78,1292380
2018-10-18 07:00:00,3.74,3.77,3.68,3.69,665130
2018-10-19 07:00:00,3.6,3.67,3.54,3.63,1013020
2018-10-22 07:00:00,3.58,3.62,3.38,3.38,2960650
2018-10-23 07:00:00,3.37,3.37,3.16,3.2,2820240
2018-10-24 07:00:00,3.2,3.28,3.18,3.2,1209380
2018-10-25 07:00:00,3.02,3.2,3.02,3.18,1526270
2018-10-26 07:00:00,3.26,3.26,3.13,3.13,710410
2018-10-29 07:00:00,3.13,3.23,3.1,3.13,1019840
2018-10-30 07:00:00,3.1,3.18,3.07,3.13,876840
2018-10-31 07:00:00,3.2,3.34,3.18,3.34,1667140
2018-11-01 07:00:00,3.36,3.38,3.21,3.22,1624910
2018-11-02 07:00:00,3.29,3.38,3.26,3.33,1043160
2018-11-05 07:00:00,3.33,3.33,3.26,3.33,837680
2018-11-06 07:00:00,3.38,3.41,3.29,3.29,1385020
2018-11-07 07:00:00,3.29,3.33,3.26,3.29,1097770
2018-11-08 07:00:00,3.38,3.39,3.31,3.31,706440
2018-11-09 07:00:00,3.29,3.33,3.27,3.28,921510
2018-11-12 07:00:00,3.24,3.33,3.21,3.33,647810
2018-11-13 07:00:00,3.22,3.33,3.22,3.33,825300
2018-11-14 07:00:00,3.32,3.36,3.29,3.32,1359100
2018-11-15 07:00:00,3.33,3.42,3.33,3.38,1395620
2018-11-16 07:00:00,3.44,3.48,3.41,3.46,732390
2018-11-19 07:00:00,3.46,3.48,3.42,3.46,557670
2018-11-20 07:00:00,3.42,3.5,3.4,3.48,792020
2018-11-21 07:00:00,3.42,3.48,3.42,3.46,983090
2018-11-22 07:00:00,3.46,3.51,3.38,3.41,1273750
2018-11-23 07:00:00,3.4,3.42,3.35,3.4,732790
2018-11-26 07:00:00,3.4,3.43,3.37,3.43,406730
2018-11-27 07:00:00,3.46,3.5,3.4,3.44,799530
2018-11-28 07:00:00,3.44,3.5,3.44,3.48,1051360
2018-11-29 07:00:00,3.51,3.56,3.46,3.46,1161610
2018-11-30 07:00:00,3.5,3.51,3.44,3.48,552410
2018-12-03 07:00:00,3.55,3.65,3.53,3.64,1425430
2018-12-04 07:00:00,3.65,3.67,3.59,3.62,1654270
2018-12-05 07:00:00,3.56,3.62,3.56,3.61,1349120
2018-12-06 07:00:00,3.6,3.64,3.56,3.59,1532370
2018-12-07 07:00:00,3.59,3.64,3.59,3.62,1263540
2018-12-10 07:00:00,3.59,3.6,3.57,3.57,374220
2018-12-11 07:00:00,3.58,3.6,3.51,3.55,437030
2018-12-12 07:00:00,3.55,3.6,3.55,3.6,324790
2018-12-13 07:00:00,3.63,3.65,3.6,3.6,456690
2018-12-14 07:00:00,3.57,3.6,3.52,3.52,322260
2018-12-17 07:00:00,3.51,3.51,3.29,3.29,1064380
2018-12-18 07:00:00,3.2,3.28,3.19,3.23,982350
2018-12-19 07:00:00,3.27,3.28,3.21,3.24,223520
2018-12-20 07:00:00,3.2,3.28,3.2,3.28,226530
2018-12-21 07:00:00,3.24,3.28,3.2,3.28,153190
2018-12-24 07:00:00,3.28,3.29,3.18,3.19,202530
2018-12-25 07:00:00,3.08,3.11,2.98,3.06,973370
2018-12-26 07:00:00,3.06,3.11,2.98,2.98,356840
2018-12-27 07:00:00,3.09,3.09,2.99,2.99,577380
2018-12-28 07:00:00,2.99,3.04,2.93,3.0,938550
2019-01-02 07:00:00,2.98,3.05,2.97,3.02,363610
2019-01-03 07:00:00,3.01,3.02,2.96,2.97,586900
2019-01-04 07:00:00,2.95,3.0,2.91,2.98,695280
2019-01-07 07:00:00,3.04,3.07,3.03,3.05,649320
2019-01-08 07:00:00,3.06,3.09,3.05,3.07,308990
2019-01-09 07:00:00,3.07,3.08,2.99,3.0,767570
2019-01-10 07:00:00,2.99,3.0,2.94,2.94,943560
2019-01-11 07:00:00,2.94,3.03,2.94,3.0,225490
2019-01-14 07:00:00,3.02,3.04,2.9,2.93,535420
2019-01-15 07:00:00,2.93,2.95,2.9,2.92,613510
2019-01-16 07:00:00,2.93,2.96,2.88,2.88,546030
2019-01-17 07:00:00,2.88,2.91,2.85,2.85,288750
2019-01-18 07:00:00,2.89,2.89,2.85,2.85,275560
2019-01-21 07:00:00,2.82,2.98,2.75,2.96,1769210
2019-01-22 07:00:00,2.96,3.0,2.9,2.96,643460
2019-01-23 07:00:00,2.89,2.96,2.89,2.95,467700
2019-01-24 07:00:00,2.94,2.96,2.92,2.94,513450
2019-01-25 07:00:00,2.94,2.99,2.91,2.96,763250
2019-01-28 07:00:00,2.96,3.0,2.95,2.95,323810
2019-01-29 07:00:00,2.95,2.96,2.91,2.96,337170
2019-01-30 07:00:00,2.97,2.98,2.95,2.95,336200
2019-01-31 07:00:00,2.95,2.97,2.94,2.95,465140
2019-02-01 07:00:00,2.94,2.95,2.93,2.93,298420
2019-02-11 07:00:00,2.93,3.07,2.93,3.07,832890
2019-02-12 07:00:00,3.11,3.19,3.06,3.15,1553340
2019-02-13 07:00:00,3.15,3.18,3.11,3.16,920690
2019-02-14 07:00:00,3.13,3.19,3.1,3.16,802750
2019-02-15 07:00:00,3.16,3.16,3.12,3.12,589350
2019-02-18 07:00:00,3.16,3.16,3.13,3.15,634440
2019-02-19 07:00:00,3.16,3.24,3.13,3.15,1927520
2019-02-20 07:00:00,3.15,3.21,3.15,3.18,592450
2019-02-21 07:00:00,3.18,3.2,3.15,3.18,678360
2019-02-22 07:00:00,3.15,3.22,3.14,3.18,998160
2019-02-25 07:00:00,3.22,3.33,3.22,3.28,1715470
2019-02-26 07:00:00,3.29,3.34,3.24,3.27,1635450
2019-02-27 07:00:00,3.3,3.3,3.2,3.22,657250
2019-02-28 07:00:00,3.22,3.24,3.11,3.19,1328960
2019-03-01 07:00:00,3.19,3.2,3.15,3.2,681680
2019-03-04 07:00:00,3.2,3.3,3.2,3.26,907220
2019-03-05 07:00:00,3.26,3.29,3.22,3.22,1191900
2019-03-06 07:00:00,3.22,3.26,3.21,3.24,794130
2019-03-07 07:00:00,3.24,3.34,3.24,3.32,2374120
2019-03-08 07:00:00,3.28,3.29,3.21,3.25,812850
2019-03-11 07:00:00,3.25,3.26,3.2,3.25,415960
2019-03-12 07:00:00,3.29,3.29,3.18,3.24,1672920
2019-03-13 07:00:00,3.26,3.38,3.26,3.37,2584340
2019-03-14 07:00:00,3.38,3.38,3.34,3.34,656680
2019-03-15 07:00:00,3.34,3.34,3.28,3.28,810620
2019-03-18 07:00:00,3.31,3.31,3.27,3.3,756030
2019-03-19 07:00:00,3.33,3.33,3.16,3.16,1661800
2019-03-20 07:00:00,3.16,3.18,3.1,3.18,1586050
2019-03-21 07:00:00,3.15,3.18,3.02,3.02,963830
2019-03-22 07:00:00,3.02,3.08,3.02,3.06,833020
2019-03-25 07:00:00,2.95,3.03,2.94,3.03,1534230
2019-03-26 07:00:00,3.04,3.07,3.0,3.06,627350
