time,open,high,low,close,volume
2018-08-09 07:00:00,73.76,74.6,72.82,73.29,770210
2018-08-10 07:00:00,73.29,73.66,72.82,73.38,908450
2018-08-13 07:00:00,73.29,73.29,72.54,72.87,1245500
2018-08-14 07:00:00,74.22,74.64,73.66,73.8,995480
2018-08-15 07:00:00,73.99,74.88,73.85,73.99,1081050
2018-08-16 07:00:00,73.76,74.04,72.64,74.04,1038700
2018-08-17 07:00:00,74.22,74.46,73.99,73.99,408930
2018-08-20 07:00:00,74.22,75.58,74.04,74.74,1290170
2018-08-21 07:00:00,75.02,76.09,74.83,76.09,664240
2018-08-22 07:00:00,76.46,76.51,75.58,76.09,640010
2018-08-23 07:00:00,76.09,76.23,75.86,76.23,410280
2018-08-24 07:00:00,76.23,76.23,75.72,75.72,453010
2018-08-27 07:00:00,76.09,76.09,74.69,74.83,1141160
2018-08-28 07:00:00,74.74,74.78,74.22,74.36,1057220
2018-08-29 07:00:00,74.46,74.5,73.24,73.57,1124120
2018-08-30 07:00:00,73.57,73.62,72.59,73.06,899040
2018-08-31 07:00:00,73.29,74.13,73.15,73.15,726110
2018-09-04 07:00:00,73.66,73.66,73.1,73.15,690780
2018-09-05 07:00:00,73.78,73.78,71.05,71.22,1250390
2018-09-06 07:00:00,71.22,71.73,69.24,69.29,1234110
2018-09-07 07:00:00,69.24,72.41,69.24,72.13,882130
2018-09-10 07:00:00,72.36,72.87,72.24,72.41,603870
2018-09-11 07:00:00,72.36,75.14,72.36,74.91,1533670
2018-09-12 07:00:00,75.48,76.5,75.02,75.14,1342390
2018-09-13 07:00:00,74.91,75.19,74.23,74.97,655170
2018-09-14 07:00:00,74.97,76.04,74.97,75.48,969270
2018-09-17 07:00:00,76.04,77.18,75.65,77.18,1148720
2018-09-18 07:00:00,77.24,78.77,76.73,78.32,1310670
2018-09-19 07:00:00,78.32,78.43,77.69,78.2,929630
2018-09-20 07:00:00,77.86,77.92,77.18,77.18,771520
2018-09-21 07:00:00,77.18,78.2,76.56,78.2,1840850
2018-09-24 07:00:00,78.2,78.2,77.29,77.75,639720
2018-09-25 07:00:00,77.75,77.8,77.29,77.69,480150
2018-09-26 07:00:00,77.69,77.69,77.35,77.46,418120
2018-09-27 07:00:00,77.75,79.45,77.63,78.6,980840
2018-09-28 07:00:00,78.6,78.82,77.92,77.92,520020
2018-10-01 07:00:00,77.63,77.75,77.18,77.35,514820
2018-10-02 07:00:00,76.61,78.09,76.61,77.75,581340
2018-10-03 07:00:00,77.75,77.8,77.46,77.69,701280
2018-10-04 07:00:00,77.69,77.75,77.12,77.69,304620
2018-10-05 07:00:00,77.18,77.24,76.61,76.73,519180
2018-10-08 07:00:00,76.1,76.44,75.48,75.48,566750
2018-10-09 07:00:00,75.02,75.48,74.23,74.28,660630
2018-10-10 07:00:00,74.06,74.28,73.66,73.78,636650
2018-10-11 07:00:00,69.8,73.21,69.8,72.07,1182360
2018-10-12 07:00:00,72.07,73.04,70.71,72.92,957810
2018-10-15 07:00:00,73.21,73.21,71.28,71.33,692180
2018-10-16 07:00:00,71.5,71.73,71.05,71.5,988520
2018-10-17 07:00:00,72.36,72.36,71.68,72.02,444290
2018-10-18 07:00:00,72.02,72.07,71.45,71.5,349110
