time,open,high,low,close,volume
2018-08-09 07:00:00,21.21,21.42,21.18,21.26,187450
2018-08-10 07:00:00,21.26,21.42,21.18,21.31,176490
2018-08-13 07:00:00,21.26,21.36,21.18,21.31,169400
2018-08-14 07:00:00,21.31,21.49,21.23,21.42,197110
2018-08-15 07:00:00,21.42,21.47,21.26,21.47,175810
2018-08-16 07:00:00,21.47,21.57,21.36,21.55,192000
2018-08-17 07:00:00,21.49,21.7,21.44,21.7,173280
2018-08-20 07:00:00,21.7,21.7,21.42,21.57,150480
2018-08-21 07:00:00,21.55,21.7,21.52,21.68,169910
2018-08-22 07:00:00,21.62,21.7,21.52,21.65,145310
2018-08-23 07:00:00,21.68,21.68,21.03,21.47,151790
2018-08-24 07:00:00,21.52,21.86,21.49,21.83,238350
2018-08-27 07:00:00,21.83,21.88,21.68,21.86,208810
2018-08-28 07:00:00,21.68,21.94,21.62,21.78,207350
2018-08-29 07:00:00,21.73,21.99,21.65,21.91,243150
2018-08-30 07:00:00,21.91,21.99,21.73,21.94,398200
2018-08-31 07:00:00,21.78,21.99,21.73,21.96,419540
2018-09-04 07:00:00,21.78,21.88,21.62,21.83,119520
2018-09-05 07:00:00,21.73,21.94,21.6,21.83,216450
2018-09-06 07:00:00,21.73,21.83,21.68,21.73,252910
2018-09-07 07:00:00,21.68,21.83,21.52,21.83,194420
2018-09-10 07:00:00,21.73,21.88,21.62,21.83,184830
2018-09-11 07:00:00,21.88,22.04,21.73,21.96,255990
2018-09-12 07:00:00,21.83,22.2,21.81,22.01,240590
2018-09-13 07:00:00,21.94,22.07,21.94,22.01,195380
2018-09-14 07:00:00,22.01,22.01,21.83,21.94,120120
2018-09-17 07:00:00,21.94,21.94,21.78,21.83,171140
2018-09-18 07:00:00,21.83,22.14,21.81,22.12,273470
2018-09-19 07:00:00,22.09,22.3,21.99,22.22,346360
2018-09-20 07:00:00,22.17,22.27,22.14,22.27,175060
2018-09-21 07:00:00,22.2,22.3,22.14,22.27,111540
2018-09-24 07:00:00,22.22,22.3,22.04,22.25,153960
2018-09-25 07:00:00,22.14,22.27,22.09,22.27,282970
2018-09-26 07:00:00,22.14,22.2,21.83,21.94,132890
2018-09-27 07:00:00,21.99,22.09,21.83,22.09,123460
2018-09-28 07:00:00,22.09,22.25,21.83,22.17,135180
2018-10-01 07:00:00,22.04,22.25,22.04,22.12,184760
2018-10-02 07:00:00,22.14,22.2,22.04,22.12,155000
2018-10-03 07:00:00,22.14,22.35,22.04,22.2,170600
2018-10-04 07:00:00,22.17,22.25,22.14,22.14,93320
2018-10-05 07:00:00,22.14,22.27,22.01,22.25,115650
2018-10-08 07:00:00,22.04,22.17,21.78,21.94,95670
2018-10-09 07:00:00,21.94,22.09,21.94,21.99,165230
2018-10-10 07:00:00,22.12,22.12,21.99,22.07,180050
2018-10-11 07:00:00,21.99,22.04,21.88,21.99,101240
2018-10-12 07:00:00,21.83,22.09,21.83,21.96,1722420
2018-10-15 07:00:00,21.96,22.07,21.96,22.01,54380
2018-10-16 07:00:00,22.07,22.12,21.99,22.12,229000
2018-10-17 07:00:00,22.12,22.14,22.07,22.12,135650
2018-10-18 07:00:00,22.04,22.25,21.96,22.22,147130
2018-10-19 07:00:00,21.94,22.04,21.86,21.94,32730
2018-10-22 07:00:00,21.94,22.14,21.94,21.99,1754290
2018-10-23 07:00:00,21.94,22.04,21.91,22.04,96720
2018-10-24 07:00:00,21.88,22.04,21.88,21.96,223700
2018-10-25 07:00:00,21.83,22.04,21.78,21.96,158300
2018-10-26 07:00:00,21.99,22.04,21.83,21.83,121300
2018-10-29 07:00:00,21.83,22.04,21.83,21.91,44000
2018-10-30 07:00:00,21.83,22.07,21.83,22.04,131290
2018-10-31 07:00:00,21.99,22.12,21.96,22.04,215530
2018-11-01 07:00:00,22.04,22.25,22.04,22.2,307980
2018-11-02 07:00:00,22.12,22.4,22.09,22.4,508040
2018-11-05 07:00:00,22.38,22.61,22.38,22.61,472150
2018-11-06 07:00:00,22.64,22.64,22.35,22.46,227900
2018-11-07 07:00:00,22.61,22.61,22.4,22.56,338520
2018-11-08 07:00:00,22.56,22.64,22.51,22.61,190730
2018-11-09 07:00:00,22.38,22.64,22.33,22.64,388190
2018-11-12 07:00:00,22.35,22.56,22.33,22.4,194470
2018-11-13 07:00:00,22.35,22.51,22.35,22.35,257510
2018-11-14 07:00:00,22.35,22.59,22.35,22.59,335310
2018-11-15 07:00:00,22.51,22.64,22.4,22.4,191500
2018-11-16 07:00:00,22.46,22.77,22.46,22.51,365060
2018-11-19 07:00:00,22.51,22.72,22.46,22.56,261190
2018-11-20 07:00:00,22.51,22.51,22.35,22.51,349930
2018-11-21 07:00:00,22.35,22.51,22.35,22.4,291570
2018-11-22 07:00:00,22.46,22.46,22.33,22.38,442010
2018-11-23 07:00:00,22.35,22.64,22.35,22.38,146620
2018-11-26 07:00:00,22.46,22.61,22.35,22.51,93830
2018-11-27 07:00:00,22.51,22.61,22.4,22.59,87100
2018-11-28 07:00:00,22.59,22.59,22.33,22.43,248990
2018-11-29 07:00:00,22.27,22.4,22.27,22.3,64740
2018-11-30 07:00:00,22.35,22.35,22.04,22.09,261560
2018-12-03 07:00:00,22.09,22.25,21.68,22.2,228240
2018-12-04 07:00:00,22.2,22.4,21.83,22.22,420180
2018-12-05 07:00:00,21.83,22.35,21.73,22.27,221510
2018-12-06 07:00:00,22.17,22.25,22.09,22.22,47090
2018-12-07 07:00:00,22.22,22.22,21.81,22.09,100700
2018-12-10 07:00:00,21.99,22.25,21.83,22.07,371860
2018-12-11 07:00:00,21.99,22.01,21.81,22.01,178750
2018-12-12 07:00:00,22.09,22.27,21.94,22.07,95420
2018-12-13 07:00:00,22.07,22.25,22.04,22.14,176340
2018-12-14 07:00:00,22.04,22.14,21.99,22.04,57400
2018-12-17 07:00:00,22.04,22.27,21.91,21.91,213470
2018-12-18 07:00:00,21.99,22.25,21.57,21.57,191470
2018-12-19 07:00:00,21.83,21.83,21.39,21.57,267000
2018-12-20 07:00:00,21.47,21.83,21.47,21.78,277320
2018-12-21 07:00:00,21.78,22.04,21.78,21.91,255330
2018-12-24 07:00:00,21.99,22.2,21.81,21.88,265810
2018-12-25 07:00:00,21.68,21.83,21.68,21.83,127190
2018-12-26 07:00:00,21.83,21.91,21.68,21.83,200540
2018-12-27 07:00:00,21.83,22.09,21.83,21.91,46420
2018-12-28 07:00:00,22.07,22.09,21.96,22.01,94950
2019-01-02 07:00:00,21.83,22.17,21.31,22.12,410610
2019-01-03 07:00:00,22.12,22.14,21.73,21.81,600550
2019-01-04 07:00:00,21.73,21.83,21.31,21.49,170180
2019-01-07 07:00:00,21.31,21.57,21.31,21.57,111790
2019-01-08 07:00:00,21.6,21.73,21.57,21.65,279770
2019-01-09 07:00:00,21.57,21.7,21.57,21.68,58500
2019-01-10 07:00:00,21.68,21.73,21.31,21.36,146060
2019-01-11 07:00:00,21.52,21.57,21.39,21.42,68150
2019-01-14 07:00:00,21.03,21.31,21.03,21.31,115610
2019-01-15 07:00:00,21.21,21.57,21.21,21.31,131810
2019-01-16 07:00:00,21.31,21.36,21.05,21.36,52290
2019-01-17 07:00:00,21.39,21.47,21.1,21.16,99040
2019-01-18 07:00:00,21.21,21.57,21.13,21.21,171050
2019-01-21 07:00:00,21.34,21.55,21.31,21.42,109640
2019-01-22 07:00:00,21.36,21.49,21.21,21.42,42230
2019-01-23 07:00:00,21.44,21.57,21.31,21.42,138580
2019-01-24 07:00:00,21.42,21.62,21.39,21.44,607130
2019-01-25 07:00:00,21.39,21.52,21.39,21.47,109660
2019-01-28 07:00:00,21.47,21.52,21.31,21.31,31220
2019-01-29 07:00:00,21.31,21.42,21.31,21.34,63390
2019-01-30 07:00:00,21.39,21.57,21.29,21.31,42760
2019-01-31 07:00:00,21.31,21.6,20.84,21.6,74220
2019-02-01 07:00:00,21.57,21.73,20.87,20.87,528470
2019-02-11 07:00:00,21.13,21.49,21.13,21.42,186130
2019-02-12 07:00:00,21.21,21.57,21.21,21.34,220570
2019-02-13 07:00:00,21.36,21.52,20.9,20.9,369360
2019-02-14 07:00:00,20.9,21.42,20.9,21.26,95520
2019-02-15 07:00:00,21.31,21.57,20.79,21.36,158690
2019-02-18 07:00:00,21.36,21.52,21.31,21.42,220560
2019-02-19 07:00:00,21.44,21.52,21.42,21.44,223540
2019-02-20 07:00:00,21.44,21.44,21.0,21.03,231450
2019-02-21 07:00:00,21.03,21.1,21.03,21.03,133650
2019-02-22 07:00:00,21.03,21.6,21.0,21.44,362580
2019-02-25 07:00:00,21.44,21.73,21.44,21.44,387570
2019-02-26 07:00:00,21.44,21.6,21.05,21.57,331410
2019-02-27 07:00:00,21.62,21.73,20.87,20.9,271840
2019-02-28 07:00:00,21.62,21.88,21.05,21.05,158170
2019-03-01 07:00:00,21.42,21.57,21.26,21.26,124020
2019-03-04 07:00:00,21.26,21.73,21.26,21.42,188200
2019-03-05 07:00:00,21.42,21.62,21.31,21.49,353720
2019-03-06 07:00:00,21.52,21.55,21.26,21.34,198100
2019-03-07 07:00:00,21.34,21.57,21.34,21.49,493410
2019-03-08 07:00:00,21.49,21.57,21.21,21.57,129310
2019-03-11 07:00:00,21.57,21.68,21.42,21.42,230560
2019-03-12 07:00:00,21.42,21.62,21.42,21.49,427370
2019-03-13 07:00:00,21.49,21.57,21.42,21.57,229260
2019-03-14 07:00:00,21.57,21.62,21.31,21.57,130910
2019-03-15 07:00:00,21.6,21.6,21.44,21.55,200090
2019-03-18 07:00:00,21.55,21.6,21.21,21.6,746430
2019-03-19 07:00:00,21.57,21.65,21.31,21.42,166530
2019-03-20 07:00:00,21.42,21.68,21.42,21.68,56780
2019-03-21 07:00:00,21.73,21.78,21.65,21.75,218250
2019-03-22 07:00:00,21.75,21.88,21.68,21.75,287050
2019-03-25 07:00:00,21.75,21.75,21.47,21.6,191980
2019-03-26 07:00:00,21.6,21.68,21.57,21.62,279150
2019-03-27 07:00:00,21.62,21.7,21.52,21.62,368190
2019-03-28 07:00:00,21.62,21.68,21.57,21.65,112330
2019-03-29 07:00:00,21.65,21.7,21.6,21.65,117090
2019-04-01 07:00:00,21.65,21.65,21.23,21.31,189480
2019-04-02 07:00:00,21.31,21.31,21.0,21.05,284840
2019-04-03 07:00:00,21.05,21.08,21.0,21.05,225660
2019-04-04 07:00:00,21.05,21.13,21.0,21.05,129780
2019-04-05 07:00:00,21.05,21.13,21.0,21.05,208570
