time,open,high,low,close,volume
2018-08-09 07:00:00,6.92,7.16,6.84,6.84,143590
2018-08-10 07:00:00,6.96,6.96,6.72,6.79,69860
2018-08-13 07:00:00,6.79,6.87,6.7,6.81,104860
2018-08-14 07:00:00,6.67,6.82,6.62,6.82,219390
2018-08-15 07:00:00,6.82,6.86,6.74,6.75,97780
2018-08-16 07:00:00,6.7,6.96,6.66,6.96,205690
2018-08-17 07:00:00,7.04,7.13,6.82,6.94,111240
2018-08-20 07:00:00,7.01,7.01,6.83,6.89,206670
2018-08-21 07:00:00,6.87,6.94,6.8,6.92,174130
2018-08-22 07:00:00,7.01,7.02,6.91,7.02,207290
2018-08-23 07:00:00,6.99,7.01,6.89,6.89,62060
2018-08-24 07:00:00,6.85,6.92,6.85,6.89,128650
2018-08-27 07:00:00,7.03,7.03,6.94,6.94,437790
2018-08-28 07:00:00,7.01,7.01,6.93,6.96,147200
2018-08-29 07:00:00,6.96,7.13,6.9,7.13,182770
2018-08-30 07:00:00,7.12,7.22,7.05,7.21,109160
2018-08-31 07:00:00,7.21,7.23,7.13,7.13,28100
2018-09-04 07:00:00,7.13,7.2,7.03,7.03,48230
2018-09-05 07:00:00,7.03,7.24,7.03,7.16,358430
2018-09-06 07:00:00,7.17,7.22,7.03,7.03,206400
2018-09-07 07:00:00,7.13,7.15,7.1,7.13,81210
2018-09-10 07:00:00,7.19,7.19,6.96,6.96,134230
2018-09-11 07:00:00,6.96,7.02,6.7,6.86,215960
2018-09-12 07:00:00,6.86,6.96,6.75,6.84,142550
2018-09-13 07:00:00,6.84,6.96,6.84,6.93,39490
2018-09-14 07:00:00,6.94,6.94,6.89,6.93,91980
2018-09-17 07:00:00,6.96,7.03,6.86,6.98,229700
2018-09-18 07:00:00,6.96,7.46,6.96,7.46,591560
2018-09-19 07:00:00,7.57,7.64,7.31,7.41,218170
2018-09-20 07:00:00,7.45,7.64,7.45,7.64,184140
2018-09-21 07:00:00,7.59,7.66,7.41,7.52,137860
2018-09-24 07:00:00,7.5,7.62,7.39,7.57,318950
2018-09-25 07:00:00,7.57,7.6,7.48,7.53,80730
2018-09-26 07:00:00,7.53,7.53,7.47,7.47,109710
2018-09-27 07:00:00,7.48,7.53,7.27,7.29,303180
2018-09-28 07:00:00,7.29,7.41,7.21,7.22,160100
2018-10-01 07:00:00,7.31,7.39,7.19,7.34,187490
2018-10-02 07:00:00,7.39,7.39,7.26,7.27,104360
2018-10-03 07:00:00,7.38,7.43,7.26,7.39,253460
2018-10-04 07:00:00,7.47,7.74,7.47,7.73,339070
2018-10-05 07:00:00,7.79,7.92,7.78,7.83,312110
2018-10-08 07:00:00,7.83,8.0,7.78,7.9,250150
2018-10-09 07:00:00,7.9,7.9,7.79,7.82,151870
2018-10-10 07:00:00,7.85,8.09,7.81,8.0,398660
2018-10-11 07:00:00,7.79,7.79,7.55,7.66,555010
2018-10-12 07:00:00,7.57,7.88,7.57,7.88,321090
2018-10-15 07:00:00,7.93,7.93,7.71,7.73,156650
2018-10-16 07:00:00,7.69,7.83,7.69,7.79,126860
2018-10-17 07:00:00,7.83,7.99,7.7,7.79,302020
2018-10-18 07:00:00,7.79,7.86,7.67,7.68,93110
2018-10-19 07:00:00,7.62,7.62,7.39,7.48,273840
2018-10-22 07:00:00,7.48,7.59,7.17,7.17,348710
2018-10-23 07:00:00,7.13,7.31,6.79,6.96,452810
2018-10-24 07:00:00,6.8,6.99,6.7,6.7,357000
2018-10-25 07:00:00,6.52,6.67,6.49,6.51,208380
2018-10-26 07:00:00,6.7,6.84,6.63,6.7,243140
2018-10-29 07:00:00,6.79,6.79,6.65,6.65,61980
2018-10-30 07:00:00,6.65,6.86,6.58,6.61,153840
2018-10-31 07:00:00,6.81,6.81,6.7,6.72,191520
2018-11-01 07:00:00,6.72,6.82,6.68,6.68,272000
2018-11-02 07:00:00,6.79,7.05,6.7,7.05,461530
2018-11-05 07:00:00,6.98,7.13,6.98,7.03,188160
2018-11-06 07:00:00,7.09,7.12,6.92,6.96,107240
2018-11-07 07:00:00,6.89,6.96,6.79,6.93,109010
2018-11-08 07:00:00,6.93,7.09,6.93,6.99,371170
2018-11-09 07:00:00,6.93,7.03,6.86,6.91,164730
2018-11-12 07:00:00,6.82,7.0,6.79,6.99,173670
2018-11-13 07:00:00,6.99,7.11,6.82,6.99,248880
2018-11-14 07:00:00,7.05,7.05,6.82,6.91,183080
2018-11-15 07:00:00,6.99,7.01,6.86,6.87,277920
2018-11-16 07:00:00,6.96,7.07,6.94,7.05,253500
2018-11-19 07:00:00,7.1,7.19,7.03,7.03,222960
2018-11-20 07:00:00,7.05,7.12,7.03,7.1,180700
2018-11-21 07:00:00,7.05,7.08,7.02,7.02,236720
2018-11-22 07:00:00,7.03,7.1,7.02,7.09,165370
2018-11-23 07:00:00,7.1,7.1,6.99,6.99,115310
2018-11-26 07:00:00,6.94,7.01,6.89,6.93,59340
