time,open,high,low,close,volume
2018-11-23 07:00:00,18.26,18.26,18.26,18.26,300
2018-11-26 07:00:00,20.99,20.99,20.99,20.99,27094
2018-11-27 07:00:00,22.25,24.13,22.06,24.13,537111
2018-11-28 07:00:00,23.79,24.08,23.04,23.71,222479
2018-11-29 07:00:00,23.02,23.6,23.02,23.52,73164
2018-11-30 07:00:00,23.29,24.17,23.21,23.98,231733
2018-12-03 07:00:00,23.98,25.3,23.73,25.29,319690
2018-12-04 07:00:00,25.13,25.13,24.27,24.33,68512
2018-12-05 07:00:00,24.27,24.33,23.98,24.08,52206
2018-12-06 07:00:00,24.17,24.19,23.98,24.04,37708
2018-12-07 07:00:00,24.36,24.6,23.98,24.46,80191
2018-12-10 07:00:00,24.94,24.94,24.27,24.36,20121
2018-12-11 07:00:00,24.75,24.75,24.21,24.33,30281
2018-12-12 07:00:00,24.27,24.75,24.25,24.56,83476
2018-12-13 07:00:00,24.56,24.65,24.33,24.56,76827
2018-12-14 07:00:00,24.36,24.38,24.17,24.36,44141
2018-12-17 07:00:00,24.17,24.17,23.98,24.15,78264
2018-12-18 07:00:00,23.98,24.15,23.79,23.98,103463
2018-12-19 07:00:00,23.98,23.98,23.5,23.6,48025
2018-12-20 07:00:00,23.67,24.56,23.67,24.36,120522
2018-12-21 07:00:00,24.36,24.69,24.21,24.69,228817
2018-12-24 07:00:00,24.52,24.56,24.08,24.44,57530
2018-12-25 07:00:00,24.06,24.35,23.98,24.35,40364
2018-12-26 07:00:00,24.17,24.29,24.02,24.04,25390
2018-12-27 07:00:00,24.12,24.67,24.12,24.56,157114
2018-12-28 07:00:00,24.65,25.0,24.46,25.0,195413
2019-01-02 07:00:00,24.81,25.42,21.1,25.23,194456
2019-01-03 07:00:00,25.13,25.13,24.94,24.94,69816
2019-01-04 07:00:00,24.77,25.04,24.75,24.94,44320
2019-01-07 07:00:00,24.94,25.27,24.94,25.27,60058
2019-01-08 07:00:00,25.13,25.17,24.94,24.98,34685
2019-01-09 07:00:00,24.94,25.13,24.75,25.13,47870
2019-01-10 07:00:00,25.02,26.48,25.0,26.03,197524
2019-01-11 07:00:00,26.67,26.96,26.19,26.96,137356
2019-01-14 07:00:00,27.05,27.8,26.86,27.72,139579
2019-01-15 07:00:00,27.53,27.53,23.4,27.24,241318
2019-01-16 07:00:00,27.24,28.97,27.24,28.95,85160
2019-01-17 07:00:00,28.39,30.31,28.39,29.74,178928
2019-01-18 07:00:00,28.78,30.31,28.78,29.74,137173
2019-01-21 07:00:00,29.72,29.72,28.49,29.12,101385
2019-01-22 07:00:00,29.72,29.72,29.16,29.43,152546
2019-01-23 07:00:00,29.72,29.72,29.16,29.45,34923
2019-01-24 07:00:00,29.33,29.93,29.33,29.74,91611
2019-01-25 07:00:00,29.74,29.78,29.35,29.74,55181
2019-01-28 07:00:00,29.74,29.78,29.35,29.64,42313
2019-01-29 07:00:00,29.35,29.68,29.16,29.68,16496
2019-01-30 07:00:00,29.74,29.74,29.52,29.72,31047
2019-01-31 07:00:00,29.74,31.98,29.74,31.66,120731
2019-02-01 07:00:00,31.08,32.23,31.08,32.21,9500
2019-02-11 07:00:00,32.23,33.57,32.21,33.55,20326
2019-02-12 07:00:00,32.61,33.42,31.46,32.23,143011
2019-02-13 07:00:00,31.66,32.63,31.27,32.42,23972
2019-02-14 07:00:00,32.33,32.77,32.33,32.77,16980
2019-02-15 07:00:00,32.71,33.0,32.42,32.44,35126
2019-02-18 07:00:00,32.77,32.79,31.85,32.52,44880
2019-02-19 07:00:00,32.27,32.81,32.27,32.65,50057
2019-02-20 07:00:00,32.61,33.0,32.61,32.61,46403
2019-02-21 07:00:00,32.61,33.76,32.61,33.19,83754
2019-02-22 07:00:00,33.57,33.61,33.0,33.17,15930
2019-02-25 07:00:00,33.29,33.29,32.23,32.52,31650
2019-02-26 07:00:00,32.48,33.38,32.44,33.38,40656
2019-02-27 07:00:00,33.57,33.57,33.0,33.0,9291
2019-02-28 07:00:00,33.19,33.19,32.61,33.19,15510
2019-03-01 07:00:00,33.17,33.38,33.09,33.38,29002
2019-03-04 07:00:00,33.38,33.76,33.38,33.57,65976
2019-03-05 07:00:00,33.57,33.86,33.57,33.8,38570
2019-03-06 07:00:00,33.76,34.97,28.68,34.92,58599
2019-03-07 07:00:00,35.01,36.35,35.01,35.88,145657
2019-03-08 07:00:00,35.88,36.07,35.59,35.88,43238
2019-03-11 07:00:00,36.45,36.93,35.49,36.62,55621
2019-03-12 07:00:00,36.45,38.01,36.34,37.79,123967
2019-03-13 07:00:00,37.99,38.56,37.47,37.97,121619
2019-03-14 07:00:00,37.79,37.89,37.03,37.47,70569
2019-03-15 07:00:00,37.41,37.6,37.22,37.41,63620
2019-03-18 07:00:00,37.39,37.51,37.03,37.41,33838
2019-03-19 07:00:00,37.41,37.79,37.03,37.41,41149
2019-03-20 07:00:00,37.47,37.6,37.14,37.47,17492
2019-03-21 07:00:00,37.47,37.76,37.41,37.7,22498
2019-03-22 07:00:00,37.79,37.79,37.41,37.7,15315
2019-03-25 07:00:00,37.41,38.39,37.2,37.79,67500
2019-03-26 07:00:00,37.6,37.79,37.45,37.52,9300
2019-03-27 07:00:00,38.18,38.18,37.41,37.51,31006
2019-03-28 07:00:00,37.45,37.79,37.45,37.7,14233
2019-03-29 07:00:00,37.56,38.18,37.56,37.99,75258
2019-04-01 07:00:00,38.27,38.27,37.41,37.7,34830
2019-04-02 07:00:00,37.76,37.79,32.12,36.45,146850
2019-04-03 07:00:00,36.41,36.64,33.78,34.19,172572
2019-04-04 07:00:00,33.96,35.88,33.9,35.68,120069
2019-04-05 07:00:00,35.15,35.47,34.15,34.72,53718
2019-04-08 07:00:00,34.72,34.72,33.94,34.53,49425
2019-04-09 07:00:00,34.34,34.44,33.98,34.05,61813
2019-04-10 07:00:00,34.15,35.24,33.96,34.72,53956
2019-04-11 07:00:00,35.11,35.2,34.92,35.11,22643
2019-04-12 07:00:00,35.17,36.2,35.17,36.07,118658
2019-04-16 07:00:00,36.07,36.45,36.07,36.18,94858
2019-04-17 07:00:00,36.26,36.64,36.24,36.45,121725
2019-04-18 07:00:00,36.47,36.49,36.45,36.45,41326
2019-04-19 07:00:00,35.49,36.45,35.49,36.07,29120
2019-04-22 07:00:00,36.26,36.45,36.07,36.07,34330
2019-04-23 07:00:00,36.12,36.2,35.88,36.2,18523
2019-04-24 07:00:00,36.07,36.22,36.07,36.16,42075
2019-04-25 07:00:00,35.88,36.82,35.88,36.82,27490
2019-04-26 07:00:00,36.45,37.51,36.07,37.22,18389
2019-05-02 07:00:00,37.22,37.22,36.97,36.97,54010
2019-05-03 07:00:00,36.64,36.84,36.47,36.82,3179
2019-05-06 07:00:00,36.26,36.47,36.07,36.47,30280
2019-05-07 07:00:00,36.41,36.64,36.35,36.45,29920
2019-05-08 07:00:00,36.26,36.26,35.78,36.07,6700
2019-05-09 07:00:00,36.05,36.26,36.05,36.07,8920
2019-05-10 07:00:00,36.11,36.11,35.72,35.88,31578
2019-05-13 07:00:00,34.92,36.37,34.92,36.34,17380
2019-05-14 07:00:00,36.41,36.41,35.8,36.24,26190
2019-05-15 07:00:00,36.11,36.12,35.88,36.11,7158
2019-05-16 07:00:00,36.35,37.39,36.11,36.43,41336
2019-05-17 07:00:00,36.45,36.45,34.34,35.88,36325
2019-05-20 07:00:00,35.49,36.07,35.45,36.07,8716
2019-05-21 07:00:00,35.91,36.2,35.51,35.99,50433
2019-05-22 07:00:00,35.63,35.74,35.63,35.63,20640
2019-05-23 07:00:00,35.86,35.86,35.13,35.3,18382
2019-05-24 07:00:00,35.88,35.88,35.11,35.49,31220
2019-05-27 07:00:00,36.24,36.24,35.2,35.2,27372
2019-05-28 07:00:00,35.49,35.88,35.34,35.72,20780
