symbol,exchange,raw_rows,valid_rows,excluded_records,first_valid,last_valid,segments,max_segment_rows,minimum_history_252,windows_l63_h5,windows_l126_h5
ABB,UPCOM,1398,1398,0,2020-12-28 09:00:00,2026-08-07 09:00:00,1,1398,True,1330,1267
ABI,UPCOM,1941,1936,61,2018-08-09 09:00:00,2026-08-07 09:00:00,37,856,True,1480,1354
ACB,HOSE,1992,1992,5,2018-08-09 09:00:00,2026-08-07 09:00:00,2,1411,True,1856,1730
ACV,UPCOM,1991,1988,9,2018-08-09 09:00:00,2026-08-07 09:00:00,5,1253,True,1703,1503
ANV,HOSE,1997,1997,0,2018-08-09 09:00:00,2026-08-07 09:00:00,1,1997,True,1929,1866
BAF,HOSE,1165,1165,0,2021-12-03 09:00:00,2026-08-07 09:00:00,1,1165,True,1097,1034
BCM,HOSE,1982,1975,22,2018-08-09 09:00:00,2026-08-07 09:00:00,15,1482,True,1510,1351
BID,HOSE,1997,1997,0,2018-08-09 09:00:00,2026-08-07 09:00:00,1,1997,True,1929,1866
BMP,HOSE,1997,1997,0,2018-08-09 09:00:00,2026-08-07 09:00:00,1,1997,True,1929,1866
BSI,HOSE,1991,1990,7,2018-08-09 09:00:00,2026-08-07 09:00:00,4,1229,True,1718,1515
BSR,HOSE,1989,1987,10,2018-08-09 09:00:00,2026-08-07 09:00:00,4,1263,True,1738,1549
BVH,HOSE,1997,1997,0,2018-08-09 09:00:00,2026-08-07 09:00:00,1,1997,True,1929,1866
BVS,HNX,2671,1996,676,2018-08-09 09:00:00,2026-08-07 09:00:00,2,1880,True,1860,1749
BWE,HOSE,1997,1997,0,2018-08-09 09:00:00,2026-08-07 09:00:00,1,1997,True,1929,1866
C4G,UPCOM,1911,1906,5,2018-12-10 09:00:00,2026-08-07 09:00:00,4,1631,True,1748,1622
CAP,HNX,1982,1982,15,2018-08-09 09:00:00,2026-08-07 09:00:00,16,860,True,1438,1191
CEO,HNX,1997,1997,0,2018-08-09 09:00:00,2026-08-07 09:00:00,1,1997,True,1929,1866
CII,HOSE,1997,1997,0,2018-08-09 09:00:00,2026-08-07 09:00:00,1,1997,True,1929,1866
CMG,HOSE,1997,1997,0,2018-08-09 09:00:00,2026-08-07 09:00:00,1,1997,True,1929,1866
CTD,HOSE,1997,1997,0,2018-08-09 09:00:00,2026-08-07 09:00:00,1,1997,True,1929,1866
CTG,HOSE,1997,1997,0,2018-08-09 09:00:00,2026-08-07 09:00:00,1,1997,True,1929,1866
CTR,HOSE,1990,1986,11,2018-08-09 09:00:00,2026-08-07 09:00:00,7,1113,True,1637,1407
CTS,HOSE,1997,1997,0,2018-08-09 09:00:00,2026-08-07 09:00:00,1,1997,True,1929,1866
DBC,HOSE,1991,1990,7,2018-08-09 09:00:00,2026-08-07 09:00:00,3,1749,True,1846,1720
DCM,HOSE,1997,1997,0,2018-08-09 09:00:00,2026-08-07 09:00:00,1,1997,True,1929,1866
DDV,UPCOM,1779,1772,225,2018-08-09 09:00:00,2026-08-07 09:00:00,110,1376,True,1308,1245
DGW,HOSE,1997,1997,0,2018-08-09 09:00:00,2026-08-07 09:00:00,1,1997,True,1929,1866
DIG,HOSE,1997,1996,1,2018-08-09 09:00:00,2026-08-07 09:00:00,2,1730,True,1860,1734
DP3,HNX,1875,1875,122,2018-08-09 09:00:00,2026-08-07 09:00:00,99,615,True,847,553
DPM,HOSE,1997,1997,0,2018-08-09 09:00:00,2026-08-07 09:00:00,1,1997,True,1929,1866
DSE,HOSE,526,526,0,2024-07-01 09:00:00,2026-08-07 09:00:00,1,526,True,458,395
DTD,HNX,1997,1997,0,2018-08-09 09:00:00,2026-08-07 09:00:00,1,1997,True,1929,1866
DVM,HNX,1012,1012,0,2022-07-19 09:00:00,2026-08-07 09:00:00,1,1012,True,944,881
DXG,HOSE,1997,1996,1,2018-08-09 09:00:00,2026-08-07 09:00:00,2,1730,True,1860,1734
DXP,HNX,1946,1945,52,2018-08-09 09:00:00,2026-08-07 09:00:00,34,1491,True,1423,1360
EIB,HOSE,1997,1995,2,2018-08-09 09:00:00,2026-08-07 09:00:00,3,1749,True,1843,1717
EVF,HOSE,1986,1980,17,2018-08-09 09:00:00,2026-08-07 09:00:00,8,1138,True,1691,1502
FOX,UPCOM,1926,1916,81,2018-08-09 09:00:00,2026-08-07 09:00:00,55,825,True,1401,1275
FPT,HOSE,1997,1996,1,2018-08-09 09:00:00,2026-08-07 09:00:00,2,1749,True,1860,1734
FRT,HOSE,1997,1995,2,2018-08-09 09:00:00,2026-08-07 09:00:00,3,1730,True,1841,1715
FTS,HOSE,1997,1996,1,2018-08-09 09:00:00,2026-08-07 09:00:00,2,1766,True,1860,1734
GAS,HOSE,1997,1996,1,2018-08-09 09:00:00,2026-08-07 09:00:00,2,1766,True,1860,1734
GEE,HOSE,1072,1071,33,2022-03-08 09:00:00,2026-08-07 09:00:00,15,419,True,571,361
GEX,HOSE,1997,1997,0,2018-08-09 09:00:00,2026-08-07 09:00:00,1,1997,True,1929,1866
GMD,HOSE,1997,1995,2,2018-08-09 09:00:00,2026-08-07 09:00:00,3,1730,True,1841,1715
GVR,HOSE,1991,1991,6,2018-08-09 09:00:00,2026-08-07 09:00:00,2,1598,True,1855,1729
HAG,HOSE,1997,1994,3,2018-08-09 09:00:00,2026-08-07 09:00:00,4,1730,True,1824,1698
HBC,UPCOM,1989,1989,8,2018-08-09 09:00:00,2026-08-07 09:00:00,2,1518,True,1853,1727
HCM,HOSE,1997,1997,0,2018-08-09 09:00:00,2026-08-07 09:00:00,1,1997,True,1929,1866
HDB,HOSE,1997,1995,2,2018-08-09 09:00:00,2026-08-07 09:00:00,3,1730,True,1841,1715
HDG,HOSE,1997,1995,2,2018-08-09 09:00:00,2026-08-07 09:00:00,3,1730,True,1824,1698
HHV,HOSE,1500,1494,471,2018-09-25 09:00:00,2026-08-07 09:00:00,91,1132,True,1153,1027
HNG,UPCOM,1989,1988,9,2018-08-09 09:00:00,2026-08-07 09:00:00,3,1270,True,1784,1595
HPG,HOSE,1997,1995,2,2018-08-09 09:00:00,2026-08-07 09:00:00,3,1730,True,1841,1715
HSG,HOSE,1997,1995,2,2018-08-09 09:00:00,2026-08-07 09:00:00,3,1730,True,1824,1698
HT1,HOSE,1997,1997,0,2018-08-09 09:00:00,2026-08-07 09:00:00,1,1997,True,1929,1866
HUT,HNX,1997,1997,0,2018-08-09 09:00:00,2026-08-07 09:00:00,1,1997,True,1929,1866
