symbol,rows,segments,duplicate_symbol_session,nonfinite_features,invalid_ohlc,noncanonical_timestamp,session_gap_inside_segment,amount_proxy_max_relative_error,training_windows_l63_h5,evaluation_origins_l63_h5,training_windows_l126_h5,evaluation_origins_l126_h5
ABB,1398,1,0,0,0,0,0,2.211843114674889e-16,1330,1331,1267,1268
ABI,1936,37,0,0,0,0,0,2.204234626659144e-16,1480,1482,1354,1356
ACB,1992,2,0,0,0,0,0,2.045500864730653e-16,1856,1858,1730,1732
ACV,1988,5,0,0,0,0,0,2.212763957156774e-16,1703,1707,1503,1506
ANV,1997,1,0,0,0,0,0,2.3729649245288525e-16,1929,1930,1866,1867
BAF,1165,1,0,0,0,0,0,1.9616781148451784e-16,1097,1098,1034,1035
BCM,1975,15,0,0,0,0,0,2.1690955801398818e-16,1510,1513,1351,1352
BID,1997,1,0,0,0,0,0,2.0958818975109195e-16,1929,1930,1866,1867
BMP,1997,1,0,0,0,0,0,2.1294380080254034e-16,1929,1930,1866,1867
BSI,1990,4,0,0,0,0,0,2.0955616270890725e-16,1718,1722,1515,1518
BSR,1987,4,0,0,0,0,0,2.11584338201042e-16,1738,1741,1549,1552
BVH,1997,1,0,0,0,0,0,2.064838113405782e-16,1929,1930,1866,1867
BVS,1996,2,0,0,0,0,0,2.1560436381161977e-16,1860,1862,1749,1750
BWE,1997,1,0,0,0,0,0,2.210368521696316e-16,1929,1930,1866,1867
C4G,1906,4,0,0,0,0,0,2.215744721312984e-16,1748,1750,1622,1624
CAP,1982,16,0,0,0,0,0,2.439576087382472e-16,1438,1443,1191,1194
CEO,1997,1,0,0,0,0,0,2.2180764533667847e-16,1929,1930,1866,1867
CII,1997,1,0,0,0,0,0,2.274843380208013e-16,1929,1930,1866,1867
CMG,1997,1,0,0,0,0,0,2.2106420301188787e-16,1929,1930,1866,1867
CTD,1997,1,0,0,0,0,0,2.161789016863353e-16,1929,1930,1866,1867
CTG,1997,1,0,0,0,0,0,2.1982146541617479e-16,1929,1930,1866,1867
CTR,1986,7,0,0,0,0,0,2.1179315540034864e-16,1637,1641,1407,1410
CTS,1997,1,0,0,0,0,0,2.1166352878651457e-16,1929,1930,1866,1867
DBC,1990,3,0,0,0,0,0,2.249096980025913e-16,1846,1848,1720,1722
DCM,1997,1,0,0,0,0,0,2.160143879805203e-16,1929,1930,1866,1867
DDV,1772,110,0,0,0,0,0,2.1736012175817877e-16,1308,1309,1245,1246
DGW,1997,1,0,0,0,0,0,2.1668423379131137e-16,1929,1930,1866,1867
DIG,1996,2,0,0,0,0,0,2.0500160414114745e-16,1860,1862,1734,1736
DP3,1875,99,0,0,0,0,0,2.2183328093485238e-16,847,853,553,557
DPM,1997,1,0,0,0,0,0,2.193427274376166e-16,1929,1930,1866,1867
DSE,526,1,0,0,0,0,0,1.9100720471546015e-16,458,459,395,396
DTD,1997,1,0,0,0,0,0,2.1207070320409562e-16,1929,1930,1866,1867
DVM,1012,1,0,0,0,0,0,2.1686966723602954e-16,944,945,881,882
DXG,1996,2,0,0,0,0,0,2.0665635790466504e-16,1860,1862,1734,1736
DXP,1945,34,0,0,0,0,0,2.272841517893529e-16,1423,1425,1360,1361
EIB,1995,3,0,0,0,0,0,2.2119829009422358e-16,1843,1845,1717,1719
EVF,1980,8,0,0,0,0,0,2.1966598225742836e-16,1691,1694,1502,1505
FOX,1916,55,0,0,0,0,0,2.1874046356866622e-16,1401,1403,1275,1277
FPT,1996,2,0,0,0,0,0,2.0491840201811865e-16,1860,1862,1734,1736
FRT,1995,3,0,0,0,0,0,2.206671712726405e-16,1841,1843,1715,1717
FTS,1996,2,0,0,0,0,0,2.0194333047967163e-16,1860,1862,1734,1736
GAS,1996,2,0,0,0,0,0,2.0625062482976005e-16,1860,1862,1734,1736
GEE,1071,15,0,0,0,0,0,2.0256381646633577e-16,571,576,361,364
GEX,1997,1,0,0,0,0,0,2.1254744550613546e-16,1929,1930,1866,1867
GMD,1995,3,0,0,0,0,0,2.540829550824195e-16,1841,1843,1715,1717
GVR,1991,2,0,0,0,0,0,2.497173017197977e-16,1855,1857,1729,1731
HAG,1994,4,0,0,0,0,0,2.0624633691845237e-16,1824,1826,1698,1700
HBC,1989,2,0,0,0,0,0,2.206576542183653e-16,1853,1855,1727,1729
HCM,1997,1,0,0,0,0,0,2.2114882202590743e-16,1929,1930,1866,1867
HDB,1995,3,0,0,0,0,0,2.0599129611445174e-16,1841,1843,1715,1717
HDG,1995,3,0,0,0,0,0,2.5752838159584664e-16,1824,1826,1698,1700
HHV,1494,91,0,0,0,0,0,2.017457963561112e-16,1153,1155,1027,1029
HNG,1988,3,0,0,0,0,0,2.0304820879252724e-16,1784,1787,1595,1598
HPG,1995,3,0,0,0,0,0,2.1724560549227308e-16,1841,1843,1715,1717
HSG,1995,3,0,0,0,0,0,2.0369299669849436e-16,1824,1826,1698,1700
HT1,1997,1,0,0,0,0,0,2.1902771422815418e-16,1929,1930,1866,1867
HUT,1997,1,0,0,0,0,0,2.377617698587463e-16,1929,1930,1866,1867
IDC,1971,17,0,0,0,0,0,2.1178083917913822e-16,1548,1550,1452,1453
IDV,1969,22,0,0,0,0,0,2.84117881948925e-16,1615,1617,1489,1491
KBC,1995,3,0,0,0,0,0,2.1664199555740213e-16,1841,1843,1715,1717
KDC,1995,3,0,0,0,0,0,2.2083055662545293e-16,1841,1843,1715,1717
KDH,1994,4,0,0,0,0,0,2.194188114275859e-16,1824,1826,1698,1700
KOS,1991,3,0,0,0,0,0,2.2224409083572796e-16,1787,1790,1598,1601
L14,1997,1,0,0,0,0,0,2.3062899355215763e-16,1929,1930,1866,1867
L18,1547,107,0,0,0,0,0,2.2008127487784542e-16,1281,1282,1218,1219
LAS,1992,6,0,0,0,0,0,2.194880134110922e-16,1757,1760,1624,1626
LHC,1786,125,0,0,0,0,0,2.2163768722780772e-16,633,640,306,310
LPB,1986,3,0,0,0,0,0,2.1923418302386475e-16,1782,1785,1593,1596
LTG,1629,88,0,0,0,0,0,2.1842274546272365e-16,1327,1329,1201,1203
MBB,1996,2,0,0,0,0,0,2.0850625025492584e-16,1860,1862,1734,1736
MBS,1997,1,0,0,0,0,0,2.209152148231276e-16,1929,1930,1866,1867
MCH,1973,18,0,0,0,0,0,2.2173114822987661e-16,1459,1465,1150,1154
MFS,1783,36,0,0,0,0,0,2.2733718549386615e-16,1073,1078,836,839
MPC,1995,3,0,0,0,0,0,2.1946159315043594e-16,1791,1794,1646,1648
MSB,1401,1,0,0,0,0,0,2.0622835835044977e-16,1333,1334,1270,1271
MSN,1995,3,0,0,0,0,0,2.1769770600390334e-16,1843,1845,1717,1719
MSR,1992,5,0,0,0,0,0,2.2586658670916826e-16,1780,1782,1654,1656
MWG,1995,3,0,0,0,0,0,2.097096400803635e-16,1843,1845,1717,1719
NAB,1448,2,0,0,0,0,0,2.2158104227379932e-16,1312,1314,1186,1188
NDN,1997,1,0,0,0,0,0,2.2142764683943806e-16,1929,1930,1866,1867
NKG,1995,3,0,0,0,0,0,2.206743345206947e-16,1824,1826,1698,1700
NLG,1995,3,0,0,0,0,0,2.0127218412370487e-16,1841,1843,1715,1717
NT2,1995,3,0,0,0,0,0,2.1953099496386904e-16,1843,1845,1717,1719
NTP,1991,7,0,0,0,0,0,2.2782107242309393e-16,1737,1739,1611,1613
NVL,1996,2,0,0,0,0,0,2.054385282989133e-16,1860,1862,1734,1736
OCB,1376,1,0,0,0,0,0,1.9930681667612845e-16,1308,1309,1245,1246
OIL,1993,5,0,0,0,0,0,2.2165020027000742e-16,1744,1747,1607,1609
PAN,1989,4,0,0,0,0,0,2.1747947944513292e-16,1717,1721,1503,1506
PAT,1017,6,0,0,0,0,0,2.144202519887267e-16,916,917,853,854
